registro_id,data_chamado,cidade,uf,bairro,cliente_id,profissional_id,tipo_servico,especialidade_profissional,urgencia,distancia_km,tempo_deslocamento_min,tempo_execucao_min,tempo_total_min,valor_orcamento,valor_pago,avaliacao_cliente,reclamacao,retorno_correcao,dias_desde_ultimo_uso,idade_imovel_anos,cupom_utilizado,status_chamado,observacao
FIX-00155,2025-09-16,são paulo,SP,Industrial,C96,P139,montagem,montador,media,14.15,96,19,115,196.28,202.96,4.6,nao,nao,288,26,,procesado,
FIX-00156,2025-09-15,Uberaba,MG,Santa Maria,C149,P117,hidraulica,encanador,baixa,"5,5",32,129,161,311.8,300.82,5,nao,nao,257,9,nao,,
FIX-00157,2025-06-20,salvador,BA,Jardim America,C30,P42,pintura,encanador,baixa,"8,49",67,70,137,527.03,"444,95",2.4,sim,nao,51,74,,cancelado,
FIX-00158,22/08/2025,Curitiba,PR,Industrial,C50,P125,hidraulica,encanador,media,11.09,95,45,140,123.25,"99,91",4.6,nao,nao,356,55,nao,finalizado,
FIX-00159,2025-04-05,São Paulo,SP,Morumbi,C28,P47,pintura,jardineiro,media,7.45,72,98,170,372.4,310.74,3.0,nao,nao,21,19,,finalizado,
FIX-00160,2025-02-10,Salvador,BA,Centro,C306,P12,hidraulica,pintor,baixa,10.64,75,72,147,705.01,619.03,3.3,nao,sim,22,1,nao,,
FIX-00161,2025-09-12,São Paulo,SP,Centro,C328,P106,montagem,eletricista,media,7.62,33,134,167,313.37,302.64,2.7,sim,sim,17,39,sim,em_andamento,
FIX-00162,data_invalida,Uberaba,MG,Jardim America,C415,P91,montagem,eletricista,alta,"8,0",,50,114,518.11,502.53,1.6,sim,nao,348,74,sim,,
FIX-00163,2025-02-09,Salvador,BA,Industrial,C75,P79,montagem,eletricista,baixa,3.29,29,72,101,404.86,369.95,2.8,sim,sim,160,74,,procesado,
FIX-00164,06/03/2025,Salvador,BA,Industrial,C35,P113,eletrica,encanador,baixa,5.91,61,116,177,190.31,223.35,4.1,nao,nao,33,44,sim,,
FIX-00165,2025-04-17,Uberaba,MG,Boa Vista,C206,P70,eletrica,encanador,baixa,"0,3",15,70,85,587.26,672.48,5,sim,nao,9,72,sim,finalizado,
FIX-00166,2025-07-19,Uberlândia,MG,Santa Maria,C125,P85,montagem,montador,alta,5.92,47,114,161,298.79,341.0,4.4,nao,nao,51,48,,cancelado,
FIX-00167,05-13-2025,Salvador,BA,Planalto,C383,P17,pintura,eletricista,baixa,4.2,25,25,50,826.13,954.46,3.0,nao,nao,114,53,sim,,
FIX-00168,2025-06-03,Uberaba,MG,Santa Maria,C312,P27,eletrica,eletricista,baixa,1.42,11,116,127,539.57,640.83,3.9,nao,nao,254,8,sim,procesado,
FIX-00169,08/10/2025,São Paulo,SP,Boa Vista,C144,P69,hidraulica,pintor,alta,5.62,63,84,147,596.49,714.61,4.6,nao,nao,250,3,nao,finalizado,
FIX-00170,14/06/2025,Uberlândia,MG,Santa Maria,C403,P126,eletrica,encanador,media,15.22,82,88,170,654.77,600.28,3.3,sim,nao,6,29,sim,em_andamento,
FIX-00171,30/09/2025,São Paulo,SP,Industrial,C429,P45,pintura,eletricista,baixa,6.54,44,26,70,793.12,678.05,3.9,nao,nao,271,60,nao,cancelado,
FIX-00172,2025-09-26,Goiânia,GO,Boa Vista,C96,P103,eletrica,limpeza,baixa,5.75,35,95,130,"812,2",808.49,4.2,nao,nao,271,6,,procesado,
FIX-00173,2025-10-06,Campinas,SP,Morumbi,C321,P102,eletrica,encanador,emergencial,18.77,153,127,280,310.59,319.88,3.2,nao,nao,308,24,sim,em_andamento,
FIX-00174,26/08/2025,São Paulo,SP,Centro,C474,P57,eletrica,eletrica_geral,media,0.3,5,70,75,449.88,363.5,3.6,nao,nao,4,22,sim,finalizado,
FIX-00175,21/07/2025,Uberaba,MG,Jardim America,C102,P104,eletrica,eletricista,baixa,11.09,58,94,152,155.62,142.83,4.8,nao,nao,334,20,nao,procesado,
FIX-00176,2025-02-17,Goiânia,GO,Industrial,C60,P138,eletrica,encanador,media,7.99,60,95,155,221.17,205.92,2.0,sim,sim,41,1,,finalizado,
FIX-00177,08-04-2025,Uberlândia,MG,Morumbi,C178,P35,hidraulica,encanador,media,10.6,69,110,179,455.48,504.54,4.2,nao,nao,188,7,sim,,
FIX-00178,2025-03-15,Uberaba,MG,Santa Maria,C366,P20,hidraulicaa,eletrica_geral,baixa,5.69,52,83,135,449.01,361.88,4.2,nao,nao,276,79,sim,finalizado,
FIX-00179,2025-04-24,Campinas,sp,Santa Maria,C496,P117,eletrica,montador,emergencial,2.31,24,82,106,466.07,535.85,"4,6",nao,nao,119,30,nao,,
FIX-00180,2025-03-07,Uberlândia,MG,Centro,C382,P44,montagem,montador,baixa,9.21,86,93,179,378.57,"339,26",4.0,nao,nao,354,10,sim,em_andamento,
FIX-00181,01-07-2025,Salvador,BA,Boa Vista,C211,P87,hidraulica,montador,baixa,3.75,43,89,132,680.75,699.22,3.2,nao,nao,63,55,,em_andamento,
FIX-00182,2025-08-27,uberaba,MG,Boa Vista,C105,P27,hidraulica,jardineiro,media,"2,54",32,72,104,"551,44",511.37,3.9,nao,nao,215,70,,procesado,
FIX-00183,2025-02-14,Curitiba,PR,Boa Vista,C99,P15,pintura,jardineiro,baixa,8.41,53,151,204,"866,91",919.16,5,nao,nao,147,72,nao,,
FIX-00184,2025-01-12,Salvador,BA,Boa Vista,C395,P74,hidraulicaa,jardineiro,media,14.17,128,77,205,764.46,766.25,"2,9",sim,nao,145,12,sim,finalizado,
FIX-00185,2025-10-13,Uberaba,MG,Morumbi,C472,P37,eletrica,encanador,media,8.2,50,48,98,597.49,684.26,5,nao,nao,335,26,,,
FIX-00186,03-17-2025,Uberaba,MG,Jardim America,C382,P9,eletric.,encanador,media,3.53,45,47,92,"664,67","670,77",5,nao,nao,240,35,nao,procesado,
FIX-00187,2025-01-16,Goiânia,GO,Centro,C480,P96,hidraulica,jardineiro,baixa,1.72,,110,121,249.87,"226,02",5,sim,sim,89,27,,,
FIX-00188,04-29-2025,Uberlândia,MG,Planalto,C218,P91,eletrica,pintor,emergencial,11.12,54,67,121,584.33,484.5,2.7,sim,nao,46,72,nao,,
FIX-00189,2025-04-11,Uberlândia,MG,Planalto,C467,P104,montagem,encanador,alta,5.86,31,90,121,737.47,593.57,2.5,sim,sim,141,40,sim,procesado,
FIX-00190,2025-05-16,São Paulo,SP,Planalto,C412,P101,hidraulica,eletricista,media,3.14,12,103,115,"260,03","250,88",5,nao,nao,357,29,sim,cancelado,
FIX-00191,2025-08-01,Uberaba,MG,Centro,C22,P17,pintura,encanador,baixa,6.49,59,156,215,"476,35",499.24,5,sim,nao,62,70,nao,em_andamento,
FIX-00192,08/01/2025,Uberaba,MG,Planalto,C32,P10,hidraulicaa,eletricista,baixa,9.68,42,57,99,541.75,"461,8",4.5,nao,nao,285,80,sim,em_andamento,
FIX-00193,2025-01-15,Uberaba,MG,Centro,C109,P29,hidraulica,jardineiro,baixa,4.92,43,100,143,208.09,241.62,3.5,nao,nao,351,1,,cancelado,
FIX-00194,2025-01-09,Goiânia,GO,Boa Vista,C459,P73,eletrica,eletricista,baixa,6.21,35,15,50,525.07,571.92,"2,0",sim,nao,65,18,nao,finalizado,
FIX-00195,2025-09-24,Uberlândia,MG,Centro,C479,P41,hidraulica,eletricista,baixa,"4,98",48,31,79,"459,17",373.36,2.6,sim,nao,125,33,nao,finalizado,
FIX-00196,2025-03-03,Salvador,BA,Santa Maria,C482,P57,eletrica,jardineiro,baixa,"5,5",29,32,61,"96,68","84,67",4.4,nao,nao,69,51,nao,procesado,
FIX-00197,31/07/2025,Uberaba,MG,Centro,C427,P148,hidraulica,encanador,alta,13.37,97,78,175,"241,11",231.27,3.4,nao,nao,163,20,sim,procesado,
FIX-00198,07-10-2025,São Paulo,SP,Jardim America,C208,P103,pintura,montador,media,"4,38",25,110,135,749.87,703.38,2.6,sim,nao,105,76,,em_andamento,
FIX-00199,2025-03-25,Uberlândia,MG,Industrial,C226,P46,eletrica,montador,media,"5,74",34,113,147,257.01,240.08,5,sim,nao,190,43,nao,em_andamento,
FIX-00200,2025-08-29,Curitiba,PR,Morumbi,C9,P108,eletrica,montador,baixa,13.0,82,56,138,254.69,240.95,5,nao,nao,198,3,sim,procesado,
FIX-00201,data_invalida,São Paulo,SP,Planalto,C452,P46,eletrica,encanador,alta,6.62,63,56,119,503.04,"449,45",3.8,nao,nao,218,26,sim,finalizado,
FIX-00202,2025-05-23,São Paulo,SP,Santa Maria,C424,P4,hidraulica,limpeza,alta,0.3,5,154,159,108.27,124.23,4.8,sim,nao,310,16,,em_andamento,
FIX-00203,10-11-2025,Uberlândia,MG,Morumbi,C491,P4,jardinagem,jardineiro,baixa,9.31,44,15,59,519.47,575.19,5,nao,nao,270,22,sim,,
FIX-00204,2025-10-12,Curitiba,pr,Morumbi,C278,P27,eletrica,montador,alta,10.29,89,66,155,519.19,511.12,4.9,nao,nao,285,25,,cancelado,
FIX-00205,2025-01-07,Uberlândia,MG,Centro,C91,P75,hidraulica,jardineiro,media,17.13,151,58,209,173.45,189.62,5,nao,nao,187,66,nao,,
FIX-00206,10/02/2025,Uberlândia,mg,Industrial,C426,P130,eletrica,eletricista,alta,9.25,76,73,149,"655,89",678.13,5,nao,nao,295,68,nao,finalizado,
FIX-00207,2025-05-02,São Paulo,SP,Boa Vista,C357,P54,pintura,limpeza,alta,4.36,25,41,66,444.04,"432,85",3.1,nao,nao,147,15,nao,finalizado,
FIX-00208,02-09-2025,Campinas,SP,Industrial,C183,P97,eletrica,jardineiro,baixa,6.42,58,94,152,655.72,776.41,4.8,sim,nao,281,2,sim,procesado,
FIX-00209,2025-08-31,Goiânia,GO,Industrial,C67,P64,eletrica,eletricista,media,8.19,52,28,80,"725,31",641.28,"3,5",nao,sim,94,57,sim,cancelado,
FIX-00210,2025-08-23,Curitiba,PR,Boa Vista,C79,P71,montagem,montador,media,5.19,36,86,122,356.5,"288,1",3.6,nao,nao,141,9,nao,finalizado,
FIX-00211,2025-01-02,São Paulo,SP,Planalto,C127,P133,eletrica,jardineiro,baixa,5.23,55,56,111,550.89,"515,02",2.9,sim,nao,243,25,nao,em_andamento,
FIX-00212,2025-08-03,Campinas,SP,Centro,C84,P133,hidraulica,encanador geral,baixa,3.72,27,82,109,730.52,"637,42",4.4,nao,nao,331,0,nao,procesado,
FIX-00213,2025-07-30,São Paulo,SP,Boa Vista,C118,P143,pintura,eletricista,baixa,1.35,22,56,78,724.43,855.47,3.3,nao,nao,223,78,sim,procesado,
FIX-00214,2025-03-15,Goiânia,GO,Centro,C168,P19,hidraulica,montador,baixa,11.87,105,55,160,91.58,99.04,3.4,nao,nao,266,75,nao,em_andamento,
FIX-00215,2025-03-29,Campinas,SP,Jardim America,C85,P45,montagem,eletricista,emergencial,0.3,5,129,134,752.08,649.8,4.3,nao,nao,151,39,sim,em_andamento,
FIX-00216,2025-06-21,Uberlândia,MG,Industrial,C437,P36,limpeza,pintor,alta,7.73,48,102,150,599.84,699.38,4.9,nao,nao,149,40,sim,em_andamento,
FIX-00217,02/02/2025,Uberlândia,MG,Boa Vista,C234,P49,jardinagem,encanador,alta,5.24,,101,133,106.64,"122,07",2.3,sim,nao,243,23,sim,,
FIX-00218,11/10/2025,Uberlândia,MG,Santa Maria,C425,P78,montagem_moveis,encanador,baixa,6.27,,85,145,890.21,"883,97","4,6",nao,nao,329,70,,cancelado,
FIX-00219,data_invalida,São Paulo,SP,Morumbi,C262,P35,pintura,encanador,alta,12.44,59,15,74,152.69,133.05,"2,3",sim,nao,51,43,nao,em_andamento,
FIX-00220,2025-04-03,salvador,BA,Morumbi,C316,P140,hidraulica,limpeza,alta,"15,63",131,97,228,351.02,310.64,4.8,nao,nao,21,52,sim,cancelado,
FIX-00221,2025-07-02,Goiânia,GO,Morumbi,C321,P50,eletric.,encanador,alta,0.3,5,89,94,413.41,396.66,4.1,nao,nao,70,28,sim,,
FIX-00222,2025-01-12,Curitiba,PR,Santa Maria,C21,P62,montagem,encanador,baixa,8.69,41,86,127,522.64,442.9,5.0,nao,nao,306,47,,finalizado,
FIX-00223,15/10/2025,Uberaba,MG,Industrial,C302,P125,hidraulica,eletricista,media,"1,03",5,62,67,397.88,319.31,4.2,nao,nao,279,62,sim,cancelado,
FIX-00224,2025-04-07,Salvador,BA,Jardim America,C373,P120,hidraulica,montador,baixa,"6,34",68,170,238,658.8,680.42,4.0,nao,nao,178,23,nao,em_andamento,
FIX-00225,14/06/2025,Uberaba,MG,Boa Vista,C356,P71,montagem,eletricista,emergencial,9.4,61,15,76,825.26,853.51,4.3,nao,nao,43,6,sim,em_andamento,
FIX-00226,2025-04-06,Uberlândia,MG,Morumbi,C408,P66,hidraulica,montador,media,"6,03",70,41,111,"326,32",282.72,3.2,nao,nao,136,59,sim,cancelado,
FIX-00227,2025-03-10,São Paulo,sp,Jardim America,C32,P20,eletrica,eletrica_geral,media,3.92,30,60,90,"579,8","675,48",5,nao,sim,72,26,,em_andamento,
FIX-00228,2025-05-21,São Paulo,SP,Jardim America,C454,P4,montagem,eletricista,baixa,15.16,40,145,185,"430,3",513.13,4.3,nao,sim,40,10,,em_andamento,
FIX-00229,2025-06-27,Salvador,BA,Morumbi,C163,P25,hidraulica,eletricista,baixa,12.81,99,88,187,195.52,190.48,4.7,nao,nao,44,40,sim,em_andamento,
FIX-00230,2025-07-02,Uberaba,MG,Jardim America,C115,P28,hidraulica,pintor,baixa,4.89,25,103,128,130.54,149.09,"3,6",nao,nao,33,60,,procesado,
FIX-00231,2025-05-02,Goiânia,GO,Santa Maria,C64,P112,eletrica,pintor,baixa,3.49,21,106,127,594.28,706.52,"3,7",nao,nao,204,59,,em_andamento,
FIX-00232,2025-06-03,Curitiba,PR,Planalto,C189,P143,hidraulica,eletricista,media,3.7,19,109,128,629.44,621.46,"3,7",nao,nao,88,23,nao,procesado,
FIX-00233,2025-03-07,Campinas,SP,Morumbi,C61,P20,hidraulica,montador,emergencial,"13,8",74,168,242,374.56,408.23,3.0,nao,nao,51,5,sim,,
FIX-00234,2025-06-22,Goiânia,GO,Centro,C441,P37,pintura,limpeza,baixa,8.08,32,76,108,362.88,324.68,3.1,nao,nao,176,31,sim,procesado,
FIX-00235,2025-06-07,são paulo,SP,Centro,C148,P45,eletrica,eletrica_geral,alta,4.02,39,87,126,"746,09",719.73,4.3,nao,nao,134,49,sim,,
FIX-00236,2025-07-03,Salvador,BA,Jardim America,C196,P115,eletrica,pintor,media,16.01,,100,184,"301,97","324,71",4.7,nao,nao,198,67,sim,cancelado,
FIX-00237,2025-10-04,Uberaba,MG,Morumbi,C473,P15,hidraulicaa,encanador,alta,3.26,17,106,123,"541,79",534.09,3.6,nao,nao,62,63,,em_andamento,
FIX-00238,2025-05-17,uberaba,MG,Centro,C390,P19,eletrica,jardineiro,alta,0.3,5,114,119,573.56,614.82,"4,1",nao,nao,302,22,sim,finalizado,
FIX-00239,06-11-2025,Campinas,SP,Industrial,C475,P14,montagem,eletrica_geral,baixa,3.57,47,90,137,555.8,647.64,5,nao,nao,307,40,nao,,
FIX-00240,2025-02-03,Uberaba,MG,Boa Vista,C208,P126,eletrica,eletricista,media,6.63,44,76,120,330.49,331.72,"4,3",nao,nao,313,51,nao,,
FIX-00241,2025-06-16,Campinas,SP,Industrial,C478,P10,montagem,pintor,emergencial,10.25,65,105,170,791.17,776.67,2.9,sim,nao,88,75,sim,procesado,
FIX-00242,2025-10-09,Goiânia,GO,Jardim America,C473,P75,pintura,pintor,baixa,13.19,73,60,133,720.92,"690,05",3.6,nao,nao,269,30,nao,em_andamento,
FIX-00243,2025-01-05,Campinas,SP,Planalto,C412,P141,hidraulica,encanador,alta,14.96,,15,78,689.84,613.42,5,nao,nao,231,9,nao,cancelado,
FIX-00244,12/02/2025,Uberaba,mg,Industrial,C446,P6,eletrica,eletricista,alta,8.45,67,24,91,833.94,814.43,3.9,nao,nao,13,4,,em_andamento,
FIX-00245,2025-01-20,uberlândia,MG,Boa Vista,C136,P95,montagem,encanador,emergencial,"5,08",19,42,61,657.41,550.64,3.8,nao,nao,306,75,nao,procesado,
FIX-00246,2025-07-07,Curitiba,PR,Planalto,C198,P128,pintura,encanador,media,1.51,9,85,94,580.95,473.06,4.5,nao,nao,92,7,sim,cancelado,
FIX-00247,15/08/2025,São Paulo,SP,Jardim America,C416,P69,montagem,pintor,media,3.66,28,57,85,320.88,366.76,2.7,sim,nao,54,16,sim,procesado,
FIX-00248,2025-07-09,Uberaba,MG,Santa Maria,C392,P12,montagem_moveis,jardineiro,baixa,"5,25",57,121,178,820.16,715.02,2.5,sim,nao,23,68,sim,,
FIX-00249,31/08/2025,curitiba,PR,Jardim America,C193,P23,eletrica,eletricista,media,6.74,60,66,126,616.32,719.2,3.2,nao,nao,144,79,nao,em_andamento,
FIX-00250,2025-04-09,Salvador,BA,Planalto,C254,P24,hidraulica,eletricista,media,10.99,78,99,177,739.55,797.73,2.4,sim,sim,49,13,nao,finalizado,
FIX-00251,2025-02-19,Campinas,SP,Planalto,C428,P91,jardinagem,montador,baixa,13.31,87,69,156,467.73,520.21,5,nao,nao,301,12,,,
FIX-00252,2025-01-09,Uberlândia,MG,Boa Vista,C85,P107,hidraulica,montador,media,8.8,68,59,127,149.16,148.12,5,nao,nao,28,13,sim,procesado,
FIX-00253,2025-02-13,Uberlândia,MG,Boa Vista,C141,P86,pintura,pintor,alta,9.05,62,29,91,824.2,710.86,3.8,nao,nao,305,21,,finalizado,
FIX-00254,2025-01-11,Campinas,sp,Morumbi,C198,P78,montagem,eletricista,baixa,6.2,55,28,83,788.74,905.19,3.8,sim,nao,7,55,nao,procesado,
FIX-00255,2025-06-09,são paulo,SP,Centro,C497,P101,eletrica,pintor,baixa,11.05,44,15,59,"890,29",868.45,4.1,nao,nao,189,22,sim,em_andamento,
FIX-00256,08-13-2025,Curitiba,PR,Jardim America,C18,P144,hidraulica,limpeza,media,8.09,46,83,129,510.02,482.03,5,nao,nao,68,56,nao,em_andamento,
FIX-00257,2025-03-15,São Paulo,SP,Santa Maria,C193,P142,hidraulica,pintor,alta,9.2,58,93,151,"153,87","182,17",2.5,sim,nao,295,41,nao,cancelado,
FIX-00258,2025-06-13,Salvador,BA,Centro,C145,P145,pintura,eletricista,alta,3.18,35,90,125,504.73,"523,09",5,nao,nao,255,13,,finalizado,
FIX-00259,2025-07-15,Curitiba,PR,Planalto,C420,P68,hidraulica,eletricista,alta,7.94,58,18,76,480.5,474.77,5,nao,nao,245,36,,cancelado,
FIX-00260,2025-01-09,São Paulo,SP,Boa Vista,C363,P100,hidraulica,eletricista,alta,3.77,20,50,70,"879,97","831,47",4.4,nao,nao,36,76,,procesado,
FIX-00261,2025-04-08,Curitiba,PR,Planalto,C344,P10,jardinagem,montador,media,"5,29",32,45,77,119.32,142.82,4.0,nao,nao,88,27,sim,em_andamento,
FIX-00262,03-17-2025,Salvador,BA,Industrial,C83,P115,hidraulicaa,montador,media,2.57,17,70,87,814.1,832.93,4.3,nao,nao,320,11,,finalizado,
FIX-00263,30/03/2025,Salvador,BA,Boa Vista,C14,P5,eletrica,encanador,baixa,9.81,48,15,63,363.96,346.53,4.1,nao,sim,312,67,sim,,
FIX-00264,2025-09-29,Campinas,SP,Morumbi,C437,P118,pintura,limpeza,emergencial,"0,3",5,101,106,199.51,231.05,2.8,sim,sim,106,31,nao,em_andamento,
FIX-00265,02-09-2025,São Paulo,SP,Jardim America,C487,P100,pintura,jardineiro,baixa,10.91,90,102,192,420.87,480.47,"4,6",nao,nao,109,3,nao,em_andamento,
FIX-00266,2025-02-03,Campinas,SP,Planalto,C34,P144,hidraulica,eletricista,media,11.16,97,54,151,729.26,793.4,3.0,nao,nao,231,6,sim,,
FIX-00267,2025-01-17,Salvador,BA,Santa Maria,C347,P3,hidraulica,eletricista,baixa,3.61,46,138,184,443.11,468.0,4.9,nao,nao,68,53,sim,cancelado,
FIX-00268,03/09/2025,Uberlândia,MG,Centro,C18,P85,montagem,eletricista,alta,10.0,80,140,220,475.75,526.46,4.2,nao,nao,346,49,,procesado,
FIX-00269,2025-10-14,Salvador,BA,Planalto,C402,P133,montagem,encanador,baixa,3.24,34,130,164,387.76,346.35,"3,6",nao,nao,94,19,,finalizado,
FIX-00270,2025-06-03,Campinas,SP,Planalto,C342,P134,eletrica,pintor,media,9.59,71,52,123,278.81,249.01,"4,0",nao,nao,246,33,sim,,
FIX-00271,2025-08-05,Campinas,SP,Centro,C32,P95,eletrica,montador,baixa,7.49,29,61,90,82.87,96.79,4.1,nao,nao,37,5,sim,finalizado,
FIX-00272,2025-04-18,Salvador,BA,Boa Vista,C32,P20,jardinagem,limpeza,media,"9,04",55,88,143,808.53,"970,15",2.1,sim,sim,254,58,sim,finalizado,
FIX-00273,2025-08-12,Curitiba,PR,Santa Maria,C363,P92,montagem_moveis,pintor,alta,11.55,85,106,191,141.85,140.97,2.3,sim,nao,207,48,,procesado,
FIX-00274,2025-03-31,Campinas,sp,Santa Maria,C288,P108,montagem,pintor,media,8.61,74,83,157,489.0,502.36,4.4,nao,nao,114,14,,finalizado,
FIX-00275,23/06/2025,Campinas,SP,Boa Vista,C292,P71,montagem_moveis,montador,baixa,11.32,98,60,158,"173,44",151.46,4.9,nao,nao,41,38,nao,em_andamento,
FIX-00276,2025-09-25,Goiânia,GO,Santa Maria,C71,P24,eletrica,eletricista,alta,5.0,44,15,59,"175,15",154.14,"4,4",nao,nao,61,23,,procesado,
FIX-00277,2025-07-11,Uberaba,MG,Planalto,C8,P9,hidraulica,jardineiro,media,3.46,24,15,39,878.71,825.96,3.3,nao,nao,252,73,,procesado,
FIX-00278,08-08-2025,Curitiba,PR,Jardim America,C210,P119,montagem_moveis,montador,alta,2.1,13,91,104,879.19,996.17,2.7,sim,nao,177,45,,,
FIX-00279,2025-06-26,Uberlândia,MG,Jardim America,C439,P148,pintura,eletricista,media,2.99,28,138,166,641.21,690.01,2.1,sim,sim,152,16,nao,cancelado,
FIX-00280,2025-06-11,uberlândia,MG,Santa Maria,C162,P23,eletrica,pintor,media,"3,81",22,67,89,890.92,844.78,3.1,nao,nao,40,22,sim,,
FIX-00281,09/03/2025,Curitiba,PR,Santa Maria,C38,P49,pintura,montador,media,8.87,76,65,141,109.39,122.85,5,nao,nao,361,15,sim,procesado,
FIX-00282,10-17-2025,Curitiba,PR,Jardim America,C380,P36,eletric.,eletricista,emergencial,6.33,28,159,187,873.87,779.53,"4,5",nao,nao,23,58,sim,em_andamento,
FIX-00283,01-03-2025,Campinas,sp,Morumbi,C280,P16,montagem,eletricista,baixa,6.45,27,101,128,287.14,316.55,2.8,sim,sim,152,80,nao,procesado,
FIX-00284,2025-04-18,São Paulo,SP,Santa Maria,C285,P34,pintura,pintor,baixa,8.65,49,97,146,717.63,846.88,"3,8",nao,nao,42,54,,cancelado,
FIX-00285,19/10/2025,Salvador,BA,Morumbi,C41,P31,montagem,montador,media,13.29,97,15,112,818.77,667.8,3.8,sim,nao,202,69,sim,cancelado,
FIX-00286,2025-10-14,Uberaba,MG,Industrial,C380,P131,pintura,montador,media,6.36,23,51,74,752.59,"855,28",5,nao,nao,294,66,,finalizado,
FIX-00287,2025-03-25,São Paulo,SP,Jardim America,C93,P89,pintura,eletricista,baixa,10.69,51,87,138,884.37,840.37,5,nao,nao,98,39,nao,finalizado,
FIX-00288,2025-05-14,São Paulo,SP,Santa Maria,C422,P13,hidraulica,eletricista,baixa,8.43,71,35,106,307.19,247.08,5,nao,nao,311,70,nao,em_andamento,
FIX-00289,2025-02-11,salvador,BA,Morumbi,C437,P42,eletrica,jardineiro,media,8.57,67,78,145,378.26,365.69,"3,1",nao,nao,178,75,sim,em_andamento,
FIX-00290,2025-04-03,Curitiba,PR,Santa Maria,C427,P68,pintura,pintor,media,"8,16",60,119,179,125.12,138.08,4.8,nao,nao,219,67,sim,finalizado,
FIX-00291,2025-02-20,Curitiba,PR,Planalto,C433,P141,hidraulica,encanador,media,"2,23",5,52,57,416.9,"465,89",5,nao,nao,133,33,sim,procesado,
FIX-00292,2025-08-31,São Paulo,SP,Jardim America,C29,P137,pintura,pintor,baixa,7.43,89,74,163,607.03,"559,3",2.5,sim,nao,198,78,nao,cancelado,
FIX-00293,2025-03-14,Campinas,SP,Jardim America,C278,P105,jardinagem,limpeza,baixa,9.5,84,63,147,217.63,252.66,4.8,sim,nao,219,31,sim,cancelado,
FIX-00294,2025-03-03,São Paulo,SP,Morumbi,C234,P81,hidraulica,pintor,alta,"8,51",56,97,153,"818,77",688.19,5,nao,nao,328,48,nao,procesado,
FIX-00295,2025-09-30,São Paulo,SP,Jardim America,C427,P108,montagem,montador,alta,10.99,58,15,73,294.04,317.51,5,sim,nao,170,74,,,
FIX-00296,2025-02-03,Curitiba,PR,Centro,C120,P79,limpeza,eletricista,baixa,"11,19",80,148,228,181.11,207.63,3.5,nao,nao,165,2,,,
FIX-00297,2025-08-17,Salvador,BA,Boa Vista,C323,P91,hidraulicaa,encanador,baixa,7.26,40,65,105,206.86,204.22,3.2,nao,nao,107,12,nao,finalizado,
FIX-00298,2025-10-17,São Paulo,SP,Jardim America,C279,P85,montagem,pintor,alta,2.13,16,17,33,344.72,340.3,5,nao,nao,267,80,nao,,
FIX-00299,2025-09-30,Campinas,SP,Planalto,C496,P46,eletrica,encanador geral,media,5.57,46,87,133,387.32,411.48,3.5,nao,nao,92,80,sim,em_andamento,
FIX-00300,2025-10-14,Campinas,SP,Industrial,C445,P23,hidraulica,encanador,alta,11.24,68,110,178,326.23,324.67,3.4,nao,nao,346,7,nao,finalizado,
FIX-00301,2025-09-02,Curitiba,PR,Jardim America,C428,P84,eletrica,pintor,baixa,0.3,5,116,121,324.98,349.97,3.3,nao,nao,44,67,,,
FIX-00302,2025-02-02,Curitiba,PR,Centro,C126,P56,limpeza,jardineiro,baixa,10.19,56,65,121,421.5,354.97,2.3,sim,nao,69,52,nao,,
FIX-00303,2025-08-21,Uberaba,MG,Centro,C82,P30,jardinagem,jardineiro,alta,0.3,9,59,68,306.66,290.0,4.5,nao,nao,171,23,nao,,
FIX-00304,data_invalida,Uberaba,MG,Jardim America,C58,P123,hidraulica,pintor,alta,7.94,66,112,178,745.52,695.51,4.9,nao,nao,342,41,nao,procesado,
FIX-00305,2025-06-05,goiânia,GO,Centro,C396,P68,limpeza,encanador,baixa,"8,17",60,31,91,"390,96",356.76,3.9,nao,nao,261,66,nao,cancelado,
FIX-00306,2025-10-06,Campinas,SP,Santa Maria,C441,P50,eletrica,pintor,baixa,2.44,26,68,94,431.87,491.27,5,nao,nao,267,1,nao,procesado,
FIX-00307,2025-02-03,uberaba,MG,Industrial,C209,P34,eletric.,eletrica_geral,baixa,"11,34",82,114,196,632.06,584.7,5,nao,nao,209,14,,em_andamento,
FIX-00308,2025-01-02,Uberlândia,MG,Planalto,C365,P89,jardinagem,montador,baixa,1.91,11,51,62,"836,85",741.05,4.7,nao,nao,218,30,nao,cancelado,
FIX-00309,06-27-2025,Campinas,sp,Santa Maria,C43,P108,jardinagem,eletricista,baixa,3.65,28,23,51,166.08,"164,51",4.3,nao,nao,119,38,nao,,
FIX-00310,2025-09-30,uberlândia,mg,Centro,C90,P4,pintura,encanador,media,6.12,52,138,190,307.49,346.47,5.0,nao,nao,13,61,nao,cancelado,
FIX-00311,2025-06-04,Curitiba,PR,Santa Maria,C245,P53,jardinagem,montador,baixa,"11,34",65,86,151,176.0,194.56,3.2,nao,sim,66,19,nao,,
FIX-00312,2025-04-12,Uberaba,MG,Jardim America,C330,P76,eletrica,encanador,alta,1.93,15,77,92,285.3,331.03,3.6,nao,nao,36,78,,,
