registro_id,data_lead,cidade,uf,idade_cliente,renda_cliente,sexo,segmento_empresa,porte_empresa,origem_lead,servico_interesse,valor_proposta,status_proposta,taxa_abandono_formulario_pct,tempo_decisao_dias,score_ux,feedback_cliente,proposta_enviada,proposta_aceita,cliente_perdido,motivo_perda,tempo_no_site_seg,cliques_formulario,status_registro,observacao
NC-00143,03-15-2025,Uberlândia,MG,28,9976.96,F,varejo,media,google_ads,consultoria_digital,7490.0,em_analise,21.32,33,6.8,demora_retorno,sim,nao,nao,,14,8,validado,
NC-00144,2025-02-05,São Paulo,SP,69,6716.55,,varejo,media,indicacao,automacao_processos,9829.7,recusada,"52,69",1,8.9,concorrente,sim,nao,sim,NA,166,11,procesado,
NC-00145,2025-03-25,Salvador,BA,65,"5081,15",M,servicos,media,evento,sistema_web,8895.7,em_analise,37.76,10,"5,3",NA,sim,nao,nao,preco,218,13,procesado,
NC-00146,04-20-2025,Uberlândia,MG,64,10299.42,M,servicos,media,site,app_mobile,"12535,05",recusada,45.02,0,7.4,NA,sim,nao,sim,prazo,403,7,validado,
NC-00147,2025-10-06,São Paulo,SP,36,"4874,23",,varejo,pequena,google_ads,sistema_web,5614.84,abandonada,"14,59",8,7.2,concorrente,sim,nao,sim,falta_contato,61,12,validado,
NC-00148,data_invalida,Goiânia,go,63,6090.73,M,saude,MEI,indicacao,automacao_processos,500,aceita,50.73,0,"6,6",NA,sim,sim,nao,falta_contato,373,7,validado,
NC-00149,2025-02-13,Goiânia,GO,46,"5235,72",F,industria,media,google_ads,app_mobile,7388.36,abandonada,24.03,5,8.0,,sim,nao,sim,,72,4,procesado,
NC-00150,2025-10-06,Salvador,ba,31,8828.18,F,educacao,MEI,instagram,sistema_web,8150.9,em_analise,68.45,25,"7,5",NA,sim,nao,nao,preco,145,11,pendente,
NC-00151,2025-01-11,Salvador,BA,65,11793.77,,industria,MEI,site,consultoria_digital,18338.66,em_analise,33.85,20,7.9,concorrente,sim,nao,nao,,310,0,validado,
NC-00152,2025-02-15,Uberlândia,MG,70,8520.41,F,saude,grande,instagram,app_mobile,9664.95,aceita,43.54,0,5.1,demora_retorno,sim,sim,nao,NA,413,21,pendente,
NC-00153,2025-04-07,Goiânia,GO,29,4981.16,,varejo,pequena,evento,consultoria_digital,10403.82,aceita,"65,98",19,5.6,preco_alto,sim,sim,nao,concorrencia,267,9,,
NC-00154,2025-03-02,Uberaba,MG,40,"9293,88",F,saude,grande,instagram,sistema_web,2429.03,aceita,4.71,3,5.8,preco_alto,sim,sim,nao,prazo,165,3,procesado,
NC-00155,2025-07-06,Uberaba,MG,43,9588.04,,educacao,pequena,instagram,automacao_processos,10723.02,em_analise,0,23,6.3,demora_retorno,nao,nao,nao,NA,121,7,pendente,
NC-00156,2025-04-03,São Paulo,SP,35,5203.85,,varejo,pequena,indicacao,app_mobile,"4423,49",abandonada,36.2,21,10,demora_retorno,sim,nao,sim,,29,4,pendente,
NC-00157,2025-03-23,Goiânia,GO,24,2601.77,M,varejo,MEI,site,sistema_web,"5331,23",em_analise,"38,27",6,4.0,,sim,nao,nao,concorrencia,285,11,,
NC-00158,09/02/2025,Campinas,SP,29,2787.53,F,varejo,MEI,site,consultoria_digital,2651.91,recusada,"12,25",17,6.9,demora_retorno,sim,nao,sim,NA,169,14,procesado,
NC-00159,29/04/2025,Salvador,BA,32,4285.17,F,servicos,MEI,indicacao,sistema_web,"6616,62",aceita,15.35,15,9.8,,sim,sim,nao,prazo,403,3,pendente,
NC-00160,2025-05-04,Goiânia,GO,69,"2357,26",F,varejo,MEI,site,app_mobile,5352.49,recusada,37.93,8,6.6,preco_alto,nao,nao,sim,,244,2,pendente,
NC-00161,2025-01-04,São Paulo,SP,19,6410.26,F,servicos,MEI,site,automacao_processos,14573.96,recusada,7.91,17,"7,7",nao_entendeu_proposta,sim,nao,sim,concorrencia,237,0,pendente,
NC-00162,2025-09-25,uberlândia,MG,67,5533.06,Outro,industria,pequena,indicacao,sistema_web,13008.87,aceita,10.5,21,6.4,,sim,sim,nao,falta_contato,66,4,pendente,
NC-00163,2025-07-09,São Paulo,SP,,14788.66,Outro,varejo,pequena,indicacao,app_mobile,"11798,28",aceita,"49,02",27,"5,8",NA,sim,sim,nao,concorrencia,304,2,pendente,
NC-00164,2025-07-16,Campinas,SP,23,3127.92,Outro,varejo,media,evento,app_mobile,10722.72,aceita,"20,23",0,9.5,demora_retorno,sim,sim,nao,falta_contato,248,4,procesado,
NC-00165,2025-07-11,Goiânia,go,22,8979.36,F,varejo,MEI,site,app_mobile,500,em_analise,50.11,21,10,concorrente,sim,nao,nao,NA,211,21,,
NC-00166,data_invalida,Campinas,SP,21,8192.74,Outro,varejo,MEI,instagram,app_mobile,10993.98,recusada,33.38,8,8.3,NA,nao,nao,sim,prazo,134,17,pendente,
NC-00167,04-22-2025,Salvador,BA,37,12156.49,,industria,MEI,google_ads,consultoria_digital,"12448,77",aceitaa,50.22,19,6.7,preco_alto,sim,nao,nao,preco,268,2,validado,
NC-00168,2025-10-19,campinas,SP,23,11112.84,M,educacao,pequena,instagram,sistema_web,"4681,64",em_analise,"59,41",1,8.0,NA,sim,nao,nao,,74,10,pendente,
NC-00169,2025-08-28,Campinas,SP,34,12669.45,Outro,varejo,media,site,sistema_web,9310.28,recusada,39.3,14,"5,8",NA,sim,nao,sim,,348,7,procesado,
NC-00170,29/04/2025,São Paulo,SP,23,5289.69,Outro,industria,pequena,indicacao,sistema_web,500,em_analise,35.95,9,6.6,,sim,nao,nao,concorrencia,192,12,procesado,
NC-00171,2025-06-14,Uberaba,MG,65,1200,M,servicos,media,indicacao,sistema_web,6862.15,em_analise,72.89,12,"6,6",NA,sim,nao,nao,,291,11,,
NC-00172,2025-06-17,Goiânia,GO,60,7143.84,M,varejo,pequena,site,sistema_web,"4848,26",em_analise,59.76,16,7.8,concorrente,sim,nao,nao,NA,296,9,,
NC-00173,2025-05-26,são paulo,SP,24,8809.07,,varejo,MEI,instagram,automacao_processos,500,em_analise,34.84,22,8.1,preco_alto,sim,nao,nao,concorrencia,251,0,,
NC-00174,2025-08-12,Uberaba,MG,64,7350.4,M,saude,grande,instagram,sistema_web,12781.31,recusada,32.95,0,10,nao_entendeu_proposta,sim,nao,sim,preco,390,10,procesado,
NC-00175,2025-02-23,Campinas,SP,34,9836.79,M,servicos,pequena,site,app_mobile,12004.42,aceita,43.42,16,10,nao_entendeu_proposta,sim,sim,nao,falta_contato,256,8,pendente,
NC-00176,2025-05-04,Goiânia,GO,41,5049.72,F,saude,pequena,indicacao,automacao_processos,8577.68,abandonada,"10,92",24,2.8,demora_retorno,sim,nao,sim,preco,139,4,validado,
NC-00177,2025-10-25,São Paulo,SP,31,8562.43,Outro,varejo,pequena,instagram,automacao_processos,7626.86,recusada,17.16,28,"3,7",preco_alto,sim,nao,sim,,225,11,pendente,
NC-00178,03-26-2025,Uberaba,MG,68,6549.64,F,servicos,media,site,sistema_web,4585.43,recusada,0,0,7.6,preco_alto,sim,nao,sim,preco,230,6,,
NC-00179,2025-01-11,Uberlândia,mg,43,6003.81,M,industria,grande,instagram,automacao_processos,7587.23,recusada,80.43,15,5.8,preco_alto,sim,nao,sim,,148,8,validado,
NC-00180,08-17-2025,uberlândia,MG,47,14868.53,F,servicos,MEI,site,automacao_processos,11431.13,recusada,53.77,12,5.5,nao_entendeu_proposta,sim,nao,sim,prazo,175,15,,
NC-00181,data_invalida,Campinas,SP,29,10737.0,M,industria,pequena,indicacao,app_mobile,10069.87,aceita,21.64,21,8.7,nao_entendeu_proposta,sim,sim,nao,falta_contato,203,15,pendente,
NC-00182,06-10-2025,são paulo,SP,67,8388.09,,industria,pequena,google_ads,sistema_web,13768.53,aceita,58.2,18,8.3,NA,sim,sim,nao,falta_contato,152,6,pendente,
NC-00183,2025-07-19,Goiânia,go,39,6478.46,M,servicos,media,site,automacao_processos,11903.63,recusada,"54,25",0,"7,1",,sim,nao,sim,NA,150,0,procesado,
NC-00184,2025-03-19,Uberaba,MG,56,"12490,0",F,varejo,media,indicacao,app_mobile,2530.99,recusada,47.27,9,5.2,concorrente,sim,nao,sim,preco,190,12,,
NC-00185,2025-07-08,Uberaba,MG,46,3695.05,,varejo,pequena,site,automacao_processos,14378.46,em_analise,18.2,0,6.3,demora_retorno,sim,nao,nao,,395,6,pendente,
NC-00186,2025-01-30,São Paulo,SP,24,7013.34,Outro,varejo,pequena,instagram,consultoria_digital,21170.16,em_analise,58.28,2,5.6,preco_alto,sim,nao,nao,preco,138,1,pendente,
NC-00187,07-26-2025,Uberlândia,mg,40,9130.8,M,servicos,MEI,google_ads,sistema_web,2180.26,recusada,1.15,12,5.0,,nao,nao,sim,prazo,58,11,validado,
NC-00188,2025-10-17,Uberaba,MG,44,3531.14,Outro,educacao,media,indicacao,app_mobile,1174.07,aceita,"53,65",3,6.7,concorrente,sim,sim,nao,preco,132,13,validado,
NC-00189,2025-04-17,Campinas,SP,23,"4499,08",F,servicos,pequena,site,app_mobile,8855.24,abandonada,0,26,6.8,NA,sim,nao,sim,concorrencia,204,7,pendente,
NC-00190,2025-03-06,São Paulo,SP,26,4045.94,F,varejo,pequena,google_ads,sistema_web,12376.19,em_analise,48.8,12,6.5,nao_entendeu_proposta,sim,nao,nao,falta_contato,296,12,pendente,
NC-00191,2025-04-11,Uberaba,MG,35,9927.26,M,servicos,MEI,instagram,app_mobile,4277.28,recusada,35.01,0,8.6,demora_retorno,sim,nao,sim,,30,11,validado,
NC-00192,24/03/2025,Goiânia,GO,43,"7469,81",,saude,MEI,site,automacao_processos,7003.15,abandonada,57.23,0,6.1,preco_alto,nao,nao,sim,,82,12,procesado,
NC-00193,2025-09-02,curitiba,pr,30,1411.99,M,varejo,pequena,site,app_mobile,500,em_analise,59.04,19,0,preco_alto,sim,nao,nao,preco,159,9,validado,
NC-00194,2025-04-17,São Paulo,SP,31,"7733,27",F,saude,MEI,site,app_mobile,500,recusada,12.65,14,3.8,nao_entendeu_proposta,nao,nao,sim,,58,12,pendente,
NC-00195,22/06/2025,Uberlândia,MG,36,4883.77,Outro,saude,MEI,google_ads,sistema_web,7833.49,abandonada,"36,02",14,5.5,,sim,nao,sim,NA,164,0,pendente,
NC-00196,02-18-2025,São Paulo,SP,31,11005.76,F,industria,pequena,google_ads,sistema_web,5064.1,abandonada,30.66,0,"9,3",NA,sim,nao,sim,concorrencia,92,12,,
NC-00197,2025-05-02,Curitiba,PR,59,3672.32,F,saude,media,indicacao,sistema_web,9902.02,em_analise,62.37,21,8.3,preco_alto,sim,nao,nao,NA,139,6,validado,
NC-00198,2025-02-14,Curitiba,PR,28,5438.04,F,varejo,pequena,site,consultoria_digital,5564.39,abandonada,28.73,19,4.1,NA,sim,nao,sim,falta_contato,252,1,,
NC-00199,2025-07-16,Curitiba,PR,46,"9238,96",,industria,pequena,site,automacao_processos,7736.77,abandonada,64.96,24,7.5,,sim,nao,sim,,95,9,,
NC-00200,05-30-2025,Uberaba,MG,69,5889.98,F,servicos,pequena,site,sistema_web,9143.65,em_analise,32.03,27,10,NA,sim,nao,nao,prazo,120,6,pendente,
NC-00201,2025-02-21,Uberaba,MG,68,3032.33,F,servicos,MEI,instagram,automacao_processos,7381.09,aceita,24.7,25,6.4,preco_alto,sim,sim,nao,concorrencia,5,0,procesado,
NC-00202,09-06-2025,São Paulo,SP,21,5842.18,Outro,saude,pequena,site,automacao_processos,9183.77,em_analise,30.3,14,7.9,concorrente,sim,nao,nao,,5,9,validado,
NC-00203,2025-04-09,Campinas,SP,41,10172.23,M,varejo,grande,instagram,app_mobile,11620.03,recusada,13.6,10,8.6,,sim,nao,sim,concorrencia,166,9,procesado,
NC-00204,data_invalida,Goiânia,GO,66,"2130,24",M,industria,pequena,google_ads,app_mobile,4778.82,recusada,14.7,4,4.8,NA,nao,nao,sim,NA,154,10,procesado,
NC-00205,data_invalida,Salvador,BA,48,9454.81,F,varejo,MEI,site,sistema_web,14366.02,recusada,55.98,33,10,nao_entendeu_proposta,nao,nao,sim,prazo,333,7,,
NC-00206,2025-06-10,Uberlândia,MG,22,4630.18,Outro,varejo,grande,indicacao,sistema_web,"3806,76",abandonada,21.46,16,5.4,,sim,nao,sim,NA,5,10,procesado,
NC-00207,2025-08-14,Uberlândia,MG,52,2467.79,,servicos,pequena,site,sistema_web,11006.98,em_analise,44.4,21,9.0,preco_alto,sim,nao,nao,falta_contato,82,5,validado,
NC-00208,2025-06-11,Goiânia,GO,28,6355.87,Outro,saude,pequena,indicacao,automacao_processos,3444.39,em_analise,0,0,"7,2",demora_retorno,sim,nao,nao,NA,207,1,procesado,
NC-00209,2025-06-04,Curitiba,PR,32,7059.84,M,servicos,pequena,site,consultoria_digital,4128.19,abandonada,19.66,1,7.8,,sim,nao,sim,concorrencia,50,11,validado,
NC-00210,2025-03-19,Uberaba,MG,57,3812.55,Outro,varejo,pequena,site,automacao_processos,5581.79,recusada,17.37,14,5.5,concorrente,sim,nao,sim,preco,5,1,pendente,
NC-00211,2025-01-14,Salvador,BA,30,9063.84,F,industria,pequena,instagram,sistema_web,11048.21,recusada,41.32,19,7.3,NA,sim,nao,sim,falta_contato,247,4,procesado,
NC-00212,2025-02-22,Curitiba,PR,54,1791.89,,servicos,MEI,site,app_mobile,6537.61,abandonada,48.89,4,7.5,,sim,nao,sim,concorrencia,40,2,validado,
NC-00213,2025-02-07,Uberlândia,MG,18,10447.07,,educacao,pequena,instagram,app_mobile,3834.13,em_analise,"66,54",13,8.0,demora_retorno,sim,nao,nao,,100,10,validado,
NC-00214,2025-02-24,São Paulo,SP,41,7500.09,M,educacao,media,indicacao,app_mobile,13808.71,abandonada,16.91,0,4.4,NA,sim,nao,sim,preco,5,7,procesado,
NC-00215,2025-08-25,Salvador,BA,63,4507.75,F,servicos,pequena,instagram,sistema_web,12827.78,em_analise,35.34,23,"7,8",concorrente,sim,nao,nao,falta_contato,181,7,,
NC-00216,2025-05-17,uberlândia,MG,24,5934.85,M,servicos,media,indicacao,automacao_processos,"9838,01",recusada,43.12,0,6.9,NA,sim,nao,sim,concorrencia,236,9,validado,
NC-00217,2025-01-23,salvador,BA,39,5385.24,Outro,servicos,pequena,evento,app_mobile,"3966,24",em_analise,21.37,6,5.5,NA,sim,nao,nao,preco,88,8,procesado,
NC-00218,2025-04-13,Salvador,BA,65,12293.52,M,varejo,grande,site,automacao_processos,4041.49,abandonada,34.05,8,8.5,demora_retorno,sim,nao,sim,prazo,395,14,,
NC-00219,2025-01-20,goiânia,GO,44,2837.34,Outro,servicos,MEI,google_ads,app_mobile,5364.99,recusada,"44,15",15,7.4,preco_alto,sim,nao,sim,falta_contato,175,8,pendente,
NC-00220,2025-04-02,Goiânia,GO,44,6481.03,F,educacao,grande,site,automacao_processos,5321.3,aceita,43.42,11,5.9,,sim,sim,nao,NA,96,10,procesado,
NC-00221,2025-04-13,Goiânia,GO,62,5524.67,F,servicos,MEI,site,app_mobile,10719.33,aceita,15.59,21,6.3,demora_retorno,sim,sim,nao,falta_contato,371,13,procesado,
NC-00222,2025-03-28,Uberlândia,MG,59,4580.51,Outro,servicos,MEI,google_ads,sistema_web,9079.38,aceita,45.47,0,7.5,preco_alto,sim,sim,nao,,122,8,procesado,
NC-00223,2025-09-03,Goiânia,GO,70,5163.56,,varejo,media,indicacao,sistema_web,13199.86,em_analise,"61,86",20,4.9,NA,sim,nao,nao,NA,242,7,validado,
NC-00224,2025-05-21,São Paulo,SP,67,5869.07,,servicos,MEI,indicacao,automacao_processos,1864.13,aceita,23.24,12,4.2,nao_entendeu_proposta,sim,sim,nao,,5,5,procesado,
NC-00225,2025-02-03,Goiânia,GO,24,"6219,12",Outro,industria,MEI,indicacao,app_mobile,8947.18,aceita,0,17,7.8,nao_entendeu_proposta,sim,sim,nao,prazo,147,12,,
NC-00226,data_invalida,Salvador,BA,65,3005.22,Outro,industria,MEI,indicacao,consultoria_digital,"15768,64",abandonada,87.64,16,"7,4",preco_alto,sim,nao,sim,prazo,366,2,pendente,
NC-00227,07-12-2025,Goiânia,GO,34,7375.83,M,varejo,MEI,google_ads,app_mobile,12498.38,em_analise,59.61,7,4.2,concorrente,sim,nao,nao,preco,123,17,pendente,
NC-00228,2025-06-07,Salvador,BA,36,2226.86,M,saude,MEI,site,app_mobile,8832.81,recusada,1.66,8,9.0,nao_entendeu_proposta,sim,nao,sim,concorrencia,266,8,validado,
NC-00229,2025-05-18,Curitiba,PR,22,2945.54,,educacao,grande,site,automacao_processos,7509.21,em_analise,43.94,21,"6,9",nao_entendeu_proposta,sim,nao,nao,prazo,153,16,,
NC-00230,2025-09-08,Goiânia,GO,18,4244.74,,varejo,MEI,google_ads,sistema_web,1230.06,em_analise,18.97,0,7.4,,sim,nao,nao,,365,11,,
NC-00231,2025-07-31,São Paulo,SP,21,4866.97,M,varejo,pequena,site,sistema_web,6844.17,abandonada,0.45,6,7.3,NA,sim,nao,sim,concorrencia,264,16,,
NC-00232,2025-09-17,Salvador,BA,43,6146.32,,educacao,MEI,site,app_mobile,4383.94,recusada,51.47,15,"6,7",NA,sim,nao,sim,NA,5,7,validado,
NC-00233,2025-10-26,São Paulo,SP,26,1224.17,F,servicos,MEI,site,sistema_web,14374.03,recusada,38.24,14,5.3,NA,sim,nao,sim,concorrencia,59,9,pendente,
NC-00234,2025-05-04,Campinas,SP,69,10057.47,,educacao,MEI,site,consultoria_digital,8693.69,recusada,14.65,7,5.4,nao_entendeu_proposta,sim,nao,sim,NA,314,17,validado,
NC-00235,2025-03-31,Salvador,BA,19,"6938,93",Outro,industria,media,site,sistema_web,3033.38,recusada,10.62,15,5.1,demora_retorno,sim,nao,sim,NA,5,14,validado,
NC-00236,2025-05-14,Goiânia,GO,37,8553.36,F,saude,MEI,google_ads,app_mobile,7203.18,abandonada,15.21,9,6.9,NA,sim,nao,sim,concorrencia,407,1,pendente,
NC-00237,09/03/2025,Curitiba,PR,26,8332.15,,servicos,media,indicacao,sistema_web,5832.07,abandonada,62.6,10,4.7,NA,sim,nao,sim,NA,116,3,validado,
NC-00238,17/03/2025,Salvador,BA,65,4003.11,Outro,varejo,MEI,site,sistema_web,2301.83,recusada,23.85,14,6.8,preco_alto,sim,nao,sim,preco,166,9,procesado,
NC-00239,2025-07-07,São Paulo,SP,,2684.37,,servicos,MEI,instagram,consultoria_digital,12135.45,recusada,33.96,21,10,NA,sim,nao,sim,concorrencia,196,5,validado,
NC-00240,2025-07-18,Uberlândia,MG,25,1200,F,saude,MEI,site,automacao_processos,3196.6,abandonada,28.75,14,4.9,nao_entendeu_proposta,sim,nao,sim,concorrencia,158,4,validado,
NC-00241,2025-09-27,Uberlândia,MG,64,"8417,76",M,educacao,pequena,instagram,app_mobile,6753.96,em_analise,33.64,25,6.1,,sim,nao,nao,,49,1,validado,
NC-00242,2025-06-14,Campinas,SP,47,6769.59,M,saude,MEI,google_ads,app_mobile,14426.08,abandonada,8.26,23,"3,4",NA,sim,nao,sim,NA,275,6,pendente,
NC-00243,2025-06-09,São Paulo,SP,42,4306.22,Outro,servicos,pequena,evento,app_mobile,"5415,89",recusada,"85,09",8,8.8,,sim,nao,sim,concorrencia,233,1,procesado,
NC-00244,2025-06-16,Uberlândia,MG,63,3400.85,F,educacao,media,google_ads,sistema_web,13922.7,aceita,50.04,6,4.5,,sim,sim,nao,NA,233,8,pendente,
NC-00245,2025-02-26,Uberaba,MG,55,9440.93,F,servicos,media,site,consultoria_digital,4268.37,recuzada,31.58,18,7.1,demora_retorno,nao,nao,nao,preco,161,9,,
NC-00246,10-04-2025,Uberaba,MG,52,8190.34,Outro,industria,pequena,indicacao,automacao_processos,6707.84,abandonada,"51,7",12,4.9,,sim,nao,sim,NA,177,5,pendente,
NC-00247,22/10/2025,Goiânia,GO,59,10357.06,Outro,industria,media,instagram,automacao_processos,13953.39,aceita,38.14,14,4.8,nao_entendeu_proposta,sim,sim,nao,preco,101,10,validado,
NC-00248,2025-09-25,São Paulo,SP,26,8903.96,Outro,servicos,pequena,site,app_mobile,8872.2,abandonada,"24,86",7,5.7,NA,sim,nao,sim,prazo,171,17,validado,
NC-00249,2025-06-27,Salvador,BA,44,"10509,32",M,educacao,media,site,sistema_web,13528.87,em_analise,63.85,14,5.5,,sim,nao,nao,preco,61,6,procesado,
NC-00250,04-21-2025,São Paulo,SP,49,10212.62,,saude,pequena,site,automacao_processos,6713.95,em_analise,24.22,17,9.3,nao_entendeu_proposta,sim,nao,nao,NA,307,11,validado,
NC-00251,06-23-2025,Uberlândia,MG,20,3415.35,M,saude,MEI,instagram,app_mobile,3537.91,em_analise,0,27,5.9,preco_alto,sim,nao,nao,concorrencia,294,14,procesado,
NC-00252,2025-05-01,Salvador,BA,19,11970.78,M,varejo,pequena,indicacao,app_mobile,8137.92,recusada,30.27,9,"4,6",preco_alto,sim,nao,sim,concorrencia,65,19,,
NC-00253,2025-10-28,Campinas,SP,33,10499.17,,servicos,media,google_ads,automacao_processos,11604.14,recusada,8.68,12,8.8,preco_alto,sim,nao,sim,,192,11,validado,
NC-00254,2025-02-22,Goiânia,GO,51,9674.44,M,saude,pequena,instagram,sistema_web,500,abandonada,13.85,6,6.0,NA,sim,nao,sim,NA,263,4,procesado,
NC-00255,data_invalida,Salvador,BA,62,3274.2,M,industria,pequena,evento,consultoria_digital,"12653,04",em_analise,0,20,"8,2",concorrente,sim,nao,nao,NA,274,14,,
NC-00256,2025-01-16,Uberlândia,MG,38,1422.5,F,educacao,pequena,google_ads,sistema_web,5186.08,abandonada,"0,78",1,"6,9",,sim,nao,sim,NA,402,15,validado,
NC-00257,01-21-2025,Salvador,BA,36,1200,F,varejo,MEI,site,sistema_web,2413.61,recusada,22.33,13,5.8,preco_alto,sim,nao,sim,falta_contato,467,12,validado,
NC-00258,2025-03-29,Campinas,SP,58,5700.55,,educacao,pequena,google_ads,automacao_processos,10929.9,abandonada,21.45,0,3.3,,sim,nao,sim,preco,47,10,,
NC-00259,2025-06-26,Campinas,SP,65,4639.97,M,varejo,grande,instagram,sistema_web,8459.27,abandonada,0,14,3.8,NA,sim,nao,sim,prazo,72,14,validado,
NC-00260,2025-06-28,Curitiba,PR,32,4178.48,M,servicos,media,google_ads,app_mobile,7736.19,em_analise,48.82,27,5.8,,sim,nao,nao,prazo,5,12,validado,
NC-00261,2025-10-24,São Paulo,SP,67,8860.45,M,varejo,media,instagram,sistema_web,5035.68,recusada,52.71,17,3.6,nao_entendeu_proposta,sim,nao,sim,,125,12,procesado,
NC-00262,2025-05-17,Salvador,BA,27,6175.2,M,saude,MEI,site,sistema_web,7039.12,recusada,27.94,3,8.3,,sim,nao,sim,NA,519,6,validado,
NC-00263,2025-04-19,Salvador,BA,31,12738.39,,educacao,grande,evento,app_mobile,7902.67,em_analise,70.49,17,5.1,concorrente,sim,nao,nao,preco,215,6,procesado,
NC-00264,2025-05-16,Curitiba,PR,65,4046.39,M,servicos,pequena,instagram,app_mobile,9782.4,em_analise,0,24,5.1,demora_retorno,sim,nao,nao,falta_contato,429,10,,
NC-00265,2025-08-23,Campinas,SP,58,"8629,19",M,industria,MEI,site,sistema_web,4979.54,em analise,0,8,7.2,concorrente,sim,nao,sim,NA,337,13,validado,
NC-00266,2025-05-07,Campinas,SP,61,1200,M,industria,MEI,indicacao,automacao_processos,8940.61,em_analise,36.87,18,7.8,concorrente,sim,nao,nao,NA,90,1,,
NC-00267,2025-05-18,Uberlândia,MG,61,8281.77,Outro,varejo,MEI,google_ads,app_mobile,10744.62,recusada,63.37,23,8.7,concorrente,sim,nao,sim,falta_contato,308,4,pendente,
NC-00268,2025-07-03,São Paulo,SP,45,1200,M,industria,pequena,site,consultoria_digital,"8942,26",em_analise,51.31,13,7.1,preco_alto,sim,nao,nao,prazo,214,3,validado,
NC-00269,2025-01-13,Salvador,ba,60,5838.21,M,servicos,pequena,instagram,consultoria_digital,2843.17,recusada,57.33,28,"5,5",preco_alto,sim,nao,sim,preco,5,13,pendente,
NC-00270,2025-01-09,Uberaba,MG,,10619.52,Outro,educacao,pequena,site,app_mobile,"14491,73",aceita,65.7,17,"5,2",preco_alto,sim,sim,nao,prazo,264,13,procesado,
NC-00271,2025-10-15,Goiânia,GO,45,"3778,83",F,servicos,MEI,instagram,app_mobile,11806.72,em_analise,5.88,7,10,NA,sim,nao,nao,concorrencia,248,0,procesado,
NC-00272,04/08/2025,Uberlândia,MG,47,"7225,04",,servicos,pequena,instagram,app_mobile,11534.88,aceita,"46,78",12,5.2,NA,sim,sim,nao,NA,156,10,validado,
NC-00273,2025-01-28,São Paulo,SP,57,"11013,59",Outro,industria,media,site,automacao_processos,"8364,35",recusada,0,22,4.0,concorrente,sim,nao,sim,NA,444,1,procesado,
NC-00274,2025-02-22,Curitiba,PR,70,7355.19,,industria,pequena,indicacao,app_mobile,8592.19,recusada,4.06,10,3.5,preco_alto,sim,nao,sim,concorrencia,39,8,procesado,
NC-00275,data_invalida,Uberlândia,MG,68,12235.2,Outro,varejo,MEI,google_ads,automacao_processos,500,em analise,34.62,15,7.8,preco_alto,sim,nao,sim,preco,278,11,,
NC-00276,2025-01-31,São Paulo,sp,52,2779.39,M,varejo,pequena,instagram,consultoria_digital,"9898,99",em_analise,62.0,0,4.9,concorrente,sim,nao,nao,concorrencia,220,8,pendente,
NC-00277,2025-05-06,Curitiba,pr,31,4439.04,,servicos,MEI,instagram,sistema_web,6936.87,aceita,15.26,16,7.8,nao_entendeu_proposta,sim,sim,nao,preco,149,3,procesado,
NC-00278,2025-09-24,Goiânia,GO,18,"4637,67",M,saude,pequena,indicacao,automacao_processos,"10813,42",em_analise,38.1,28,"5,1",preco_alto,sim,nao,nao,prazo,315,14,validado,
NC-00279,2025-03-29,Uberlândia,MG,50,9958.16,F,saude,MEI,google_ads,consultoria_digital,6250.9,abandonada,77.66,11,6.0,demora_retorno,nao,nao,sim,NA,5,11,,
NC-00280,2025-09-03,Uberaba,MG,51,"5225,93",,industria,MEI,indicacao,automacao_processos,7675.48,aceita,"26,51",1,5.0,preco_alto,sim,sim,nao,preco,5,9,procesado,
NC-00281,2025-09-25,Uberlândia,MG,49,1267.0,F,servicos,MEI,instagram,sistema_web,10518.79,recusada,40.88,18,"7,8",,sim,nao,sim,NA,194,20,procesado,
NC-00282,2025-03-18,Uberaba,MG,62,6308.82,,educacao,grande,site,sistema_web,6182.61,aceita,14.11,18,7.6,nao_entendeu_proposta,sim,sim,nao,NA,322,8,pendente,
NC-00283,2025-09-27,Goiânia,GO,39,5709.93,,servicos,pequena,instagram,automacao_processos,14190.79,abandonada,28.13,31,8.4,,sim,nao,sim,falta_contato,165,2,,
NC-00284,data_invalida,São Paulo,SP,42,13732.44,,servicos,pequena,indicacao,sistema_web,7407.96,aceitaa,59.06,27,6.3,preco_alto,sim,nao,sim,falta_contato,306,10,validado,
NC-00285,01-14-2025,São Paulo,SP,57,"2877,23",M,servicos,MEI,instagram,consultoria_digital,7585.42,abandonada,19.66,29,"4,7",demora_retorno,sim,nao,sim,preco,175,7,validado,
NC-00286,2025-03-23,Goiânia,GO,40,4666.71,Outro,saude,pequena,site,automacao_processos,6144.18,abandonada,48.18,20,"7,4",nao_entendeu_proposta,sim,nao,sim,NA,247,11,validado,
NC-00287,03-17-2025,São Paulo,SP,45,5031.7,Outro,servicos,MEI,instagram,sistema_web,9004.57,recusada,27.1,5,8.0,NA,sim,nao,sim,prazo,210,10,procesado,
NC-00288,2025-09-18,Salvador,BA,39,"7372,78",Outro,industria,pequena,indicacao,app_mobile,6703.92,abandonada,48.67,16,"7,7",nao_entendeu_proposta,sim,nao,sim,NA,267,12,pendente,
