registro_id,data_venda,cidade,uf,cliente_id,modelo_sabre,cor_lamina,categoria,preco_venda,custo_producao,tempo_fabricacao_h,quantidade_produzida,quantidade_vendida,avaliacao_cliente,comentario,mes,participou_promocao,frequencia_compra,dias_desde_ultima_compra,programa_fidelidade,status_pedido,observacao
SABER-00180,12/01/2025,São Paulo,SP,C361,custom,azul,customizado,1585.92,691.62,22,50,40,1.3,ruim,4,,5,55,sim,finalizado,
SABER-00181,2025-04-24,São Paulo,SP,C266,dual_blade,vermelho,padrao,"2402,1",1203.93,8,46,33,4.6,NA,5,sim,0,70,nao,finalizado,
SABER-00182,2025-02-14,São Paulo,sp,C127,custom,vermelho,customizado,1949.21,1458.52,28,6,5,1.2,,2,sim,6,5,nao,procesado,
SABER-00183,2025-05-15,São Paulo,SP,C196,custom,verde,padrao,698.35,394.8,45,7,4,1.3,ruim,9,sim,6,31,sim,procesado,
SABER-00184,2025-01-30,São Paulo,SP,C303,classic,azul,customizado,"1221,5",489.46,15,30,11,1.9,ruim,4,nao,0,51,nao,cancelado,
SABER-00185,2025-08-15,São Paulo,sp,C122,custom,verde,padrao,1297.25,627.71,14,45,8,2.9,,3,,6,21,nao,,
SABER-00186,2025-10-22,São Paulo,sp,C315,custom,amarelo,customizado,2395.75,1053.54,24,39,34,2.5,ruim,8,nao,4,42,nao,finalizado,
SABER-00187,2025-04-21,São Paulo,SP,C205,custom,roxo,customizado,1899.78,1158.58,47,38,13,2.5,ótimo,11,,7,64,nao,finalizado,
SABER-00188,24/07/2025,São Paulo,SP,C367,custom,verde,customizado,1815.58,1018.21,31,24,18,3.9,,7,nao,1,38,sim,finalizado,
SABER-00189,2025-06-26,São Paulo,sp,C137,premium,roxo,padrao,3063.38,1473.31,10,12,7,4.4,ruim,8,,5,52,sim,cancelado,
SABER-00190,2025-07-04,São Paulo,sp,C207,dual_blade,verde,customizado,548.78,378.62,10,11,7,4.2,,5,sim,2,18,nao,cancelado,
SABER-00191,2025-04-07,São Paulo,SP,C237,custom,vermelho,padrao,832.0,589.71,27,14,10,2.6,ótimo,8,nao,8,66,nao,,
SABER-00192,05-21-2025,São Paulo,sp,C324,premium,vermelho,customizado,3664.1,1471.33,13,32,10,4.8,NA,7,nao,0,75,sim,cancelado,
SABER-00193,2025-01-24,São Paulo,SP,C271,elite,amarelo,customizado,1819.92,935.61,4,5,4,3.1,NA,10,,9,21,sim,,
SABER-00194,13/10/2025,São Paulo,SP,C130,elite,azul,padrao,3603.55,1442.69,47,50,23,4.7,NA,7,sim,3,69,sim,procesado,
SABER-00195,2025-08-07,São Paulo,SP,C308,custom,roxo,padrao,2062.66,951.62,19,47,4,4.2,ótimo,1,nao,2,69,nao,cancelado,
SABER-00196,11/02/2025,São Paulo,sp,C26,elite,azul,padrao,2314.26,975.96,36,37,33,4.4,ruim,7,nao,9,48,nao,procesado,
SABER-00197,2025-07-14,São Paulo,sp,C50,dual_blade,vermelho,padrao,2787.19,1134.4,29,7,1,1.5,ótimo,4,sim,5,6,nao,finalizado,
SABER-00198,2025-01-20,São Paulo,SP,C225,custom,vermelho,padrao,"1701,11",862.23,12,13,10,2.7,NA,1,nao,6,80,sim,finalizado,
SABER-00199,2025-03-12,São Paulo,sp,C350,dual_blade,vermelho,padrao,3070.15,1276.55,15,49,41,2.5,,5,nao,0,25,sim,cancelado,
SABER-00200,2025-01-26,São Paulo,sp,C35,classic,amarelo,padrao,808.74,345.19,14,3,2,4.9,ótimo,12,sim,6,17,sim,cancelado,
SABER-00201,2025-10-13,São Paulo,SP,C312,classic,vermelho,padrao,1049.32,505.74,7,5,2,4.5,NA,7,,2,49,nao,,
SABER-00202,06-19-2025,São Paulo,SP,C238,custom,verde,customizado,3062.91,1301.3,45,29,2,2.9,ótimo,4,nao,2,75,sim,,
SABER-00203,2025-01-17,São Paulo,SP,C369,classic,verde,customizado,2381.15,1454.78,9,47,19,4.1,NA,4,nao,10,56,nao,procesado,
SABER-00204,2025-09-15,São Paulo,sp,C302,classic,vermelho,padrao,1641.32,1106.15,19,10,0,1.4,ruim,11,,8,83,sim,finalizado,
SABER-00205,19/09/2025,São Paulo,sp,C205,classic,azul,padrao,2436.21,1053.91,9,45,45,3.8,NA,3,sim,6,47,sim,finalizado,
SABER-00206,2025-10-21,São Paulo,sp,C127,premium,amarelo,customizado,2574.88,1366.82,29,28,5,4.3,,1,sim,9,12,sim,,
SABER-00207,2025-05-13,São Paulo,sp,C310,dual_blade,azul,customizado,1937.77,1343.43,32,50,16,1.2,NA,8,nao,6,30,sim,procesado,
SABER-00208,2025-02-04,São Paulo,SP,C167,dual_blade,azul,padrao,1035.19,719.38,47,26,1,3.9,,2,,7,21,sim,cancelado,
SABER-00209,2025-05-22,São Paulo,SP,C9,dual_blade,roxo,padrao,2233.31,948.81,13,2,2,2.1,,10,,10,72,nao,finalizado,
SABER-00210,2025-02-07,São Paulo,sp,C273,dual_blade,vermelho,customizado,1093.78,540.27,38,33,28,2.7,ruim,2,nao,8,9,sim,procesado,
SABER-00211,08-01-2025,São Paulo,sp,C120,elite,azul,customizado,681.98,349.53,13,44,25,4.8,ótimo,8,nao,8,14,sim,cancelado,
SABER-00212,2025-03-28,São Paulo,sp,C378,custom,azul,padrao,2357.68,1252.54,38,20,12,4.4,,2,,4,78,nao,procesado,
SABER-00213,2025-06-18,São Paulo,SP,C22,premium,azul,customizado,1465.15,641.4,29,49,46,2.8,NA,10,sim,4,60,sim,finalizado,
SABER-00214,2025-04-30,São Paulo,sp,C400,elite,vermelho,padrao,"969,74",754.64,20,25,8,1.4,ruim,1,nao,3,59,nao,finalizado,
SABER-00215,2025-09-28,São Paulo,SP,C94,premium,amarelo,padrao,2667.89,1225.2,34,12,7,1.9,,6,sim,6,51,nao,procesado,
SABER-00216,2025-01-18,São Paulo,sp,C85,classic,amarelo,customizado,2379.11,1011.74,47,26,13,1.2,ruim,10,sim,10,23,sim,procesado,
SABER-00217,2025-02-17,São Paulo,sp,C158,classic,azul,customizado,812.15,346.41,40,10,3,1.7,ruim,10,nao,7,43,sim,cancelado,
SABER-00218,2025-08-05,São Paulo,SP,C300,dual_blade,vermelho,padrao,3166.01,1311.86,18,45,28,2.9,ruim,4,sim,6,12,nao,,
SABER-00219,15/07/2025,São Paulo,sp,C138,dual_blade,amarelo,customizado,1484.47,667.0,41,15,1,4.7,,9,,10,53,sim,,
SABER-00220,2025-08-02,São Paulo,SP,C304,elite,vermelho,customizado,1572.47,743.59,17,40,38,2.9,ruim,11,sim,0,61,sim,finalizado,
SABER-00221,data_invalida,São Paulo,sp,C256,dual_blade,verde,customizado,822.51,563.52,48,27,17,1.5,ótimo,11,nao,0,20,sim,finalizado,
SABER-00222,10/04/2025,São Paulo,SP,C334,premium,verde,customizado,430.47,239.83,4,50,27,2.2,,7,nao,9,9,sim,finalizado,
SABER-00223,2025-09-01,São Paulo,SP,C172,classic,verde,customizado,670.4,289.32,47,24,3,4.5,NA,12,nao,0,64,sim,procesado,
SABER-00224,2025-02-19,São Paulo,sp,C380,classic,azul,padrao,"2605,35",1082.82,35,14,12,1.6,ruim,8,nao,5,80,nao,finalizado,
SABER-00225,2025-08-02,São Paulo,SP,C340,classic,azul,padrao,2946.65,1310.71,44,48,6,4.0,ótimo,1,,5,43,sim,,
SABER-00226,2025-03-07,São Paulo,sp,C75,premium,verde,customizado,1712.19,737.9,16,25,24,1.1,NA,1,nao,1,22,sim,procesado,
SABER-00227,2025-03-08,São Paulo,SP,C197,classic,verde,padrao,"833,55",391.82,21,16,8,2.7,NA,3,sim,9,43,sim,procesado,
SABER-00228,2025-10-13,São Paulo,sp,C122,custom,azul,customizado,2625.1,1238.66,41,8,5,1.6,ruim,6,sim,2,77,nao,cancelado,
SABER-00229,08-09-2025,São Paulo,sp,C26,custom,verde,padrao,1850.44,836.87,9,13,11,2.5,ruim,11,nao,8,82,sim,cancelado,
SABER-00230,2025-04-15,São Paulo,SP,C224,custom,amarelo,customizado,2215.65,1314.0,18,3,3,1.4,ruim,10,,8,53,sim,cancelado,
SABER-00231,10-12-2025,São Paulo,sp,C147,classic,verde,padrao,3501.39,1482.02,12,34,23,2.0,,6,sim,4,42,sim,cancelado,
SABER-00232,05-12-2025,São Paulo,sp,C271,dual_blade,vermelho,padrao,3303.53,1437.27,24,6,1,2.3,NA,8,,2,32,sim,,
SABER-00233,2025-07-16,São Paulo,SP,C371,custom,azul,customizado,2658.78,1144.13,23,20,3,2.9,,3,sim,4,22,sim,finalizado,
SABER-00234,09-30-2025,São Paulo,sp,C17,dual_blade,azul,padrao,666.99,289.42,15,10,7,1.7,NA,1,sim,4,23,nao,,
SABER-00235,2025-06-26,São Paulo,SP,C1,classic,roxo,padrao,"2111,09",1330.98,7,2,1,2.0,NA,10,sim,2,89,sim,finalizado,
SABER-00236,09-10-2025,São Paulo,sp,C73,dual_blade,verde,customizado,1683.67,709.25,14,27,15,3.6,,4,nao,5,8,sim,cancelado,
SABER-00237,data_invalida,São Paulo,sp,C36,premium,vermelho,customizado,1548.46,792.88,12,33,10,3.6,NA,4,sim,7,83,sim,finalizado,
SABER-00238,2025-05-17,São Paulo,sp,C290,elite,azul,padrao,1065.17,833.23,41,14,14,4.8,,8,sim,10,56,sim,procesado,
SABER-00239,2025-08-22,São Paulo,sp,C63,custom,vermelho,padrao,"2327,51",935.03,9,12,8,2.8,ruim,10,nao,4,71,sim,cancelado,
SABER-00240,2025-08-23,São Paulo,SP,C121,premium,amarelo,padrao,1308.14,763.45,34,19,4,3.6,ótimo,6,sim,3,26,sim,cancelado,
SABER-00241,2025-09-14,São Paulo,sp,C102,premium,azul,customizado,301.88,215.7,35,10,7,3.1,ótimo,7,nao,5,13,nao,procesado,
SABER-00242,01/05/2025,São Paulo,sp,C322,dual_blade,verde,customizado,"1529,17",1033.58,38,27,4,3.2,NA,7,sim,5,14,nao,,
SABER-00243,2025-08-08,São Paulo,sp,C319,premium,verde,customizado,1759.54,979.53,6,15,13,1.2,,5,,2,40,sim,finalizado,
SABER-00244,2025-09-06,São Paulo,sp,C138,elite,verde,padrao,1476.56,648.65,41,36,17,3.4,ótimo,4,nao,7,2,nao,cancelado,
SABER-00245,13/05/2025,São Paulo,sp,C99,dual_blade,verde,customizado,485.39,234.73,27,34,17,4.4,,4,,1,30,sim,cancelado,
SABER-00246,2025-03-15,São Paulo,sp,C120,premium,vermelho,customizado,2588.01,1233.87,4,27,16,2.7,ruim,8,,2,14,sim,procesado,
SABER-00247,2025-01-22,São Paulo,SP,C185,dual_blade,azul,padrao,"824,66",341.59,12,14,10,1.7,NA,6,,5,42,nao,procesado,
SABER-00248,2025-01-18,São Paulo,SP,C362,dual_blade,amarelo,padrao,1418.58,823.5,5,33,30,4.1,ruim,3,sim,2,11,sim,procesado,
SABER-00249,20/07/2025,São Paulo,sp,C287,dual_blade,azul,customizado,669.7,290.62,29,15,2,3.5,ruim,7,sim,7,89,nao,procesado,
SABER-00250,2025-02-21,São Paulo,SP,C28,classic,vermelho,padrao,2637.62,1221.07,45,24,23,1.7,ruim,2,sim,4,26,nao,finalizado,
SABER-00251,01-15-2025,São Paulo,SP,C170,classic,azul,padrao,807.14,383.75,18,28,17,4.2,ótimo,11,,6,79,nao,finalizado,
SABER-00252,data_invalida,São Paulo,SP,C205,premium,azul,customizado,1713.82,743.36,18,9,9,4.3,ótimo,6,nao,4,74,nao,finalizado,
SABER-00253,2025-03-09,São Paulo,sp,C63,custom,amarelo,customizado,2629.86,1107.42,5,5,0,3.6,ótimo,12,nao,9,85,nao,,
SABER-00254,16/01/2025,São Paulo,sp,C189,classic,vermelho,padrao,2866.96,1246.18,32,50,11,1.1,NA,6,nao,7,28,nao,cancelado,
SABER-00255,2025-04-26,São Paulo,sp,C11,custom,roxo,customizado,1002.1,440.55,34,24,19,4.2,,9,sim,5,72,sim,,
SABER-00256,03-05-2025,São Paulo,sp,C389,custom,vermelho,padrao,3124.72,1259.94,21,16,10,3.4,NA,12,sim,0,37,nao,finalizado,
SABER-00257,2025-03-27,São Paulo,SP,C108,elite,verde,padrao,2801.73,1421.38,28,47,44,2.5,NA,7,nao,0,28,sim,,
SABER-00258,2025-05-25,São Paulo,SP,C350,premium,azul,padrao,"1412,86",664.59,23,26,6,2.1,,7,,5,20,nao,cancelado,
SABER-00259,2025-06-09,São Paulo,SP,C220,custom,azul,padrao,2983.39,1495.66,10,7,0,4.2,,10,,0,74,sim,,
SABER-00260,19/10/2025,São Paulo,SP,C225,elite,vermelho,customizado,2690.11,1240.3,34,36,33,2.4,ótimo,6,,6,58,nao,procesado,
SABER-00261,2025-07-08,São Paulo,SP,C38,classic,vermelho,customizado,357.48,281.73,20,11,0,4.0,NA,3,nao,5,57,nao,finalizado,
SABER-00262,2025-03-25,São Paulo,SP,C267,dual_blade,amarelo,customizado,"2432,25",1236.81,36,10,4,3.0,,5,sim,7,8,nao,procesado,
SABER-00263,2025-02-16,São Paulo,sp,C389,elite,roxo,padrao,1563.88,1069.58,16,24,7,4.3,,8,nao,5,84,nao,procesado,
SABER-00264,2025-03-26,São Paulo,SP,C192,classic,verde,padrao,1721.09,812.0,48,27,14,1.3,ruim,8,sim,8,36,sim,,
SABER-00265,2025-05-01,São Paulo,sp,C157,elite,amarelo,padrao,632.64,347.29,20,39,28,2.1,ótimo,8,,5,38,sim,cancelado,
SABER-00266,2025-01-03,São Paulo,sp,C20,custom,vermelho,customizado,2143.2,1495.67,37,49,48,1.1,ótimo,3,nao,2,3,nao,procesado,
SABER-00267,2025-03-29,São Paulo,sp,C216,premium,verde,customizado,3320.28,1402.8,12,43,16,3.7,,4,nao,7,46,nao,cancelado,
SABER-00268,2025-03-17,São Paulo,sp,C254,dual_blade,verde,padrao,2197.51,1334.87,23,39,36,1.4,ruim,9,sim,1,27,sim,cancelado,
SABER-00269,2025-08-20,São Paulo,sp,C87,classic,azul,customizado,1783.1,915.34,26,40,32,4.0,,6,nao,9,23,nao,finalizado,
SABER-00270,18/07/2025,São Paulo,SP,C301,elite,verde,padrao,2980.13,1286.79,11,16,1,3.4,,9,,1,35,nao,,
SABER-00271,04-17-2025,São Paulo,SP,C64,classic,roxo,padrao,698.68,432.15,38,7,7,1.5,ótimo,4,,0,5,nao,finalizado,
SABER-00272,2025-06-10,São Paulo,SP,C219,premium,amarelo,padrao,510.68,270.83,4,1,1,4.2,,7,sim,5,23,nao,procesado,
SABER-00273,2025-06-15,São Paulo,sp,C202,classic,verde,padrao,576.26,263.39,33,48,27,1.9,ótimo,7,sim,2,39,sim,cancelado,
SABER-00274,2025-05-26,São Paulo,SP,C233,elite,azul,customizado,2155.71,1274.64,47,14,4,3.7,NA,2,nao,6,88,nao,,
SABER-00275,2025-09-14,São Paulo,sp,C195,classic,verde,padrao,2312.46,1498.45,47,45,31,4.6,NA,3,,5,29,nao,procesado,
SABER-00276,2025-03-22,São Paulo,sp,C80,dual_blade,vermelho,customizado,1731.43,1335.81,37,29,16,3.7,,5,nao,7,49,nao,,
SABER-00277,06/08/2025,São Paulo,sp,C320,classic,amarelo,padrao,1350.12,626.61,10,26,21,1.3,,5,nao,2,26,nao,procesado,
SABER-00278,2025-03-20,São Paulo,SP,C237,dual_blade,amarelo,customizado,2681.6,1124.66,32,23,10,2.4,ótimo,1,nao,10,14,sim,,
SABER-00279,2025-09-11,São Paulo,sp,C89,dual_blade,azul,customizado,2240.22,1240.34,13,24,2,4.0,,10,,4,45,nao,procesado,
SABER-00280,2025-03-29,São Paulo,sp,C263,classic,azul,customizado,2800.72,1499.84,23,32,2,1.7,NA,6,sim,1,90,nao,,
SABER-00281,2025-06-10,São Paulo,sp,C221,elite,roxo,customizado,1694.14,952.02,7,15,8,1.6,,4,nao,4,72,nao,procesado,
SABER-00282,2025-02-17,São Paulo,sp,C224,dual_blade,roxo,customizado,1886.61,963.52,37,47,20,2.8,ruim,1,sim,6,48,nao,finalizado,
SABER-00283,2025-05-02,São Paulo,SP,C397,custom,roxo,padrao,383.95,306.11,22,29,13,4.7,NA,11,,6,11,sim,cancelado,
SABER-00284,2025-07-30,São Paulo,sp,C18,dual_blade,vermelho,customizado,"1689,17",789.15,48,5,0,4.6,ruim,8,,8,21,sim,cancelado,
SABER-00285,2025-04-04,São Paulo,SP,C146,custom,vermelho,customizado,1798.69,1006.88,27,50,26,4.2,,6,sim,10,14,nao,finalizado,
SABER-00286,2025-01-14,São Paulo,sp,C177,dual_blade,amarelo,customizado,"2704,94",1350.68,12,5,0,2.0,NA,8,sim,2,12,sim,cancelado,
SABER-00287,2025-10-08,São Paulo,SP,C62,premium,verde,customizado,967.03,519.98,26,3,3,1.3,ótimo,2,nao,3,12,nao,procesado,
SABER-00288,2025-07-11,São Paulo,sp,C313,dual_blade,verde,padrao,834.56,632.46,16,9,6,5.0,ruim,10,sim,10,23,sim,finalizado,
SABER-00289,2025-09-17,São Paulo,SP,C45,elite,roxo,padrao,1641.42,814.26,20,46,4,2.2,ruim,4,,4,4,sim,cancelado,
SABER-00290,2025-09-22,São Paulo,sp,C341,premium,vermelho,customizado,812.96,480.69,45,45,1,3.9,NA,9,,1,6,sim,,
SABER-00291,2025-04-22,São Paulo,sp,C205,premium,verde,customizado,728.7,346.8,9,21,16,3.4,,1,sim,1,6,nao,procesado,
SABER-00292,2025-07-22,São Paulo,sp,C271,elite,verde,customizado,"2562,63",1030.47,30,49,10,1.9,NA,3,sim,9,80,sim,cancelado,
SABER-00293,2025-07-13,São Paulo,SP,C386,classic,vermelho,customizado,1212.62,857.85,21,43,33,4.8,ótimo,10,sim,9,1,sim,,
SABER-00294,2025-03-11,São Paulo,sp,C30,premium,vermelho,customizado,2269.48,1358.7,25,26,12,1.6,ruim,3,,9,59,nao,,
SABER-00295,04/02/2025,São Paulo,sp,C160,premium,azul,customizado,3600.85,1457.39,48,15,9,1.6,ótimo,9,sim,0,57,nao,procesado,
SABER-00296,2025-02-22,São Paulo,SP,C278,classic,azul,padrao,2543.34,1142.61,11,28,1,3.7,ótimo,4,,4,86,sim,cancelado,
SABER-00297,2025-04-15,São Paulo,sp,C11,classic,azul,customizado,1641.76,1000.45,36,27,27,3.9,ruim,11,nao,7,11,nao,cancelado,
SABER-00298,2025-07-27,São Paulo,sp,C364,classic,amarelo,customizado,1185.5,501.27,3,44,35,3.3,,10,nao,1,17,sim,cancelado,
SABER-00299,2025-03-12,São Paulo,sp,C242,elite,roxo,padrao,1811.99,1337.81,25,29,29,1.7,NA,4,nao,1,79,nao,finalizado,
SABER-00300,2025-03-29,São Paulo,SP,C199,classic,verde,customizado,1138.4,499.07,42,43,1,4.2,NA,10,sim,10,10,sim,cancelado,
SABER-00301,2025-10-04,São Paulo,sp,C299,dual_blade,azul,padrao,1343.57,825.15,29,33,8,3.1,ótimo,4,sim,6,71,nao,procesado,
SABER-00302,2025-08-10,São Paulo,SP,C265,dual_blade,verde,customizado,"2775,63",1315.08,43,8,0,2.5,ótimo,9,nao,10,84,nao,procesado,
SABER-00303,2025-02-08,São Paulo,sp,C365,elite,roxo,customizado,694.68,404.26,40,43,8,3.3,ruim,1,,10,86,nao,finalizado,
SABER-00304,2025-02-20,São Paulo,SP,C375,classic,vermelho,padrao,1625.5,805.66,20,49,14,3.5,ótimo,11,sim,5,10,sim,,
SABER-00305,2025-09-09,São Paulo,sp,C181,custom,verde,padrao,1265.58,811.78,39,2,1,3.7,,12,sim,1,74,sim,,
SABER-00306,25/07/2025,São Paulo,sp,C4,dual_blade,azul,customizado,2771.37,1114.73,45,4,1,3.2,,2,,3,87,nao,finalizado,
SABER-00307,2025-02-02,São Paulo,sp,C278,elite,vermelho,padrao,1602.28,879.0,4,13,4,1.8,ruim,10,nao,8,20,nao,,
SABER-00308,2025-01-07,São Paulo,SP,C78,elite,roxo,padrao,1646.99,738.87,43,20,14,4.5,ruim,4,sim,8,58,nao,,
SABER-00309,2025-06-19,São Paulo,SP,C111,elite,vermelho,padrao,"1135,84",534.6,40,29,8,2.0,,12,sim,10,22,nao,procesado,
SABER-00310,2025-07-24,São Paulo,SP,C175,elite,verde,customizado,749.42,441.64,39,35,14,3.2,NA,9,sim,4,43,sim,procesado,
SABER-00311,2025-09-07,São Paulo,sp,C369,elite,vermelho,customizado,2777.02,1194.41,34,27,8,3.5,ruim,9,nao,6,35,sim,,
SABER-00312,2025-04-04,São Paulo,sp,C93,custom,vermelho,customizado,812.24,326.59,2,50,11,2.6,ótimo,3,sim,1,17,sim,cancelado,
SABER-00313,05/02/2025,São Paulo,sp,C155,elite,vermelho,padrao,554.25,283.29,38,10,1,1.0,ótimo,7,nao,1,55,nao,cancelado,
SABER-00314,10-05-2025,São Paulo,SP,C163,elite,azul,customizado,3543.62,1459.43,10,3,1,3.4,ótimo,12,sim,10,2,sim,,
SABER-00315,2025-10-19,São Paulo,sp,C370,dual_blade,amarelo,padrao,"2124,18",1106.21,28,38,24,3.6,ótimo,7,sim,0,12,sim,,
SABER-00316,2025-04-14,São Paulo,sp,C399,dual_blade,vermelho,padrao,"1323,89",828.92,30,32,23,2.7,ruim,5,,7,19,sim,procesado,
SABER-00317,2025-09-20,São Paulo,SP,C258,dual_blade,azul,customizado,"1260,77",630.49,21,37,23,4.0,ótimo,8,sim,10,69,sim,,
SABER-00318,2025-05-26,São Paulo,SP,C45,premium,verde,customizado,"1372,4",646.0,35,15,7,3.1,ruim,2,nao,4,44,nao,,
SABER-00319,2025-01-10,São Paulo,SP,C374,dual_blade,vermelho,customizado,2536.57,1031.12,25,50,4,1.8,NA,4,,10,0,nao,,
SABER-00320,2025-01-12,São Paulo,SP,C338,premium,roxo,customizado,437.56,239.92,11,28,23,4.9,ruim,6,,9,13,sim,cancelado,
SABER-00321,2025-07-15,São Paulo,sp,C143,custom,verde,padrao,"3403,58",1371.49,30,4,4,3.7,NA,5,nao,6,18,nao,procesado,
SABER-00322,2025-08-13,São Paulo,SP,C34,classic,roxo,customizado,"1899,03",1313.66,31,28,28,2.8,ótimo,2,sim,1,25,sim,cancelado,
SABER-00323,2025-09-20,São Paulo,SP,C179,classic,verde,padrao,2426.97,981.4,17,27,26,1.1,ótimo,1,nao,0,50,nao,,
SABER-00324,2025-04-12,São Paulo,sp,C111,dual_blade,amarelo,customizado,971.78,659.68,40,42,31,3.3,ótimo,4,nao,4,13,sim,cancelado,
SABER-00325,2025-07-30,São Paulo,sp,C75,classic,azul,padrao,2665.73,1486.0,17,36,17,1.7,ruim,10,nao,2,21,nao,procesado,
SABER-00326,2025-01-15,São Paulo,SP,C383,premium,vermelho,padrao,"3062,48",1324.64,3,12,9,2.3,ruim,3,,10,36,sim,cancelado,
SABER-00327,2025-01-04,São Paulo,SP,C255,elite,azul,customizado,508.65,222.76,6,33,31,3.4,,2,,4,80,nao,,
SABER-00328,2025-06-02,São Paulo,sp,C7,classic,verde,padrao,1261.68,876.92,6,48,11,3.3,ótimo,7,sim,4,64,nao,,
SABER-00329,2025-04-12,São Paulo,SP,C243,classic,azul,customizado,1843.77,871.37,47,14,9,2.6,,1,,9,63,nao,finalizado,
SABER-00330,2025-02-11,São Paulo,SP,C209,elite,vermelho,padrao,2102.93,928.66,31,27,22,4.4,ótimo,11,,9,8,sim,finalizado,
SABER-00331,2025-01-04,São Paulo,SP,C344,classic,vermelho,padrao,1653.22,1132.58,17,6,6,1.1,,2,sim,10,64,sim,procesado,
SABER-00332,2025-02-16,São Paulo,sp,C364,dual_blade,roxo,customizado,1351.12,803.52,36,26,23,3.1,ruim,4,,5,1,sim,cancelado,
SABER-00333,2025-03-05,São Paulo,SP,C233,elite,azul,padrao,957.9,496.29,32,35,12,4.3,ruim,4,sim,2,3,nao,procesado,
SABER-00334,2025-06-04,São Paulo,SP,C115,dual_blade,vermelho,customizado,2181.42,1226.68,19,28,12,3.2,,2,,3,11,sim,procesado,
SABER-00335,2025-07-03,São Paulo,sp,C158,dual_blade,vermelho,padrao,1396.6,761.92,35,50,21,4.8,ruim,5,nao,4,38,nao,cancelado,
SABER-00336,data_invalida,São Paulo,SP,C386,custom,azul,padrao,2150.6,1094.34,28,49,3,4.7,,2,sim,3,49,nao,procesado,
SABER-00337,07-20-2025,São Paulo,SP,C75,premium,azul,padrao,659.22,445.27,8,2,0,2.0,,12,nao,6,31,sim,finalizado,
SABER-00338,04/03/2025,São Paulo,SP,C373,elite,azul,customizado,"389,18",217.91,21,45,27,2.6,NA,2,,3,87,sim,procesado,
SABER-00339,2025-10-15,São Paulo,SP,C310,dual_blade,azul,padrao,"1130,93",831.86,9,35,6,1.7,,1,sim,2,52,nao,cancelado,
SABER-00340,2025-07-20,São Paulo,sp,C189,custom,azul,customizado,1677.8,872.29,48,3,0,1.4,,11,sim,3,61,nao,procesado,
SABER-00341,23/05/2025,São Paulo,sp,C63,custom,azul,customizado,2064.66,952.8,21,41,14,1.6,,6,,7,85,nao,,
SABER-00342,09-01-2025,São Paulo,sp,C271,custom,azul,customizado,495.15,396.32,31,27,2,3.6,ótimo,1,,9,84,nao,,
SABER-00343,2025-01-13,São Paulo,sp,C24,classic,verde,customizado,1013.76,678.86,20,12,10,3.1,NA,3,,7,66,sim,procesado,
SABER-00344,2025-09-21,São Paulo,sp,C363,custom,verde,customizado,1731.5,710.44,17,4,1,2.7,ótimo,1,nao,7,81,sim,cancelado,
SABER-00345,2025-07-20,São Paulo,sp,C88,custom,verde,padrao,"2459,5",1240.22,29,31,11,4.8,,3,sim,10,78,sim,procesado,
SABER-00346,2025-04-05,São Paulo,sp,C294,elite,verde,padrao,1371.44,579.16,38,44,33,1.3,,1,sim,3,54,nao,procesado,
SABER-00347,2025-04-28,São Paulo,sp,C338,custom,vermelho,padrao,1800.81,1211.14,9,33,21,3.1,NA,7,sim,8,81,nao,cancelado,
SABER-00348,2025-08-06,São Paulo,SP,C345,premium,azul,customizado,1078.75,582.37,29,17,2,1.3,ruim,10,sim,1,62,sim,finalizado,
SABER-00349,2025-10-27,São Paulo,sp,C381,elite,vermelho,padrao,"1189,6",583.01,23,28,23,1.9,ótimo,4,,7,31,nao,cancelado,
SABER-00350,09-18-2025,São Paulo,SP,C159,dual_blade,azul,customizado,2804.26,1157.35,18,14,3,3.2,NA,3,sim,5,44,sim,,
SABER-00351,2025-05-02,São Paulo,sp,C25,classic,verde,customizado,2359.77,1239.13,35,26,3,2.3,ruim,11,,5,77,nao,cancelado,
SABER-00352,2025-08-08,São Paulo,SP,C240,premium,verde,padrao,708.4,370.46,27,29,26,1.6,,7,nao,4,89,sim,procesado,
SABER-00353,2025-07-16,São Paulo,SP,C23,premium,azul,padrao,2219.43,1447.29,19,13,3,2.8,,2,sim,7,35,sim,procesado,
SABER-00354,2025-03-21,São Paulo,sp,C52,premium,amarelo,customizado,"819,7",551.18,9,21,18,2.1,ruim,12,sim,5,40,sim,cancelado,
SABER-00355,2025-10-27,São Paulo,SP,C123,custom,vermelho,padrao,2484.68,1298.64,18,5,5,3.5,ótimo,11,sim,5,40,sim,cancelado,
SABER-00356,2025-06-12,São Paulo,sp,C134,custom,azul,customizado,502.95,273.64,45,17,13,1.8,NA,4,sim,6,44,nao,procesado,
SABER-00357,10/01/2025,São Paulo,sp,C91,elite,verde,padrao,1355.55,902.04,42,40,21,4.3,,9,sim,9,47,sim,cancelado,
SABER-00358,2025-08-21,São Paulo,SP,C393,elite,vermelho,padrao,2248.69,1335.29,12,12,6,2.6,,4,sim,2,56,nao,cancelado,
SABER-00359,03-18-2025,São Paulo,SP,C58,premium,roxo,padrao,"1026,5",447.57,17,26,21,4.7,ótimo,11,sim,2,17,nao,,
SABER-00360,2025-02-26,São Paulo,SP,C306,classic,verde,customizado,1844.42,1108.31,10,32,30,3.8,ruim,8,nao,2,43,nao,,
