registro_id,data_publicacao,autor_id,cidade,uf,titulo,tema,tempo_leitura_seg,tempo_avaliacao_seg,avaliacao,usuario_id,historico_postagens,dispositivo,verificado,credencial_declarada,credencial_validada,publicacoes_anteriores,premios,engajamento,sentimento,cancelado_assinatura,motivo_cancelamento,status_conteudo,observacao
TST-00163,2025-03-22,A90,Goiânia,PR,Artigo 163,tecnlogia,729,22,4.5,U75,49,tablet,sim,phd,sim,17,9,456,positivo,sim,conteudo_ruim,procesado,
TST-00164,2025-02-08,A88,Goiânia,sp,Artigo 164,política,516,73,3.5,U407,27,desktop,sim,phd,nao,17,2,850,neutro,sim,conteudo_ruim,procesado,
TST-00165,08-22-2025,A144,Uberlândia,MG,Artigo 165,tecnologia,184,22,5,U429,65,tablet,sim,,nao,32,8,765,positivo,nao,,,
TST-00166,2025-04-01,A11,Curitiba,GO,Artigo 166,ciencia,45,3,3.7,U396,55,tablet,nao,phd,sim,15,2,105,negativo,nao,conteudo_ruim,ativo,
TST-00167,2025-01-28,A123,Curitiba,SP,Artigo 167,tecnlogia,5,35,1.6,U445,88,desktop,nao,especialista,sim,5,2,262,negativo,nao,,,
TST-00168,01/08/2025,A184,Curitiba,GO,Artigo 168,tecnlogia,503,104,3.8,U201,1,mobile,sim,mestre,nao,11,9,55,negativo,nao,fake,ativo,
TST-00169,2025-08-19,A86,Curitiba,SP,Artigo 169,economia,293,30,3.9,U75,82,desktop,sim,especialista,nao,44,10,928,negativo,nao,sem_interesse,removido,
TST-00170,2025-01-05,A164,Goiânia,PR,Artigo 170,política,297,17,3.2,U485,8,mobile,sim,,sim,48,0,136,positivo,sim,,,
TST-00171,2025-10-02,A166,Goiânia,GO,Artigo 171,ciencia,45,54,3.6,U335,5,mobile,nao,phd,nao,17,5,37,positivo,nao,,ativo,
TST-00172,05-08-2025,A187,Uberlândia,MG,Artigo 172,tecnlogia,277,7,2.1,U476,9,mobile,sim,,nao,41,10,155,positivo,sim,sem_interesse,ativo,
TST-00173,2025-09-08,A57,Goiânia,GO,Artigo 173,política,218,59,4.1,U176,79,tablet,nao,,nao,4,8,85,negativo,nao,conteudo_ruim,,
TST-00174,2025-08-17,A16,São Paulo,sp,Artigo 174,tecnlogia,246,1,3.6,U266,50,tablet,sim,phd,nao,38,9,459,positivo,sim,conteudo_ruim,ativo,
TST-00175,09-16-2025,A125,São Paulo,PR,Artigo 175,tecnlogia,446,40,4.2,U232,70,mobile,sim,mestre,sim,43,1,302,positivo,nao,sem_interesse,,
TST-00176,data_invalida,A52,Goiânia,MG,Artigo 176,tecnologia,403,66,4.5,U428,79,mobile,sim,phd,,4,6,574,neutro,nao,,ativo,
TST-00177,2025-10-19,A24,Uberlândia,PR,Artigo 177,tecnlogia,279,1,2.5,U17,57,tablet,nao,especialista,sim,4,6,337,positivo,sim,,procesado,
TST-00178,2025-03-12,A17,Curitiba,PR,Artigo 178,tecnlogia,32,8,4.9,U452,58,tablet,nao,,,13,6,352,negativo,sim,conteudo_ruim,ativo,
TST-00179,2025-04-01,A88,Uberlândia,MG,Artigo 179,política,115,36,5,U423,3,mobile,sim,,,17,8,669,neutro,nao,fake,procesado,
TST-00180,2025-06-23,A20,São Paulo,sp,Artigo 180,tecnlogia,552,1,4.3,U226,68,tablet,nao,especialista,,18,0,72,negativo,sim,sem_interesse,ativo,
TST-00181,2025-06-09,A129,São Paulo,SP,Artigo 181,tecnlogia,372,42,2.9,U3,80,desktop,sim,mestre,nao,30,5,121,positivo,nao,sem_interesse,ativo,
TST-00182,2025-09-04,A42,Curitiba,SP,Artigo 182,tecnlogia,169,11,4.4,U188,84,mobile,sim,,nao,0,2,721,positivo,sim,,procesado,
TST-00183,2025-05-02,A137,Uberlândia,SP,Artigo 183,tecnologia,390,27,5,U452,5,mobile,nao,mestre,,34,10,283,negativo,sim,conteudo_ruim,ativo,
TST-00184,2025-07-25,A105,Uberlândia,PR,Artigo 184,economia,138,54,2.5,U129,24,desktop,sim,,,6,8,326,neutro,nao,sem_interesse,,
TST-00185,2025-08-03,A97,São Paulo,GO,Artigo 185,política,5,37,4.2,U198,14,mobile,nao,,sim,6,9,763,positivo,sim,,removido,
TST-00186,27/06/2025,A41,Uberlândia,MG,Artigo 186,tecnlogia,82,40,2.5,U107,30,desktop,nao,,,8,7,44,negativo,sim,,procesado,
TST-00187,10-15-2025,A15,Uberlândia,PR,Artigo 187,política,286,23,4.5,U379,37,desktop,sim,mestre,nao,34,3,816,positivo,nao,conteudo_ruim,procesado,
TST-00188,27/10/2025,A30,Curitiba,MG,Artigo 188,ciencia,133,11,4.3,U473,55,desktop,nao,,,40,0,990,negativo,sim,sem_interesse,ativo,
TST-00189,2025-07-22,A131,São Paulo,SP,Artigo 189,tecnlogia,390,37,1.3,U129,100,mobile,nao,especialista,nao,5,0,378,neutro,sim,,procesado,
TST-00190,06-02-2025,A165,Uberlândia,MG,Artigo 190,política,467,10,2.5,U327,71,tablet,sim,phd,sim,13,7,482,positivo,sim,sem_interesse,ativo,
TST-00191,2025-09-25,A16,Uberlândia,SP,Artigo 191,tecnologia,291,1,3.4,U400,90,tablet,sim,,nao,32,5,605,neutro,nao,,,
TST-00192,2025-09-29,A52,Goiânia,GO,Artigo 192,tecnlogia,373,24,4.8,U84,80,tablet,sim,especialista,nao,14,6,78,positivo,nao,conteudo_ruim,,
TST-00193,data_invalida,A10,Goiânia,MG,Artigo 193,tecnlogia,711,1,3.8,U475,3,mobile,sim,,,5,5,559,positivo,nao,conteudo_ruim,removido,
TST-00194,2025-07-02,A142,Uberlândia,PR,Artigo 194,política,135,1,2.8,U271,80,desktop,sim,especialista,nao,37,1,893,positivo,sim,,ativo,
TST-00195,02-10-2025,A197,Uberlândia,SP,Artigo 195,tecnlogia,92,46,3.3,U309,29,tablet,sim,mestre,sim,46,8,88,negativo,sim,sem_interesse,removido,
TST-00196,2025-09-17,A69,São Paulo,PR,Artigo 196,tecnlogia,230,64,3.7,U359,30,desktop,nao,,sim,26,0,356,positivo,nao,fake,ativo,
TST-00197,2025-07-15,A169,São Paulo,SP,Artigo 197,saude,230,23,3.9,U108,8,tablet,sim,mestre,,45,5,355,negativo,nao,,,
TST-00198,28/08/2025,A85,Goiânia,SP,Artigo 198,política,386,10,5,U91,21,tablet,nao,especialista,nao,36,7,626,positivo,nao,sem_interesse,,
TST-00199,2025-01-03,A151,São Paulo,GO,Artigo 199,ciencia,546,45,3.8,U412,34,tablet,sim,especialista,nao,11,6,519,positivo,nao,conteudo_ruim,ativo,
TST-00200,08-27-2025,A80,Curitiba,sp,Artigo 200,tecnlogia,198,32,5,U482,50,tablet,sim,phd,nao,21,4,404,positivo,nao,,procesado,
TST-00201,2025-05-14,A36,Goiânia,GO,Artigo 201,tecnologia,419,36,4.6,U273,1,mobile,nao,,sim,18,5,932,neutro,nao,,procesado,
TST-00202,2025-07-21,A191,São Paulo,PR,Artigo 202,tecnlogia,5,10,3.5,U104,12,desktop,sim,phd,,27,8,621,negativo,sim,fake,ativo,
TST-00203,2025-04-14,A86,Uberlândia,SP,Artigo 203,política,328,66,4.3,U336,18,tablet,sim,mestre,nao,35,0,427,positivo,nao,fake,,
TST-00204,2025-03-08,A162,Uberlândia,GO,Artigo 204,ciencia,396,51,4.4,U256,98,mobile,sim,,nao,37,0,522,positivo,sim,conteudo_ruim,,
TST-00205,08-23-2025,A9,Curitiba,SP,Artigo 205,tecnlogia,121,81,4.6,U189,79,desktop,nao,mestre,sim,0,10,815,neutro,nao,fake,ativo,
TST-00206,27/06/2025,A61,São Paulo,GO,Artigo 206,tecnlogia,165,16,4.8,U269,51,tablet,nao,phd,sim,7,3,582,positivo,sim,fake,ativo,
TST-00207,03/03/2025,A8,Uberlândia,GO,Artigo 207,política,198,48,5,U143,30,tablet,sim,,sim,13,7,871,positivo,nao,conteudo_ruim,,
TST-00208,2025-03-06,A111,Uberlândia,MG,Artigo 208,tecnlogia,95,34,5,U343,92,desktop,sim,especialista,sim,0,7,387,neutro,sim,conteudo_ruim,procesado,
TST-00209,2025-04-01,A4,Goiânia,GO,Artigo 209,tecnologia,604,1,3.6,U480,22,tablet,nao,,sim,11,5,799,neutro,sim,,procesado,
TST-00210,02-14-2025,A95,Uberlândia,sp,Artigo 210,política,364,1,4.1,U79,1,tablet,sim,phd,sim,49,8,951,neutro,sim,conteudo_ruim,removido,
TST-00211,2025-06-21,A58,Uberlândia,MG,Artigo 211,política,325,16,5,U490,24,desktop,sim,phd,nao,13,2,840,positivo,nao,,ativo,
TST-00212,2025-05-07,A141,Uberlândia,MG,Artigo 212,tecnlogia,246,51,5,U24,96,tablet,sim,especialista,nao,3,1,695,positivo,sim,,ativo,
TST-00213,2025-05-17,A141,Uberlândia,sp,Artigo 213,tecnlogia,305,46,5,U23,8,tablet,sim,especialista,sim,5,6,268,neutro,nao,,removido,
TST-00214,2025-09-05,A45,Goiânia,PR,Artigo 214,política,98,13,4.2,U371,100,mobile,nao,phd,sim,28,10,81,neutro,nao,sem_interesse,,
TST-00215,2025-05-29,A10,São Paulo,GO,Artigo 215,política,449,43,5,U107,83,desktop,nao,,sim,28,6,526,negativo,nao,fake,procesado,
TST-00216,2025-03-04,A117,São Paulo,sp,Artigo 216,tecnlogia,613,26,4.2,U443,32,tablet,nao,especialista,sim,29,3,133,neutro,nao,,removido,
TST-00217,10-17-2025,A81,Goiânia,GO,Artigo 217,ciencia,483,53,4.5,U315,62,mobile,sim,phd,nao,33,6,269,negativo,nao,,procesado,
TST-00218,01/02/2025,A126,Curitiba,GO,Artigo 218,ciencia,562,23,3.7,U148,2,tablet,nao,phd,nao,25,3,99,negativo,nao,,,
TST-00219,data_invalida,A138,Goiânia,GO,Artigo 219,tecnlogia,308,30,3.9,U470,86,mobile,nao,,sim,5,4,118,positivo,nao,fake,procesado,
TST-00220,2025-01-18,A193,Curitiba,MG,Artigo 220,tecnlogia,272,75,4.2,U285,51,mobile,sim,,,19,10,909,positivo,sim,conteudo_ruim,ativo,
TST-00221,2025-01-31,A163,Goiânia,MG,Artigo 221,política,137,61,5.0,U55,29,desktop,sim,phd,,5,7,38,positivo,sim,sem_interesse,procesado,
TST-00222,2025-01-28,A4,Goiânia,SP,Artigo 222,saude,84,58,3.4,U260,73,tablet,nao,,nao,28,4,557,positivo,nao,conteudo_ruim,removido,
TST-00223,2025-01-03,A163,Uberlândia,SP,Artigo 223,política,270,6,3.7,U390,19,mobile,sim,phd,sim,42,8,573,positivo,nao,conteudo_ruim,,
TST-00224,2025-09-09,A93,Uberlândia,PR,Artigo 224,política,325,53,5,U204,98,desktop,nao,mestre,sim,24,2,415,positivo,nao,conteudo_ruim,,
TST-00225,2025-01-26,A17,São Paulo,PR,Artigo 225,tecnlogia,426,71,5,U431,43,desktop,nao,,,21,2,589,positivo,nao,sem_interesse,ativo,
TST-00226,2025-08-21,A89,Goiânia,SP,Artigo 226,política,421,1,4.7,U362,86,desktop,sim,especialista,,40,7,148,positivo,nao,sem_interesse,procesado,
TST-00227,2025-06-04,A118,São Paulo,PR,Artigo 227,tecnlogia,211,1,2.9,U494,38,tablet,sim,phd,,19,8,55,negativo,sim,fake,,
TST-00228,19/07/2025,A155,Curitiba,PR,Artigo 228,ciencia,381,1,2.4,U317,30,tablet,nao,mestre,,29,2,712,positivo,sim,fake,procesado,
TST-00229,2025-05-24,A121,Uberlândia,MG,Artigo 229,tecnlogia,346,16,4.9,U377,36,tablet,sim,mestre,,12,2,208,neutro,nao,,removido,
TST-00230,2025-07-31,A119,Uberlândia,GO,Artigo 230,tecnologia,295,39,5,U159,52,mobile,nao,mestre,nao,34,9,216,neutro,nao,conteudo_ruim,,
TST-00231,2025-03-26,A158,Goiânia,SP,Artigo 231,política,5,39,4.0,U93,29,mobile,sim,phd,sim,40,9,692,positivo,nao,fake,removido,
TST-00232,2025-07-06,A32,Goiânia,SP,Artigo 232,política,5,1,5,U321,87,tablet,nao,especialista,sim,6,3,792,negativo,sim,,removido,
TST-00233,2025-03-04,A169,São Paulo,sp,Artigo 233,política,188,73,4.4,U218,46,tablet,nao,,,45,3,319,neutro,sim,sem_interesse,procesado,
TST-00234,08-29-2025,A98,Uberlândia,PR,Artigo 234,tecnlogia,157,24,4.1,U155,53,desktop,sim,,nao,2,3,921,negativo,sim,conteudo_ruim,removido,
TST-00235,08-28-2025,A55,Uberlândia,MG,Artigo 235,economia,173,24,2.7,U214,100,tablet,nao,mestre,sim,4,8,601,neutro,nao,,procesado,
TST-00236,2025-02-18,A197,São Paulo,PR,Artigo 236,política,8,64,4.7,U411,69,tablet,nao,phd,sim,39,2,257,neutro,nao,sem_interesse,procesado,
TST-00237,2025-05-03,A105,São Paulo,MG,Artigo 237,economia,553,43,4.0,U144,2,desktop,sim,especialista,nao,38,4,477,positivo,sim,sem_interesse,procesado,
TST-00238,2025-06-07,A46,Curitiba,GO,Artigo 238,tecnlogia,414,27,2.2,U204,15,tablet,nao,,,14,7,635,neutro,nao,sem_interesse,removido,
TST-00239,27/02/2025,A198,Curitiba,PR,Artigo 239,política,323,73,5,U187,78,tablet,sim,,sim,20,3,825,negativo,sim,,,
TST-00240,data_invalida,A200,Curitiba,MG,Artigo 240,política,83,41,3.8,U454,12,mobile,sim,mestre,nao,17,7,234,neutro,sim,,ativo,
TST-00241,2025-07-11,A169,São Paulo,GO,Artigo 241,ciencia,471,4,5,U214,90,tablet,nao,especialista,nao,32,7,641,negativo,nao,conteudo_ruim,,
TST-00242,2025-09-02,A63,Curitiba,MG,Artigo 242,ciencia,72,51,3.1,U248,94,tablet,sim,phd,,21,5,602,positivo,nao,,removido,
TST-00243,2025-07-15,A34,Curitiba,MG,Artigo 243,tecnlogia,517,1,4.0,U10,30,mobile,nao,phd,nao,1,7,618,positivo,sim,sem_interesse,,
TST-00244,2025-02-11,A62,Uberlândia,PR,Artigo 244,economia,240,74,4.6,U121,39,desktop,sim,mestre,sim,32,7,967,positivo,nao,fake,,
TST-00245,2025-09-05,A155,Goiânia,PR,Artigo 245,tecnlogia,178,33,2.8,U351,99,tablet,nao,,,9,2,64,positivo,sim,fake,procesado,
TST-00246,2025-04-28,A32,Uberlândia,sp,Artigo 246,politica,573,1,4.1,U334,71,tablet,nao,especialista,sim,3,3,543,negativo,sim,,,
TST-00247,22/08/2025,A141,Goiânia,sp,Artigo 247,política,370,37,4.0,U107,64,mobile,sim,especialista,nao,11,6,456,positivo,sim,conteudo_ruim,ativo,
TST-00248,2025-02-20,A132,Uberlândia,GO,Artigo 248,tecnlogia,294,41,3.0,U478,92,mobile,sim,phd,nao,18,2,167,neutro,nao,,,
TST-00249,2025-09-15,A79,São Paulo,sp,Artigo 249,tecnlogia,442,1,4.5,U399,0,mobile,sim,especialista,sim,14,0,186,positivo,sim,,procesado,
TST-00250,2025-03-11,A49,São Paulo,PR,Artigo 250,economia,265,15,3.7,U229,89,mobile,sim,,,32,7,265,positivo,sim,sem_interesse,ativo,
TST-00251,2025-07-14,A18,Uberlândia,MG,Artigo 251,política,555,1,5,U301,42,tablet,nao,especialista,nao,13,7,976,neutro,nao,,procesado,
TST-00252,2025-09-16,A66,Uberlândia,MG,Artigo 252,tecnlogia,419,1,3.2,U249,40,desktop,nao,,sim,45,1,6,negativo,nao,fake,,
TST-00253,2025-01-12,A36,Goiânia,SP,Artigo 253,tecnologia,348,53,3.7,U449,33,mobile,nao,mestre,nao,40,10,934,negativo,nao,conteudo_ruim,procesado,
TST-00254,2025-07-29,A27,Curitiba,PR,Artigo 254,política,330,19,2.4,U310,85,mobile,nao,especialista,,31,5,662,neutro,nao,,,
TST-00255,02-27-2025,A150,São Paulo,MG,Artigo 255,ciencia,256,1,3.4,U78,88,tablet,nao,,sim,6,0,513,positivo,sim,conteudo_ruim,,
TST-00256,2025-10-24,A18,São Paulo,GO,Artigo 256,tecnlogia,102,43,4.7,U137,82,mobile,nao,,nao,45,4,423,negativo,sim,fake,procesado,
TST-00257,2025-01-05,A166,Curitiba,SP,Artigo 257,política,419,1,2.3,U201,18,desktop,nao,mestre,nao,7,7,205,positivo,sim,conteudo_ruim,removido,
TST-00258,2025-06-25,A36,Uberlândia,MG,Artigo 258,política,143,34,4.0,U204,45,desktop,nao,especialista,nao,39,3,876,negativo,nao,conteudo_ruim,procesado,
TST-00259,03-23-2025,A44,Goiânia,GO,Artigo 259,economia,473,29,2.5,U330,64,desktop,sim,,nao,50,9,496,positivo,sim,conteudo_ruim,,
TST-00260,2025-04-20,A169,São Paulo,PR,Artigo 260,política,307,14,1.8,U5,23,tablet,nao,,,20,4,456,neutro,nao,conteudo_ruim,removido,
TST-00261,2025-06-13,A156,São Paulo,PR,Artigo 261,tecnlogia,292,52,2.8,U154,32,desktop,sim,especialista,,15,2,629,neutro,sim,,procesado,
TST-00262,data_invalida,A88,Curitiba,sp,Artigo 262,tecnlogia,401,14,4.0,U369,97,tablet,sim,especialista,nao,8,7,556,positivo,nao,conteudo_ruim,,
TST-00263,2025-04-21,A188,São Paulo,SP,Artigo 263,tecnologia,254,31,2.6,U59,53,tablet,sim,mestre,nao,41,5,440,neutro,sim,fake,procesado,
TST-00264,data_invalida,A125,Uberlândia,PR,Artigo 264,tecnologia,390,36,5.0,U457,0,tablet,nao,phd,nao,40,4,639,positivo,nao,conteudo_ruim,ativo,
TST-00265,2025-05-01,A189,Curitiba,sp,Artigo 265,política,152,1,3.8,U78,45,desktop,nao,phd,sim,43,9,997,neutro,nao,conteudo_ruim,procesado,
TST-00266,2025-02-11,A160,Uberlândia,sp,Artigo 266,política,284,69,2.8,U236,89,mobile,sim,phd,sim,21,7,398,positivo,sim,sem_interesse,ativo,
TST-00267,2025-05-15,A173,São Paulo,PR,Artigo 267,ciencia,246,2,3.3,U156,46,tablet,nao,,sim,16,4,492,negativo,nao,conteudo_ruim,,
TST-00268,02-25-2025,A92,Curitiba,SP,Artigo 268,política,498,11,4.1,U498,6,mobile,nao,phd,nao,5,7,349,negativo,nao,fake,ativo,
TST-00269,2025-03-12,A134,Goiânia,SP,Artigo 269,política,631,27,4.2,U160,29,mobile,sim,phd,,32,4,418,positivo,nao,sem_interesse,ativo,
TST-00270,2025-02-06,A79,Curitiba,SP,Artigo 270,política,151,8,3.9,U82,20,tablet,sim,mestre,sim,2,1,756,neutro,sim,conteudo_ruim,removido,
TST-00271,2025-01-12,A151,Uberlândia,sp,Artigo 271,política,426,77,3.8,U48,44,tablet,nao,especialista,,7,2,737,positivo,nao,conteudo_ruim,procesado,
TST-00272,2025-08-03,A110,Uberlândia,PR,Artigo 272,tecnlogia,44,84,4.3,U139,77,desktop,sim,especialista,sim,13,8,499,positivo,nao,fake,removido,
TST-00273,10-10-2025,A45,Curitiba,sp,Artigo 273,tecnlogia,227,9,4.2,U238,24,mobile,nao,,sim,6,4,108,positivo,nao,fake,removido,
TST-00274,2025-03-16,A6,Uberlândia,PR,Artigo 274,tecnlogia,463,29,5,U441,37,mobile,nao,,,41,3,633,neutro,sim,fake,removido,
TST-00275,2025-01-12,A55,São Paulo,SP,Artigo 275,ciencia,363,11,4.2,U34,32,tablet,sim,mestre,nao,36,2,552,positivo,sim,conteudo_ruim,procesado,
TST-00276,2025-03-18,A16,Curitiba,sp,Artigo 276,política,5,18,3.6,U176,28,desktop,sim,phd,sim,33,1,503,positivo,nao,,removido,
TST-00277,02/07/2025,A106,Curitiba,sp,Artigo 277,política,167,4,4.3,U61,89,mobile,sim,,sim,4,4,130,negativo,nao,conteudo_ruim,,
TST-00278,2025-08-31,A83,Uberlândia,SP,Artigo 278,tecnlogia,648,24,5,U426,57,tablet,sim,mestre,sim,32,9,356,positivo,sim,,removido,
TST-00279,2025-05-21,A107,Uberlândia,PR,Artigo 279,política,341,8,3.3,U94,69,desktop,nao,phd,nao,29,9,677,positivo,nao,fake,ativo,
TST-00280,2025-04-30,A15,Goiânia,PR,Artigo 280,política,300,22,3.5,U10,31,desktop,nao,,nao,26,0,57,neutro,sim,fake,removido,
TST-00281,06/07/2025,A134,Uberlândia,PR,Artigo 281,saude,508,23,4.2,U121,55,tablet,nao,phd,sim,44,3,378,positivo,sim,,procesado,
TST-00282,29/05/2025,A120,Goiânia,GO,Artigo 282,política,308,36,3.0,U448,94,tablet,sim,,nao,14,7,845,neutro,nao,sem_interesse,removido,
TST-00283,2025-06-03,A74,Uberlândia,SP,Artigo 283,política,358,1,5,U23,100,tablet,nao,especialista,sim,15,8,32,neutro,sim,,ativo,
TST-00284,2025-04-08,A35,Curitiba,PR,Artigo 284,tecnologia,406,51,5,U436,74,mobile,sim,phd,sim,26,1,219,positivo,nao,,procesado,
TST-00285,2025-10-11,A176,Curitiba,sp,Artigo 285,política,119,43,4.3,U312,69,mobile,sim,phd,nao,48,6,599,positivo,sim,,removido,
TST-00286,2025-02-21,A31,Goiânia,SP,Artigo 286,política,279,1,3.7,U297,52,mobile,sim,,,19,0,330,positivo,nao,conteudo_ruim,,
TST-00287,2025-04-02,A100,Uberlândia,SP,Artigo 287,política,241,53,5,U249,23,desktop,nao,especialista,,36,9,696,positivo,nao,fake,procesado,
TST-00288,data_invalida,A191,Uberlândia,PR,Artigo 288,política,274,30,3.4,U78,3,mobile,nao,phd,sim,28,4,612,positivo,nao,sem_interesse,ativo,
TST-00289,2025-09-02,A7,São Paulo,PR,Artigo 289,tecnlogia,293,31,5,U39,87,mobile,nao,phd,sim,5,2,21,positivo,sim,fake,ativo,
TST-00290,2025-07-04,A165,São Paulo,PR,Artigo 290,tecnlogia,629,33,5.0,U3,88,desktop,sim,mestre,,2,2,889,positivo,nao,,,
TST-00291,2025-02-15,A157,Goiânia,MG,Artigo 291,política,448,28,4.5,U383,99,desktop,sim,,,27,4,62,negativo,sim,sem_interesse,,
TST-00292,data_invalida,A63,Uberlândia,sp,Artigo 292,tecnologia,329,66,3.9,U327,81,mobile,nao,mestre,,6,3,58,positivo,sim,,procesado,
TST-00293,2025-02-04,A133,São Paulo,GO,Artigo 293,tecnlogia,265,53,5,U422,98,mobile,nao,mestre,,5,8,986,negativo,sim,,,
TST-00294,2025-01-18,A30,São Paulo,GO,Artigo 294,política,116,77,4.3,U492,8,desktop,nao,especialista,,23,0,392,negativo,nao,,,
TST-00295,2025-07-23,A132,Uberlândia,PR,Artigo 295,política,708,1,4.4,U435,2,tablet,nao,phd,nao,14,10,807,positivo,sim,conteudo_ruim,removido,
TST-00296,2025-01-12,A196,Uberlândia,GO,Artigo 296,tecnlogia,280,33,2.3,U86,17,mobile,nao,especialista,,32,1,54,positivo,sim,,ativo,
TST-00297,2025-10-25,A73,Uberlândia,MG,Artigo 297,saude,423,26,3.6,U252,2,tablet,nao,especialista,nao,42,3,105,negativo,sim,,ativo,
TST-00298,25/04/2025,A184,São Paulo,sp,Artigo 298,tecnlogia,5,8,4.5,U298,49,tablet,sim,mestre,nao,11,10,962,positivo,sim,,,
TST-00299,2025-07-01,A85,Curitiba,sp,Artigo 299,saude,49,55,3.6,U397,81,mobile,sim,phd,,14,10,612,neutro,sim,conteudo_ruim,ativo,
TST-00300,2025-06-26,A62,Curitiba,SP,Artigo 300,política,106,14,4.6,U98,26,tablet,sim,especialista,sim,49,1,486,positivo,sim,fake,ativo,
TST-00301,07-07-2025,A100,São Paulo,PR,Artigo 301,tecnlogia,527,52,4.0,U125,71,tablet,nao,mestre,sim,48,9,883,negativo,sim,,removido,
TST-00302,2025-06-25,A148,Goiânia,PR,Artigo 302,ciencia,504,8,5,U186,42,tablet,nao,mestre,,22,2,349,negativo,sim,,ativo,
TST-00303,2025-06-04,A47,Uberlândia,sp,Artigo 303,política,137,43,3.0,U239,65,desktop,nao,mestre,nao,47,0,952,positivo,nao,conteudo_ruim,procesado,
TST-00304,2025-05-13,A31,Curitiba,MG,Artigo 304,politica,204,12,5,U358,40,desktop,sim,phd,nao,7,0,726,negativo,nao,,procesado,
TST-00305,2025-05-13,A158,São Paulo,SP,Artigo 305,politica,446,36,4.3,U279,68,mobile,nao,mestre,sim,30,3,124,neutro,sim,fake,procesado,
TST-00306,2025-02-19,A90,Uberlândia,SP,Artigo 306,política,229,56,4.4,U267,54,mobile,sim,mestre,sim,7,1,930,positivo,sim,,removido,
TST-00307,04/08/2025,A88,Uberlândia,SP,Artigo 307,política,26,17,3.4,U186,26,mobile,nao,mestre,,33,9,580,neutro,nao,,removido,
TST-00308,2025-08-29,A10,Uberlândia,sp,Artigo 308,política,618,59,3.1,U324,96,desktop,sim,especialista,nao,21,7,669,positivo,sim,sem_interesse,procesado,
TST-00309,2025-08-14,A19,Uberlândia,PR,Artigo 309,tecnologia,421,20,4.2,U377,1,mobile,sim,mestre,nao,11,9,37,neutro,sim,conteudo_ruim,,
TST-00310,2025-09-08,A169,São Paulo,SP,Artigo 310,tecnlogia,412,1,4.2,U436,54,desktop,sim,especialista,,4,9,912,positivo,sim,,removido,
TST-00311,2025-08-17,A112,São Paulo,SP,Artigo 311,ciencia,214,37,3.4,U78,56,desktop,nao,phd,,10,5,369,neutro,sim,fake,ativo,
TST-00312,2025-04-13,A3,Curitiba,GO,Artigo 312,tecnologia,5,53,5,U51,9,desktop,sim,especialista,sim,6,3,633,negativo,sim,sem_interesse,procesado,
TST-00313,2025-08-06,A155,Curitiba,MG,Artigo 313,tecnlogia,466,36,5,U470,11,desktop,sim,especialista,sim,10,8,191,neutro,nao,,ativo,
TST-00314,2025-09-27,A132,São Paulo,PR,Artigo 314,politica,311,28,4.9,U386,36,mobile,nao,phd,nao,41,2,47,neutro,sim,sem_interesse,,
TST-00315,2025-09-12,A95,Goiânia,GO,Artigo 315,tecnologia,237,61,4.7,U406,17,tablet,nao,especialista,sim,25,2,446,positivo,nao,fake,ativo,
TST-00316,2025-03-15,A95,Curitiba,SP,Artigo 316,tecnlogia,233,34,5,U285,20,mobile,sim,especialista,nao,16,8,213,positivo,nao,conteudo_ruim,,
TST-00317,29/06/2025,A185,Goiânia,PR,Artigo 317,politica,448,22,4.6,U225,68,mobile,nao,,sim,47,3,9,neutro,sim,sem_interesse,removido,
TST-00318,2025-08-10,A80,Curitiba,MG,Artigo 318,saude,465,55,2.9,U103,86,desktop,nao,especialista,,31,10,566,neutro,sim,conteudo_ruim,removido,
TST-00319,2025-10-15,A29,Curitiba,MG,Artigo 319,política,404,38,3.6,U418,90,desktop,nao,,,23,5,202,positivo,nao,,ativo,
TST-00320,2025-09-16,A32,Goiânia,sp,Artigo 320,tecnlogia,242,39,5,U122,36,mobile,nao,phd,,34,1,771,neutro,sim,fake,procesado,
TST-00321,2025-04-12,A190,Uberlândia,sp,Artigo 321,tecnologia,402,38,3.1,U298,48,mobile,sim,mestre,sim,42,2,4,positivo,sim,fake,removido,
TST-00322,04-24-2025,A67,São Paulo,PR,Artigo 322,tecnlogia,414,1,2.6,U154,59,desktop,sim,,,13,5,615,neutro,nao,conteudo_ruim,ativo,
TST-00323,2025-08-17,A100,Uberlândia,GO,Artigo 323,tecnlogia,119,27,2.3,U91,14,mobile,nao,mestre,,18,7,708,neutro,nao,,,
TST-00324,2025-06-17,A86,Uberlândia,GO,Artigo 324,ciencia,147,17,2.4,U500,90,mobile,nao,phd,,49,4,122,negativo,nao,conteudo_ruim,ativo,
TST-00325,2025-01-23,A200,Uberlândia,sp,Artigo 325,tecnlogia,274,56,4.1,U207,94,mobile,nao,mestre,,48,5,906,positivo,sim,conteudo_ruim,ativo,
TST-00326,08-19-2025,A110,Goiânia,sp,Artigo 326,tecnlogia,175,5,4.0,U151,79,mobile,nao,especialista,sim,2,7,155,positivo,sim,conteudo_ruim,procesado,
TST-00327,2025-09-29,A162,Curitiba,SP,Artigo 327,tecnologia,73,15,4.0,U379,69,tablet,sim,mestre,nao,13,6,456,negativo,sim,sem_interesse,ativo,
