registro_id,data_ocorrencia,cidade,uf,bairro,latitude,longitude,canal_registro,tipo_ocorrencia,tempo_espera_min,tempo_preenchimento_bo_min,atendentes_disponiveis,turno,status_inquerito,tempo_resolucao_dias,bo_online_iniciado,bo_online_concluido,abandono_formulario,avaliacao_atendimento,chamados_190,bo_registrados,prioridade_triagem,status_registro,observacao
DD-00153,2025-03-12,Belo Horizonte,MG,Planalto,-19.860769,-43.927937,site,fraude_online,6,10,7,tarde,concluido,96,sim,sim,nao,2.25,58,37,media,validado,
DD-00154,2025-02-17,Belo Horizonte,MG,Universitario,-19.883455,-43.86407,site,fraude_online,16,22,6,tarde,em_andamento,25,sim,nao,sim,3.31,0,0,baixa,procesado,
DD-00155,2025-08-21,Uberaba,MG,Centro,-19.795275,-48.003159,presencial,ameaca,15,5,4,tarde,,87,sim,nao,sim,3.54,11,4,alta,pendente,
DD-00156,2025-06-17,Goiânia,GO,Universitario,-16.617825,-49.306815,presencial,furto,49,31,4,tarde,,35,sim,sim,nao,4.57,38,27,urgente,procesado,
DD-00157,2025-07-27,Goiânia,GO,Morumbi,-16.655648,-49.213204,presencial,roubo_celular,2,17,2,manha,em_andamento,51,sim,sim,nao,1.75,1,0,baixa,procesado,
DD-00158,2025-01-21,Campinas,SP,Planalto,-22.881707,"-47,103455",presencial,furto,92,15,2,noite,aberto,6,sim,sim,nao,2.39,12,10,baixa,cancelado,
DD-00159,2025-01-01,Curitiba,PR,Santa Maria,-25.439596,-49.298406,app,roubo_celular,10,14,1,tarde,procesado,74,nao,nao,nao,3.07,37,33,baixa,validado,
DD-00160,2025-06-26,Goiânia,go,Planalto,-16.714864,-49.209702,presencial,fraude_online,63,3,1,manha,concluido,61,sim,sim,nao,"2,47",26,11,baixa,pendente,
DD-00161,2025-04-07,São Paulo,SP,Morumbi,-23.559678,-46.663691,app,fraude_online,0,20,5,madrugada,procesado,25,sim,sim,nao,4.68,18,10,baixa,,
DD-00162,2025-04-16,São Paulo,SP,Planalto,-23.628937,-46.616081,presencial,fraude_online,83,10,2,manha,arquivado,40,sim,sim,nao,4.97,30,26,baixa,cancelado,
DD-00163,2025-01-13,Curitiba,PR,Morumbi,"-25,403508",-49.223552,presencial,furto,79,29,2,noite,concluido,14,sim,sim,nao,5,33,26,alta,procesado,
DD-00164,2025-03-31,Campinas,SP,Planalto,-22.856422,-47.109241,presencial,roubo_celular,61,2,3,noite,concluido,102,nao,nao,nao,2.62,13,9,media,cancelado,
DD-00165,01-14-2025,Uberaba,MG,Planalto,-19.809997,-47.897308,presencial,outros,38,24,4,tarde,procesado,50,sim,sim,nao,"2,95",48,18,media,validado,
DD-00166,2025-06-30,Curitiba,PR,Centro,-25.414898,-49.26721,presencial,outros,49,26,7,manha,em_andamento,114,sim,sim,nao,3.36,31,15,media,procesado,
DD-00167,data_invalida,Curitiba,PR,Planalto,"-25,490673","-49,210746",app,ameaca,4,15,2,noite,aberto,61,sim,nao,sim,2.48,14,6,baixa,cancelado,
DD-00168,2025-04-08,Campinas,SP,Morumbi,-22.927189,-47.057821,presencial,roubo_celular,65,6,6,madrugada,em_andamento,59,nao,nao,nao,4.73,28,16,baixa,cancelado,
DD-00169,2025-01-06,Uberaba,MG,Industrial,-19.719584,-47.865743,site,fraude_online,18,24,3,manha,arquivado,54,sim,sim,nao,2.45,9,7,media,,
DD-00170,2025-01-17,Uberlândia,MG,Centro,"-18,954986",-48.213652,presencial,furto,55,13,1,noite,,97,sim,sim,nao,"3,16",27,22,baixa,cancelado,
DD-00171,09/04/2025,Campinas,sp,Planalto,"-22,826125",-47.037959,presencial,fraude_online,29,8,3,tarde,aberto,1,sim,nao,sim,3.96,55,22,baixa,pendente,
DD-00172,10/04/2025,salvador,ba,Jardim America,-12.924715,-38.423958,presencial,perda_documento,26,10,2,noite,procesado,6,sim,sim,nao,2.93,25,10,baixa,validado,
DD-00173,2025-09-12,Belo Horizonte,MG,Industrial,-19.982688,-43.88464,site,ameaca,17,2,3,manha,procesado,19,sim,sim,nao,1.5,21,10,alta,,
DD-00174,14/10/2025,Campinas,SP,Morumbi,-22.981754,-47.100075,presencial,roubo_celular,122,23,3,noite,arquivado,3,sim,sim,nao,5,21,12,baixa,cancelado,
DD-00175,04-24-2025,Salvador,BA,Morumbi,-12.925226,-38.556988,presencial,perda_documento,48,8,7,noite,arquivado,9,sim,sim,nao,"3,83",21,13,baixa,validado,
DD-00176,2025-09-09,são paulo,SP,Industrial,-23.591009,-46.677065,site,fraude_online,7,34,2,tarde,concluido,21,sim,nao,sim,1.7,45,18,media,validado,
DD-00177,2025-09-09,Salvador,BA,Universitario,-12.977334,-38.55164,app,perda_documento,5,37,3,tarde,,16,sim,nao,sim,"4,44",66,30,baixa,cancelado,
DD-00178,07-15-2025,Goiânia,GO,Industrial,-16.610947,-49.320973,presencial,perda_doc,0,17,2,tarde,,138,sim,sim,nao,"3,18",51,22,baixa,cancelado,
DD-00179,data_invalida,Uberaba,MG,Industrial,-19.815853,-47.901329,presencial,furto,74,35,2,tarde,arquivado,21,nao,nao,nao,1.91,7,5,baixa,validado,
DD-00180,2025-06-16,Salvador,BA,Santa Maria,"-13,025699","-38,49208",presencial,furto,17,33,5,noite,em_andamento,33,nao,nao,nao,2.02,39,30,media,validado,
DD-00181,2025-08-28,Uberaba,MG,Jardim America,-19.731249,-47.995661,app,perda_documento,2,2,2,manha,concluido,0,sim,sim,nao,"3,02",14,7,baixa,procesado,
DD-00182,2025-04-21,Salvador,BA,Planalto,-12.952911,-38.573646,presencial,furto,22,47,1,tarde,arquivado,0,sim,sim,nao,"3,49",29,14,media,,
DD-00183,2025-05-06,Uberlândia,MG,Centro,-18.947227,-48.254723,presencial,perda_documento,39,18,5,manha,arquivado,74,nao,nao,nao,0.95,26,13,media,pendente,
DD-00184,2025-10-12,Uberaba,MG,Centro,"-19,736313",-48.013751,presencial,roubo_celular,52,11,2,tarde,em_andamento,77,nao,nao,nao,3.82,31,24,media,,
DD-00185,2025-04-07,uberaba,MG,Santa Maria,-19.72199,-47.976083,site,fraude_online,12,18,4,manha,em_andamento,39,sim,sim,nao,"3,2",16,11,alta,validado,
DD-00186,2025-01-08,Curitiba,PR,Planalto,-25.360064,-49.194476,presencial,perda_doc,24,17,6,noite,arquivado,91,sim,sim,nao,3.28,31,20,baixa,pendente,
DD-00187,2025-04-09,Goiânia,GO,Boa Vista,-16.653668,-49.222356,presencial,fraude_online,57,18,4,manha,aberto,130,sim,nao,sim,2.78,39,28,media,cancelado,
DD-00188,2025-01-24,Uberlândia,MG,Morumbi,-18.986368,-48.325732,presencial,fraude_online,66,23,3,tarde,em_andamento,46,sim,sim,nao,4.04,2,1,baixa,pendente,
DD-00189,2025-10-23,Belo Horizonte,MG,Centro,"-19,87721","-43,982004",site,perda_documento,7,27,2,noite,arquivado,24,nao,nao,nao,3.1,45,23,media,,
DD-00190,2025-03-18,Belo Horizonte,MG,Morumbi,-19.858283,-43.873047,presencial,furto,28,8,4,tarde,,72,sim,nao,sim,5,19,8,media,validado,
DD-00191,2025-10-14,Campinas,sp,Santa Maria,"-22,889393",-47.127306,app,furto,11,16,3,tarde,arquivado,99,sim,nao,sim,3.33,17,7,media,validado,
DD-00192,2025-01-08,Uberlândia,MG,Santa Maria,-18.989014,"-48,220331",app,roubo_celular,8,6,2,manha,concluido,0,sim,nao,sim,4.33,12,8,baixa,validado,
DD-00193,2025-08-21,Goiânia,GO,Centro,-16.758726,-49.292783,presencial,fraude_online,32,22,5,manha,procesado,70,sim,nao,sim,2.6,14,8,baixa,pendente,
DD-00194,data_invalida,Uberaba,mg,Jardim America,-19.706582,-47.897294,presencial,furto,39,25,3,noite,arquivado,37,sim,nao,sim,"3,43",17,11,baixa,,
DD-00195,data_invalida,Curitiba,PR,Jardim America,-25.468068,"-49,201486",presencial,furto,7,15,5,tarde,aberto,0,sim,nao,sim,2.64,53,30,alta,procesado,
DD-00196,2025-07-30,Curitiba,pr,Industrial,-25.421514,-49.320063,site,perda_documento,0,9,3,noite,concluido,63,nao,nao,nao,2.15,5,1,media,validado,
DD-00197,2025-09-04,Uberlândia,MG,Universitario,-18.859354,-48.240551,presencial,fraude_online,90,20,5,noite,,0,sim,sim,nao,3.18,17,12,baixa,cancelado,
DD-00198,2025-02-15,Curitiba,PR,Santa Maria,-25.48103,-49.287441,site,furto,25,20,3,noite,em_andamento,82,sim,sim,nao,4.24,6,4,baixa,validado,
DD-00199,2025-04-02,Curitiba,PR,Santa Maria,-25.469506,-49.267729,site,perda_documento,6,32,6,madrugada,aberto,78,sim,sim,nao,5,38,28,media,cancelado,
DD-00200,2025-01-04,Campinas,SP,Planalto,"-22,916459","-47,058605",app,ameaca,,13,2,manha,,17,sim,sim,nao,4.12,6,4,baixa,pendente,
DD-00201,06-09-2025,belo horizonte,MG,Morumbi,-19.991573,"-43,860098",site,perda_documento,1,17,1,manha,em_andamento,39,sim,nao,sim,4.32,13,10,media,validado,
DD-00202,2025-06-10,Campinas,SP,Centro,-22.980755,-47.000326,app,roubo_celular,28,27,2,manha,concluido,48,nao,nao,nao,4.46,4,1,alta,,
DD-00203,2025-04-14,são paulo,SP,Centro,-23.616216,-46.640727,presencial,furto,72,26,3,noite,em_andamento,26,sim,sim,nao,5,12,9,baixa,validado,
DD-00204,2025-05-28,belo horizonte,MG,Morumbi,-19.904978,"-43,896776",site,furto,6,19,3,tarde,aberto,35,sim,nao,sim,"3,02",28,17,baixa,pendente,
DD-00205,2025-02-27,Goiânia,go,Jardim America,-16.731321,-49.186113,site,ameaca,11,23,4,tarde,,32,sim,sim,nao,4.39,27,21,media,pendente,
DD-00206,2025-09-25,Uberaba,MG,Planalto,"-19,821076",-47.908942,site,perda_documento,11,34,4,manha,arquivado,53,sim,sim,nao,"3,85",0,0,baixa,validado,
DD-00207,05-05-2025,São Paulo,sp,Jardim America,-23.573249,"-46,702657",app,furto,8,20,1,noite,concluido,4,sim,sim,nao,3.79,2,1,media,,
DD-00208,01-20-2025,Salvador,BA,Universitario,-13.00186,-38.43756,app,furto,10,25,2,manha,procesado,44,sim,sim,nao,3.34,0,0,baixa,procesado,
DD-00209,2025-01-27,São Paulo,SP,Industrial,-23.617576,-46.699394,presencial,perda_documento,13,37,2,tarde,em_andamento,31,nao,nao,nao,5,2,0,alta,procesado,
DD-00210,11/05/2025,Goiânia,GO,Jardim America,-16.732737,-49.332489,presencial,furto,31,7,1,manha,aberto,82,nao,nao,nao,3.64,23,8,baixa,cancelado,
DD-00211,2025-03-26,Uberaba,MG,Santa Maria,-19.68552,"-47,875062",site,fraude_online,30,12,8,madrugada,procesado,107,sim,sim,nao,2.87,15,7,baixa,pendente,
DD-00212,2025-09-26,Campinas,sp,Jardim America,-22.900657,-47.11682,site,outros,0,31,3,tarde,arquivado,50,sim,sim,nao,1.37,34,23,baixa,pendente,
DD-00213,2025-04-24,Belo Horizonte,MG,Universitario,"-19,959984",-43.869019,presencial,roubo_celular,9,4,6,manha,concluido,54,nao,nao,nao,1.22,31,26,urgente,,
DD-00214,2025-09-24,Goiânia,GO,Industrial,-16.730378,-49.252773,app,roubo_celular,16,32,5,noite,procesado,40,nao,nao,nao,4.14,2,0,baixa,procesado,
DD-00215,2025-06-15,Uberaba,MG,Morumbi,-19.751605,-47.924545,presencial,fraude_online,2,13,3,tarde,em_andamento,82,sim,nao,sim,2.02,0,0,media,,
DD-00216,2025-02-24,uberlândia,MG,Planalto,"-18,980318",-48.241112,site,perda_documento,12,2,7,tarde,em_andamento,3,sim,sim,nao,4.02,32,23,alta,pendente,
DD-00217,05-30-2025,Salvador,BA,Jardim America,"-13,036307",-38.496186,site,fraude_online,7,14,2,madrugada,procesado,32,sim,sim,nao,4.2,14,4,baixa,validado,
DD-00218,2025-02-28,Salvador,BA,Santa Maria,"-12,905316",-38.470489,presencial,roubo_celular,6,12,5,noite,em_andamento,64,sim,sim,nao,2.97,24,20,media,validado,
DD-00219,2025-08-11,Curitiba,PR,Morumbi,"-25,36874",-49.229717,presencial,fraude on-line,11,9,5,noite,,71,sim,sim,nao,4.1,38,23,media,cancelado,
DD-00220,2025-01-13,Curitiba,PR,Industrial,-25.486335,-49.302845,presencial,furto,23,17,5,manha,concluido,21,nao,nao,nao,2.84,0,0,media,pendente,
DD-00221,2025-09-05,Curitiba,PR,Boa Vista,-25.44189,-49.203617,presencial,furto,0,19,4,madrugada,,49,nao,nao,nao,1.51,46,32,media,procesado,
DD-00222,2025-01-28,Salvador,BA,Universitario,"-12,963321",-38.477064,app,perda_documento,10,34,2,noite,,15,sim,nao,sim,5,14,12,media,procesado,
DD-00223,2025-04-01,Belo Horizonte,MG,Jardim America,-19.896562,"-43,915195",presencial,roubo_celular,73,32,5,manha,,0,sim,sim,nao,4.87,5,1,baixa,cancelado,
DD-00224,2025-09-02,Uberlândia,MG,Jardim America,-18.935304,"-48,303112",presencial,furto,83,16,3,manha,concluido,93,sim,sim,nao,3.25,17,14,media,pendente,
DD-00225,05/05/2025,Campinas,SP,Boa Vista,-22.91242,-47.042565,site,furto,0,25,6,madrugada,concluido,62,sim,nao,sim,4.95,19,8,alta,,
DD-00226,2025-05-08,Salvador,BA,Morumbi,-13.045525,-38.517639,presencial,fraude_online,0,24,1,noite,procesado,24,sim,nao,sim,1.92,56,26,baixa,pendente,
DD-00227,2025-08-24,Uberlândia,MG,Planalto,-18.90304,-48.233324,presencial,perda_documento,74,20,5,manha,em_andamento,55,sim,nao,sim,5,26,10,alta,pendente,
DD-00228,07-21-2025,Salvador,BA,Morumbi,-13.005181,-38.42751,presencial,perda_documento,69,20,4,noite,arquivado,69,nao,nao,nao,3.38,39,15,alta,pendente,
DD-00229,2025-03-22,Curitiba,PR,Industrial,-25.367204,-49.268352,presencial,furto,7,21,5,noite,arquivado,23,sim,sim,nao,4.06,37,29,baixa,validado,
DD-00230,2025-10-26,Goiânia,GO,Boa Vista,-16.737257,-49.226421,presencial,ameaca,68,8,4,manha,arquivado,101,sim,sim,nao,5,57,43,baixa,,
DD-00231,09-27-2025,Salvador,ba,Universitario,-13.051369,-38.454554,presencial,fraude_online,44,25,4,manha,aberto,47,sim,nao,sim,1.94,8,3,media,validado,
DD-00232,data_invalida,Campinas,SP,Planalto,-22.905136,"-47,06104",site,furto,6,36,1,noite,procesado,49,nao,nao,nao,2.69,33,11,baixa,validado,
DD-00233,06-23-2025,Uberaba,MG,Santa Maria,-19.762824,"-47,940348",presencial,fraude_online,45,33,4,noite,aberto,0,sim,nao,sim,3.31,48,35,baixa,validado,
DD-00234,2025-01-18,Campinas,SP,Morumbi,-22.896782,-47.119534,presencial,perda_documento,20,20,1,noite,aberto,58,sim,nao,sim,2.98,5,2,media,validado,
DD-00235,2025-07-24,Curitiba,PR,Jardim America,-25.402491,-49.214085,presencial,perda_documento,19,22,3,tarde,concluido,27,sim,nao,sim,3.18,4,2,alta,,
DD-00236,2025-08-01,Belo Horizonte,MG,Universitario,-19.981725,-43.956326,presencial,fraude_online,32,8,5,tarde,,76,sim,nao,sim,"2,3",16,12,media,pendente,
DD-00237,2025-02-15,Uberlândia,MG,Boa Vista,"-18,851532",-48.290603,presencial,roubo_celular,75,30,9,manha,em_andamento,78,nao,nao,nao,4.51,31,22,media,validado,
DD-00238,2025-10-19,Curitiba,PR,Morumbi,"-25,396313",-49.264443,presencial,fraude_online,99,12,3,noite,aberto,9,sim,sim,nao,4.87,28,19,baixa,cancelado,
DD-00239,2025-08-27,Curitiba,PR,Jardim America,-25.496014,"-49,249566",presencial,perda_documento,87,21,4,manha,procesado,71,sim,sim,nao,4.43,0,0,baixa,cancelado,
DD-00240,2025-10-25,campinas,SP,Boa Vista,-22.912338,"-46,991058",presencial,fraude on-line,55,19,4,manha,em_andamento,0,sim,sim,nao,5,22,19,media,validado,
DD-00241,01/01/2025,Salvador,BA,Santa Maria,-12.91194,-38.565723,presencial,fraude_online,27,14,1,tarde,,23,sim,sim,nao,4.26,36,16,alta,cancelado,
DD-00242,2025-06-01,Uberlândia,MG,Industrial,-18.957223,-48.234612,presencial,ameaca,56,16,4,manha,aberto,0,sim,sim,nao,4.89,59,27,media,,
DD-00243,2025-02-20,Belo Horizonte,MG,Centro,"-19,850786",-43.89883,app,fraude_online,13,19,3,manha,concluido,16,sim,nao,sim,"0,16",34,14,baixa,cancelado,
DD-00244,data_invalida,São Paulo,SP,Centro,-23.488287,"-46,595517",presencial,furto,13,29,3,manha,procesado,24,sim,sim,nao,2.33,15,12,media,pendente,
DD-00245,data_invalida,Belo Horizonte,MG,Industrial,-19.883577,"-43,98274",site,ameaca,9,18,3,noite,concluido,10,sim,nao,sim,4.32,3,2,baixa,,
DD-00246,2025-07-24,Salvador,BA,Jardim America,-12.984801,-38.449276,site,fraude_online,6,17,4,tarde,em_andamento,79,sim,sim,nao,"4,85",15,12,baixa,cancelado,
DD-00247,02-03-2025,São Paulo,SP,Universitario,-23.55878,-46.580737,presencial,fraude_online,63,11,1,tarde,,87,nao,nao,nao,3.82,33,12,media,procesado,
DD-00248,2025-02-19,Belo Horizonte,MG,Jardim America,-19.849489,-43.870013,site,furto,3,23,4,noite,,79,nao,nao,nao,3.63,6,2,alta,,
DD-00249,2025-10-07,Uberlândia,mg,Industrial,-18.942292,-48.220423,site,ameaca,3,23,2,tarde,arquivado,0,sim,sim,nao,3.66,51,23,baixa,validado,
DD-00250,2025-06-20,Campinas,SP,Boa Vista,-22.917345,-47.028445,site,perda_documento,0,43,1,manha,aberto,47,sim,sim,nao,"3,04",41,30,media,,
DD-00251,2025-03-10,curitiba,PR,Santa Maria,-25.472585,-49.278699,presencial,perda_documento,60,21,4,tarde,procesado,60,sim,nao,sim,2.5,64,53,baixa,,
DD-00252,data_invalida,Belo Horizonte,MG,Morumbi,-19.934439,-43.873909,site,furto,35,16,5,tarde,em_andamento,76,sim,sim,nao,"0,58",10,4,media,procesado,
DD-00253,2025-03-06,Belo Horizonte,MG,Planalto,-19.904599,"-43,891836",site,furto,14,12,4,manha,,44,nao,nao,nao,3.22,15,8,media,pendente,
DD-00254,2025-06-19,Uberlândia,MG,Universitario,"-18,853974",-48.233867,presencial,ameaca,0,15,7,madrugada,,30,sim,nao,sim,"4,58",0,0,alta,,
DD-00255,2025-02-16,belo horizonte,MG,Santa Maria,-19.874903,-43.931043,site,furto,9,30,1,manha,arquivado,55,sim,nao,sim,"1,04",36,27,baixa,pendente,
DD-00256,2025-09-24,Goiânia,GO,Centro,-16.713149,-49.325055,totem,furto,81,32,6,manha,em_andamento,2,sim,sim,nao,4.68,13,8,media,validado,
DD-00257,13/05/2025,Campinas,SP,Morumbi,"-22,840017",-47.065461,site,perda_documento,23,12,3,madrugada,arquivado,40,sim,sim,nao,2.74,35,13,baixa,procesado,
DD-00258,01-10-2025,Curitiba,PR,Jardim America,-25.424246,-49.214398,app,outros,12,2,8,tarde,procesado,148,sim,nao,sim,4.8,13,10,baixa,cancelado,
DD-00259,2025-04-30,Goiânia,GO,Jardim America,-16.700059,-49.262998,site,fraude_online,3,24,4,noite,concluido,42,nao,nao,nao,4.67,17,10,baixa,procesado,
DD-00260,2025-09-30,Belo Horizonte,MG,Centro,-19.969377,-43.939459,presencial,fraude_online,30,23,7,tarde,procesado,4,nao,nao,nao,4.64,42,26,alta,pendente,
DD-00261,2025-05-22,Salvador,BA,Industrial,-12.969043,-38.540426,presencial,furto,30,4,4,tarde,procesado,76,nao,nao,nao,4.17,28,17,media,cancelado,
DD-00262,2025-05-05,Uberaba,MG,Jardim America,-19.712682,"-47,859437",totem,furto,57,16,3,madrugada,procesado,30,sim,nao,sim,3.25,33,20,baixa,cancelado,
DD-00263,2025-02-20,Uberlândia,MG,Morumbi,-18.968447,-48.316238,app,ameaca,7,17,1,noite,procesado,52,sim,sim,nao,3.59,21,15,baixa,procesado,
DD-00264,2025-07-05,Campinas,SP,Planalto,-22.897176,-47.008849,totem,perda_documento,11,22,1,tarde,em_andamento,33,nao,nao,nao,4.33,46,39,baixa,pendente,
DD-00265,data_invalida,Curitiba,PR,Planalto,-25.378491,-49.343631,site,furto,16,5,4,noite,procesado,96,sim,sim,nao,2.14,19,13,alta,validado,
DD-00266,2025-05-20,goiânia,GO,Centro,-16.686229,-49.258044,site,furto,4,17,7,tarde,,56,sim,sim,nao,5,17,8,baixa,pendente,
DD-00267,2025-09-29,São Paulo,SP,Universitario,-23.486646,-46.573622,site,perda_doc,4,49,8,tarde,procesado,71,sim,sim,nao,3.15,33,22,media,pendente,
DD-00268,2025-10-15,São Paulo,SP,Industrial,"-23,557551",-46.562442,totem,fraude_online,51,27,4,manha,concluido,41,sim,sim,nao,4.35,22,8,alta,validado,
DD-00269,2025-09-01,São Paulo,SP,Planalto,-23.540206,"-46,657589",presencial,roubo_celular,23,18,5,manha,,31,nao,nao,nao,4.28,3,2,baixa,procesado,
DD-00270,06-21-2025,Uberaba,MG,Santa Maria,-19.714142,-47.961381,presencial,fraude_online,52,14,2,manha,concluido,92,sim,nao,sim,4.49,29,10,media,pendente,
DD-00271,2025-03-08,Belo Horizonte,MG,Morumbi,-19.925887,"-43,867835",site,furto,12,35,3,madrugada,concluido,51,sim,nao,sim,"3,56",1,0,baixa,pendente,
DD-00272,2025-06-07,Goiânia,GO,Morumbi,-16.677838,-49.262999,presencial,perda_documento,66,33,4,manha,procesado,42,nao,nao,nao,2.59,14,11,media,procesado,
DD-00273,02-26-2025,Uberaba,MG,Industrial,-19.705002,-47.900952,site,furto,14,23,5,manha,em_andamento,0,nao,nao,nao,3.35,38,18,alta,procesado,
DD-00274,2025-02-17,São Paulo,SP,Planalto,-23.614328,-46.561245,presencial,fraude_online,67,12,2,tarde,,20,sim,sim,nao,"4,38",5,2,media,,
DD-00275,14/06/2025,Campinas,SP,Industrial,"-22,904773",-46.988985,site,furto,3,4,5,noite,arquivado,54,sim,nao,sim,2.89,45,36,media,validado,
DD-00276,15/08/2025,Uberaba,MG,Industrial,-19.729348,-47.926007,presencial,perda_documento,90,27,1,madrugada,procesado,36,sim,sim,nao,3.03,24,17,baixa,pendente,
DD-00277,2025-01-11,Belo Horizonte,MG,Jardim America,-19.883797,"-43,992301",presencial,fraude_online,65,2,1,noite,em_andamento,41,sim,sim,nao,"3,15",46,17,media,validado,
DD-00278,2025-03-03,uberaba,MG,Planalto,-19.703139,-47.997914,site,perda_documento,1,27,5,noite,,85,sim,nao,sim,3.46,0,0,baixa,cancelado,
DD-00279,2025-09-15,Uberaba,MG,Industrial,-19.749205,-47.944092,presencial,perda_documento,34,9,4,noite,aberto,0,sim,nao,sim,5,0,0,baixa,pendente,
DD-00280,2025-07-05,Salvador,BA,Industrial,-12.926872,-38.53934,presencial,furto,57,16,3,manha,concluido,0,sim,nao,sim,2.64,49,17,media,pendente,
DD-00281,16/01/2025,Campinas,SP,Centro,-22.831193,-46.986032,presencial,perda_documento,48,12,6,noite,em_andamento,73,sim,sim,nao,4.19,0,0,baixa,,
DD-00282,2025-03-02,Goiânia,GO,Boa Vista,-16.690445,"-49,302646",app,perda_documento,9,30,3,tarde,procesado,0,sim,sim,nao,"3,71",45,31,baixa,procesado,
DD-00283,09-01-2025,São Paulo,SP,Jardim America,-23.593737,-46.679821,app,roubo celular,5,31,4,noite,em_andamento,42,nao,nao,nao,3.42,13,9,baixa,procesado,
DD-00284,07-17-2025,Belo Horizonte,MG,Universitario,-19.909054,-43.923282,site,furto,0,15,2,tarde,aberto,62,sim,sim,nao,3.87,23,8,media,pendente,
DD-00285,2025-03-28,Uberlândia,MG,Industrial,-18.953514,-48.252679,site,perda_documento,3,21,5,noite,arquivado,48,sim,sim,nao,3.28,51,25,baixa,procesado,
DD-00286,2025-03-09,São Paulo,SP,Centro,-23.624294,-46.666716,presencial,ameaca,53,42,7,tarde,procesado,54,sim,nao,sim,5,67,37,baixa,pendente,
DD-00287,2025-09-15,curitiba,PR,Santa Maria,-25.462566,-49.314157,site,furto,22,24,5,tarde,procesado,54,nao,nao,nao,4.48,25,20,alta,pendente,
DD-00288,2025-08-07,Goiânia,go,Boa Vista,-16.663001,-49.198656,presencial,ameaca,96,33,7,noite,,46,sim,sim,nao,3.38,58,26,media,cancelado,
DD-00289,2025-03-08,Belo Horizonte,MG,Santa Maria,-19.928411,"-43,893537",presencial,perda_documento,0,7,2,noite,aberto,14,nao,nao,nao,1.86,0,0,media,,
DD-00290,2025-06-15,São Paulo,SP,Centro,-23.489977,-46.611106,presencial,ameaca,31,31,5,noite,arquivado,9,nao,nao,nao,3.45,0,0,baixa,,
DD-00291,2025-01-08,Curitiba,PR,Planalto,-25.505086,-49.283937,presencial,furto,23,6,3,madrugada,,32,sim,sim,nao,4.38,28,20,baixa,pendente,
DD-00292,2025-03-17,Uberaba,MG,Boa Vista,-19.710798,-47.960678,app,furto,0,34,3,tarde,aberto,37,sim,sim,nao,2.37,47,23,media,procesado,
DD-00293,2025-04-11,Belo Horizonte,MG,Industrial,-19.97014,"-43,914538",presencial,fraude_online,31,25,1,manha,em_andamento,30,nao,nao,nao,4.18,37,27,urgente,,
DD-00294,2025-04-09,Belo Horizonte,MG,Santa Maria,-19.876533,-44.011469,totem,furto,73,12,1,noite,arquivado,0,nao,nao,nao,"4,57",28,15,media,pendente,
DD-00295,2025-01-23,Curitiba,PR,Universitario,-25.404758,-49.319596,presencial,fraude_online,0,16,2,madrugada,em_andamento,14,sim,nao,sim,3.23,0,0,alta,cancelado,
DD-00296,data_invalida,Uberaba,MG,Morumbi,-19.775895,-47.91961,presencial,furto,28,21,1,noite,em_andamento,51,nao,nao,nao,2.46,0,0,media,procesado,
DD-00297,2025-04-07,Uberaba,MG,Centro,-19.760219,-47.953119,site,roubo_celular,1,17,2,noite,concluido,0,sim,nao,sim,1.85,7,4,baixa,procesado,
DD-00298,2025-01-18,São Paulo,SP,Morumbi,-23.60643,-46.584099,presencial,fraude_online,10,28,4,tarde,arquivado,0,sim,nao,sim,"2,46",57,24,baixa,validado,
DD-00299,data_invalida,Salvador,BA,Boa Vista,-12.89773,-38.544985,presencial,furto,29,20,6,manha,em_andamento,27,nao,nao,nao,4.95,28,20,baixa,pendente,
DD-00300,2025-07-04,São Paulo,sp,Planalto,-23.512879,-46.567607,app,fraude_online,6,35,3,noite,arquivado,15,nao,nao,nao,5,2,1,media,,
DD-00301,2025-09-30,goiânia,GO,Industrial,-16.704564,-49.213561,site,roubo_celular,0,17,3,manha,concluido,42,sim,sim,nao,3.83,37,28,media,pendente,
DD-00302,2025-02-20,Uberlândia,MG,Universitario,-18.915398,-48.289272,presencial,roubo_celular,69,23,2,madrugada,aberto,53,nao,nao,nao,"3,06",25,19,baixa,procesado,
DD-00303,2025-02-24,Curitiba,PR,Boa Vista,-25.442541,"-49,281942",app,furto,8,28,5,manha,aberto,112,sim,sim,nao,4.26,32,14,baixa,cancelado,
DD-00304,2025-09-04,Belo Horizonte,MG,Boa Vista,"-19,974777",-43.934097,presencial,ameaca,38,12,6,tarde,em_andamento,94,sim,sim,nao,2.19,30,15,alta,validado,
DD-00305,2025-06-04,Salvador,BA,Morumbi,-12.946793,-38.46666,app,fraude on-line,10,18,5,noite,,47,sim,sim,nao,4.39,37,26,baixa,cancelado,
DD-00306,2025-06-18,São Paulo,SP,Industrial,-23.609659,-46.656145,presencial,perda_documento,19,12,4,madrugada,,60,sim,sim,nao,4.75,42,18,alta,pendente,
DD-00307,20/06/2025,Campinas,SP,Planalto,-22.930909,-47.118602,presencial,ameaca,55,2,5,madrugada,em_andamento,0,sim,nao,sim,"3,36",8,4,baixa,validado,
DD-00308,2025-03-01,São Paulo,SP,Morumbi,-23.562684,-46.563601,presencial,perda_doc,84,22,1,tarde,concluido,35,sim,nao,sim,3.46,24,15,alta,pendente,
