registro_id,data_pedido,cidade,uf,cliente_id,tipo_pedido,sabor_pizza,categoria,ingrediente_principal,quantidade_ingrediente_g,validade_ingrediente,ingrediente_vencido,desperdicio_g,valor_pedido,tempo_preparo_min,tempo_entrega_min,dia_semana,hora_pedido,promocao,pedido_cancelado,motivo_cancelamento,tempo_cancelamento_min,avaliacao_cliente,forma_pagamento,status,observacao
BM-00145,2025-02-04,São Paulo,MG,C205,balcao,mussarelaa,doce,calabresa,265,2025-02-01,nao,78,37.97,30,29,segunda,20,,nao,,5,3.4,cartao,cancelado,
BM-00146,2025-01-11,Uberaba,MG,C40,delivery,mussarelaa,especial,quejio,336,2025-10-11,sim,308,75.89,33,61,quarta,22,,nao,,22,4.9,pix,finalizado,
BM-00147,2025-05-31,São Paulo,mg,C271,delivery,especial,especial,quejio,282,2025-09-03,nao,245,100.53,10,26,quarta,22,,nao,,34,1.0,cartao,procesado,
BM-00148,10/06/2025,Uberlândia,SP,C313,delivery,mussarelaa,tradicional,quejio,555,2025-03-20,sim,218,99.97,5,23,sabado,17,cupom,nao,,16,2.9,cartao,,
BM-00149,17/07/2025,Uberlândia,MG,C428,online,mussarela,tradicional,bacon,726,25/06/2025,sim,175,73.62,12,38,segunda,17,nenhuma,nao,,33,1.7,cartao,,
BM-00150,2025-08-10,Franca,SP,C364,delivery,frango_catupiry,especial,catupiry,129,2025-07-15,nao,111,110.57,12,44,terça,21,nenhuma,nao,,39,5.0,dinheiro,cancelado,
BM-00151,2025-05-26,Uberlândia,mg,C428,online,mussarelaa,especial,catupiry,90,2025-07-06,sim,0,119.48,13,32,sexta,23,cupom,nao,,40,4.0,pix,cancelado,
BM-00152,2025-03-25,São Paulo,MG,C456,delivery,mussarela,doce,quejio,735,2025-03-06,nao,0,87.05,5,47,sabado,23,,nao,,7,4.6,dinheiro,,
BM-00153,2025-04-10,Uberlândia,SP,C468,balcao,mussarelaa,doce,queijo,621,2025-01-27,nao,88,"44,89",14,34,sexta,22,nenhuma,nao,,8,1.4,dinheiro,cancelado,
BM-00154,2025-10-28,Uberlândia,SP,C327,balcao,frango_catupiry,doce,quejio,89,2025-03-31,nao,99,113.46,5,26,quarta,19,cupom,nao,,33,1.6,pix,cancelado,
BM-00155,01-11-2025,Uberlândia,MG,C321,delivery,calabresa,tradicional,queijo,382,2025-09-30,sim,4,106.29,16,34,quinta,17,cupom,sim,,20,3.5,cartao,,
BM-00156,2025-07-07,Uberlândia,SP,C320,delivery,calabresa,tradicional,quejio,647,2025-01-13,nao,240,56.29,27,46,quinta,19,combo,nao,,2,1.8,cartao,procesado,
BM-00157,12/01/2025,São Paulo,mg,C100,delivery,mussarelaa,doce,catupiry,94,2025-08-09,sim,41,68.24,18,37,sabado,22,,nao,,33,2.4,cartao,procesado,
BM-00158,2025-10-12,Uberlândia,mg,C56,delivery,mussarelaa,tradicional,quejio,589,2025-04-25,sim,138,103.69,14,47,sabado,22,nenhuma,nao,,29,1.8,dinheiro,finalizado,
BM-00159,2025-01-17,Uberaba,SP,C255,online,mussarela,tradicional,catupiry,356,02/06/2025,nao,27,"127,45",23,25,terça,21,nenhuma,nao,,16,1.1,pix,procesado,
BM-00160,03-13-2025,Franca,mg,C206,online,mussarela,doce,quejio,96,2025-02-17,nao,37,111.3,31,44,domingo,18,combo,nao,,39,3.3,dinheiro,cancelado,
BM-00161,data_invalida,São Paulo,MG,C447,balcao,mussarela,doce,quejio,161,2025-04-11,sim,150,"67,06",15,52,quinta,17,,nao,,4,1.5,cartao,finalizado,
BM-00162,30/08/2025,São Paulo,SP,C222,online,mussarelaa,especial,quejio,435,2025-03-29,sim,104,79.51,12,33,sexta,18,cupom,nao,,25,2.0,pix,,
BM-00163,2025-04-19,Franca,MG,C223,online,mussarelaa,doce,quejio,603,2025-06-16,sim,102,"102,42",16,39,terça,19,,nao,,17,4.6,pix,cancelado,
BM-00164,08-18-2025,Uberlândia,mg,C16,online,calabreza,especial,molho,590,2025-08-19,nao,144,101.84,34,51,segunda,17,combo,nao,,30,4.9,cartao,,
BM-00165,2025-08-10,Uberlândia,MG,C202,balcao,mussarelaa,tradicional,quejio,610,24/01/2025,nao,165,"83,71",21,47,domingo,21,nenhuma,nao,,5,4.9,dinheiro,cancelado,
BM-00166,2025-04-28,Uberlândia,MG,C434,delivery,calabreza,doce,quejio,583,data_invalida,sim,92,134.37,22,45,sabado,22,cupom,nao,,21,2.1,dinheiro,,
BM-00167,2025-08-18,Uberaba,MG,C201,delivery,especial,tradicional,bacon,286,data_invalida,nao,88,102.12,11,17,segunda,19,,nao,,3,3.5,cartao,procesado,
BM-00168,2025-06-12,Franca,mg,C331,online,frango_catupiry,doce,quejio,212,2025-06-15,nao,118,"108,77",10,35,quinta,23,nenhuma,sim,erro_pedido,11,4.9,cartao,procesado,
BM-00169,03-26-2025,Uberlândia,SP,C79,balcao,mussarelaa,tradicional,queijo,94,2025-04-04,nao,0,"130,53",24,52,domingo,18,,nao,,26,3.7,dinheiro,cancelado,
BM-00170,data_invalida,São Paulo,mg,C112,balcao,calabreza,doce,catupiry,524,2025-10-04,nao,174,124.68,12,35,quarta,23,nenhuma,nao,,9,2.3,cartao,cancelado,
BM-00171,2025-01-12,Uberlândia,mg,C383,delivery,calabreza,especial,quejio,418,2025-02-28,sim,171,74.35,21,37,sexta,17,nenhuma,nao,,39,3.3,dinheiro,,
BM-00172,2025-02-26,Uberlândia,SP,C299,balcao,mussarelaa,especial,catupiry,539,2025-01-31,sim,224,114.12,25,16,terça,19,cupom,nao,,8,1.0,dinheiro,,
BM-00173,2025-02-04,Uberlândia,SP,C52,online,mussarelaa,especial,queijo,452,2025-08-04,sim,123,94.06,25,40,sexta,21,cupom,sim,demora,16,2.9,cartao,procesado,
BM-00174,2025-03-10,São Paulo,mg,C200,online,mussarelaa,doce,calabresa,773,2025-07-18,sim,126,"137,41",28,56,segunda,20,combo,nao,,16,4.6,cartao,,
BM-00175,2025-07-29,São Paulo,SP,C208,online,chocolate,tradicional,bacon,735,02-09-2025,sim,237,"64,1",12,26,terça,23,combo,nao,,18,1.4,cartao,procesado,
BM-00176,2025-03-21,Franca,mg,C94,balcao,frango_catupiry,tradicional,quejio,266,2025-03-03,sim,230,40.84,12,26,terça,21,cupom,nao,,4,4.0,pix,finalizado,
BM-00177,2025-10-11,Franca,MG,C467,online,calabreza,doce,quejio,308,2025-02-21,sim,12,"113,04",12,63,terça,19,cupom,nao,,13,1.3,cartao,finalizado,
BM-00178,06-07-2025,Franca,mg,C463,delivery,calabresa,doce,quejio,553,2025-05-10,sim,212,82.91,19,59,sexta,22,,nao,,31,1.6,pix,,
BM-00179,2025-04-18,Uberlândia,MG,C65,balcao,mussarelaa,tradicional,quejio,247,03-18-2025,nao,123,111.74,14,37,segunda,19,,nao,,28,4.7,dinheiro,procesado,
BM-00180,2025-06-02,Franca,mg,C228,online,mussarelaa,doce,quejio,158,2025-06-05,sim,47,106.37,17,10,segunda,18,,nao,,10,3.0,dinheiro,procesado,
BM-00181,data_invalida,Franca,MG,C15,balcao,calabresa,tradicional,quejio,355,2025-01-26,nao,212,"62,11",24,60,sabado,21,combo,nao,,37,4.8,cartao,procesado,
BM-00182,2025-07-17,Franca,SP,C120,delivery,calabresa,doce,quejio,189,05-30-2025,nao,228,51.45,5,52,terça,19,nenhuma,nao,,21,4.8,dinheiro,procesado,
BM-00183,10-15-2025,Franca,mg,C173,balcao,calabreza,especial,quejio,161,2025-08-10,nao,122,131.93,28,22,quarta,17,,nao,,23,3.7,cartao,finalizado,
BM-00184,2025-03-12,Uberlândia,mg,C393,balcao,calabreza,especial,calabresa,86,data_invalida,sim,173,101.28,16,27,terça,22,nenhuma,nao,,30,1.7,pix,cancelado,
BM-00185,2025-08-30,São Paulo,SP,C160,balcao,frango_catupiry,tradicional,quejio,539,2025-09-17,nao,132,92.84,11,43,terça,20,,nao,,24,3.0,pix,procesado,
BM-00186,2025-07-12,São Paulo,mg,C21,delivery,calabresa,especial,quejio,540,2025-05-02,nao,0,36.89,10,17,domingo,23,combo,nao,,10,4.7,dinheiro,finalizado,
BM-00187,2025-06-22,Franca,mg,C75,balcao,calabresa,doce,queijo,515,2025-04-12,sim,100,"38,24",15,24,quinta,17,combo,nao,,4,2.1,dinheiro,procesado,
BM-00188,2025-07-19,Uberlândia,SP,C359,online,mussarela,especial,quejio,510,07-20-2025,nao,122,65.62,21,18,quarta,17,,nao,,1,2.8,dinheiro,,
BM-00189,2025-03-08,Franca,mg,C108,balcao,mussarelaa,especial,queijo,370,data_invalida,nao,317,73.08,18,18,sexta,19,nenhuma,nao,,17,1.1,cartao,procesado,
BM-00190,2025-01-09,Franca,SP,C473,online,frango_catupiry,tradicional,calabresa,470,2025-03-07,sim,57,54.78,15,42,domingo,23,combo,nao,,23,4.2,pix,procesado,
BM-00191,2025-04-09,Uberlândia,mg,C181,balcao,calabresa,especial,calabresa,348,2025-10-28,sim,276,"122,1",19,29,sexta,17,cupom,nao,,31,4.0,pix,,
BM-00192,2025-09-16,Uberlândia,SP,C127,delivery,mussarelaa,tradicional,queijo,385,2025-04-02,nao,110,77.5,41,17,quarta,21,cupom,sim,erro_pedido,3,2.9,cartao,procesado,
BM-00193,2025-09-08,Uberlândia,SP,C114,online,portuguesa,tradicional,molho,178,2025-06-09,sim,216,82.56,8,44,sabado,21,nenhuma,nao,,11,4.5,pix,,
BM-00194,2025-03-01,São Paulo,mg,C418,balcao,mussarela,tradicional,molho,117,2025-06-22,sim,255,84.35,19,31,quinta,22,cupom,nao,,2,4.7,cartao,procesado,
BM-00195,2025-09-08,Franca,SP,C305,balcao,calabreza,doce,quejio,534,2025-06-27,nao,82,72.48,28,27,quarta,18,,nao,,22,2.4,dinheiro,procesado,
BM-00196,2025-03-06,Uberaba,SP,C461,balcao,frango_catupiry,tradicional,calabresa,217,03/05/2025,nao,162,116.45,5,64,segunda,20,,nao,,11,3.7,cartao,procesado,
BM-00197,2025-04-04,Franca,SP,C315,balcao,mussarelaa,especial,bacon,701,29/03/2025,nao,142,116.04,25,27,terça,17,combo,sim,demora,35,3.1,pix,cancelado,
BM-00198,10-17-2025,Uberlândia,SP,C243,delivery,calabreza,tradicional,quejio,321,data_invalida,nao,0,36.89,21,27,domingo,18,,nao,,23,4.4,cartao,finalizado,
BM-00199,2025-07-21,Uberlândia,mg,C470,online,mussarela,tradicional,quejio,302,2025-09-06,nao,147,50.18,23,42,segunda,23,combo,nao,,9,3.0,cartao,finalizado,
BM-00200,17/10/2025,São Paulo,SP,C114,online,calabreza,tradicional,queijo,271,2025-09-08,sim,156,48.82,11,10,sabado,23,cupom,nao,,19,2.1,cartao,procesado,
BM-00201,2025-04-26,Uberaba,mg,C142,delivery,mussarela,tradicional,molho,320,2025-04-05,sim,124,"118,21",21,56,segunda,20,combo,nao,,19,4.1,dinheiro,,
BM-00202,2025-09-24,São Paulo,SP,C404,delivery,portuguesa,tradicional,quejio,164,2025-05-13,sim,181,84.84,10,71,quinta,21,combo,sim,erro_pedido,10,1.1,pix,procesado,
BM-00203,04-27-2025,Uberlândia,mg,C326,delivery,mussarelaa,especial,quejio,79,11/06/2025,sim,0,63.1,5,45,terça,20,nenhuma,nao,,14,4.2,cartao,,
BM-00204,2025-03-03,Franca,SP,C461,balcao,frango_catupiry,doce,quejio,183,2025-01-17,sim,272,72.32,11,57,quarta,19,combo,nao,,13,3.6,cartao,cancelado,
BM-00205,2025-04-23,Uberlândia,SP,C390,online,mussarelaa,tradicional,quejio,752,2025-10-18,nao,143,129.49,12,17,domingo,23,,nao,,21,4.4,dinheiro,procesado,
BM-00206,2025-02-05,Uberlândia,mg,C1,online,mussarelaa,especial,quejio,101,2025-02-15,sim,127,35.11,25,37,quarta,20,,nao,,5,3.3,cartao,finalizado,
BM-00207,2025-04-01,Uberlândia,SP,C247,balcao,calabreza,especial,quejio,396,2025-07-19,nao,140,102.69,11,33,segunda,17,cupom,nao,,22,1.3,dinheiro,,
BM-00208,12/04/2025,Franca,MG,C156,online,mussarelaa,tradicional,catupiry,76,2025-09-09,sim,159,81.44,26,22,segunda,23,cupom,nao,,28,3.0,pix,,
BM-00209,2025-02-26,Uberlândia,mg,C55,balcao,mussarelaa,tradicional,calabresa,306,2025-02-24,sim,269,102.58,18,57,domingo,23,nenhuma,nao,,24,3.4,cartao,procesado,
BM-00210,2025-08-08,São Paulo,SP,C236,delivery,mussarelaa,especial,molho,651,2025-06-07,sim,251,126.28,19,30,sabado,21,cupom,nao,,13,1.9,cartao,procesado,
BM-00211,2025-08-10,Franca,mg,C369,online,calabreza,doce,quejio,349,2025-06-12,nao,82,42.74,9,47,quarta,19,combo,nao,,6,2.7,cartao,procesado,
BM-00212,2025-01-14,Uberlândia,MG,C261,online,frango_catupiry,tradicional,quejio,379,2025-04-07,nao,103,67.38,10,30,quarta,17,,nao,,33,2.2,pix,,
BM-00213,28/05/2025,São Paulo,SP,C412,balcao,mussarelaa,tradicional,queijo,72,2025-01-01,nao,74,"125,55",15,28,sexta,17,nenhuma,nao,,40,3.0,pix,,
BM-00214,2025-01-30,Uberaba,mg,C72,online,calabresa,doce,calabresa,449,2025-02-06,sim,173,43.49,17,40,sexta,17,combo,nao,,29,3.7,cartao,procesado,
BM-00215,2025-01-20,Uberlândia,MG,C82,delivery,mussarela,especial,quejio,59,data_invalida,nao,42,106.09,15,28,terça,21,cupom,nao,,12,2.4,cartao,finalizado,
BM-00216,2025-01-01,Uberlândia,SP,C275,balcao,frango_catupiry,especial,bacon,751,2025-02-22,sim,54,"89,16",23,38,quarta,21,cupom,nao,,4,2.0,pix,procesado,
BM-00217,2025-08-11,Franca,mg,C280,delivery,calabreza,tradicional,queijo,597,2025-10-04,sim,218,110.26,20,20,sexta,23,cupom,nao,,37,2.9,pix,procesado,
BM-00218,09-29-2025,Uberlândia,SP,C82,delivery,mussarelaa,tradicional,quejio,189,2025-09-05,nao,156,126.22,17,24,sexta,18,,nao,,25,2.6,pix,cancelado,
BM-00219,2025-01-09,Uberaba,SP,C120,balcao,calabreza,especial,catupiry,233,2025-03-31,sim,190,39.1,16,25,segunda,17,combo,nao,,8,5.0,dinheiro,cancelado,
BM-00220,07-20-2025,São Paulo,MG,C80,balcao,mussarelaa,doce,quejio,581,2025-04-19,nao,101,134.86,20,24,segunda,21,cupom,nao,,40,1.9,cartao,procesado,
BM-00221,08-23-2025,Uberlândia,mg,C364,balcao,calabreza,doce,calabresa,101,2025-03-23,nao,140,36.99,16,53,sexta,23,nenhuma,nao,,40,1.4,dinheiro,cancelado,
BM-00222,2025-08-12,Uberlândia,MG,C400,delivery,calabreza,especial,quejio,528,data_invalida,sim,0,85.11,7,30,terça,17,,sim,erro_pedido,14,1.6,dinheiro,,
BM-00223,2025-08-04,Franca,mg,C485,online,mussarelaa,especial,molho,409,2025-08-22,sim,118,132.95,20,36,quinta,23,combo,nao,,23,3.4,pix,finalizado,
BM-00224,2025-02-09,Uberaba,MG,C82,delivery,calabreza,especial,quejio,503,data_invalida,sim,0,111.88,16,36,quinta,17,combo,nao,,14,3.5,dinheiro,procesado,
BM-00225,2025-06-05,Uberaba,MG,C267,balcao,mussarelaa,doce,calabresa,701,11/02/2025,nao,11,124.99,28,43,sexta,19,combo,nao,,6,2.1,pix,,
BM-00226,2025-01-15,São Paulo,mg,C287,online,calabreza,doce,quejio,249,20/08/2025,sim,214,40.1,16,24,domingo,17,combo,nao,,13,3.1,cartao,finalizado,
BM-00227,2025-06-10,São Paulo,mg,C82,online,mussarelaa,tradicional,queijo,587,2025-08-14,nao,365,107.42,27,21,sexta,17,,nao,,15,3.0,cartao,,
BM-00228,2025-10-01,São Paulo,MG,C168,delivery,calabresa,tradicional,quejio,468,2025-02-15,sim,195,123.78,18,57,quinta,18,combo,nao,,7,4.3,cartao,finalizado,
BM-00229,data_invalida,Uberlândia,mg,C470,balcao,calabreza,especial,quejio,113,2025-05-09,nao,151,125.57,28,41,quarta,17,combo,nao,,38,3.5,cartao,procesado,
BM-00230,09-12-2025,Franca,mg,C218,balcao,mussarelaa,tradicional,catupiry,176,04/04/2025,sim,17,"102,49",35,17,sexta,18,,nao,,32,2.1,pix,procesado,
BM-00231,2025-06-09,São Paulo,MG,C365,delivery,chocolate,especial,catupiry,283,2025-01-31,nao,0,42.41,15,36,sexta,23,cupom,nao,,7,3.5,dinheiro,finalizado,
BM-00232,2025-10-25,Uberlândia,mg,C221,delivery,calabreza,doce,quejio,492,2025-09-22,nao,122,"113,62",29,60,quarta,20,cupom,sim,cliente_desistiu,29,1.4,dinheiro,procesado,
BM-00233,2025-07-28,Uberaba,SP,C199,online,mussarelaa,doce,quejio,243,2025-06-12,sim,10,45.96,15,23,domingo,19,combo,nao,,3,4.8,pix,procesado,
BM-00234,2025-08-09,Franca,mg,C294,online,calabreza,tradicional,quejio,144,08-09-2025,nao,133,133.19,22,11,quinta,22,nenhuma,nao,,30,4.4,dinheiro,,
BM-00235,2025-10-28,São Paulo,mg,C433,balcao,chocolate,doce,quejio,246,02-23-2025,sim,134,99.97,20,46,domingo,19,cupom,nao,,9,3.1,dinheiro,,
BM-00236,2025-01-31,Uberlândia,SP,C159,balcao,calabreza,tradicional,quejio,737,2025-06-29,nao,216,71.84,17,49,sexta,23,combo,nao,,5,2.1,pix,finalizado,
BM-00237,2025-02-09,São Paulo,mg,C207,online,frango_catupiry,doce,queijo,738,10-23-2025,nao,248,93.04,28,59,domingo,21,combo,sim,demora,25,3.9,pix,finalizado,
BM-00238,2025-09-04,Uberaba,MG,C69,balcao,mussarelaa,doce,quejio,631,data_invalida,nao,159,96.93,23,59,sexta,19,combo,sim,cliente_desistiu,35,1.3,dinheiro,cancelado,
BM-00239,04-16-2025,Franca,MG,C441,balcao,calabresa,doce,quejio,316,04-20-2025,nao,50,97.62,14,55,sabado,19,cupom,nao,,10,3.2,pix,,
BM-00240,2025-05-17,Franca,SP,C232,delivery,calabreza,tradicional,quejio,170,2025-05-04,sim,289,93.05,14,65,segunda,23,nenhuma,nao,,13,2.8,dinheiro,finalizado,
BM-00241,2025-06-30,São Paulo,SP,C401,balcao,mussarelaa,especial,quejio,741,2025-05-12,nao,286,"103,02",17,47,terça,21,,sim,demora,5,2.5,pix,,
BM-00242,2025-06-23,Franca,SP,C60,delivery,mussarela,tradicional,quejio,153,2025-04-23,nao,127,"109,97",16,21,segunda,18,combo,nao,,12,4.3,pix,finalizado,
BM-00243,04-28-2025,Uberlândia,mg,C407,online,calabreza,especial,quejio,488,2025-10-10,nao,122,"118,95",22,35,quarta,23,,nao,,15,1.1,pix,,
BM-00244,2025-06-26,Uberaba,mg,C463,online,calabreza,especial,quejio,94,01/03/2025,sim,239,101.61,24,38,segunda,21,cupom,nao,,29,1.7,pix,finalizado,
BM-00245,2025-01-17,Uberaba,mg,C313,balcao,calabreza,especial,calabresa,132,2025-03-23,nao,22,104.12,18,21,quarta,17,nenhuma,nao,,14,2.1,dinheiro,procesado,
BM-00246,2025-01-11,São Paulo,mg,C381,delivery,portuguesa,doce,quejio,238,2025-09-11,sim,289,106.98,8,53,domingo,20,cupom,nao,,32,2.3,pix,cancelado,
BM-00247,10-08-2025,Uberaba,SP,C280,delivery,calabreza,especial,catupiry,320,2025-06-19,nao,174,75.64,19,28,quarta,20,nenhuma,nao,,24,2.0,pix,procesado,
BM-00248,2025-07-19,São Paulo,MG,C43,online,mussarela,especial,molho,575,04-08-2025,nao,77,"67,77",17,29,sabado,23,nenhuma,sim,erro_pedido,16,4.4,cartao,,
BM-00249,2025-03-17,Uberaba,SP,C52,balcao,calabreza,doce,quejio,552,2025-08-30,sim,77,104.97,22,41,sabado,22,cupom,nao,,8,4.8,cartao,procesado,
BM-00250,2025-07-05,São Paulo,MG,C76,online,calabreza,tradicional,quejio,161,data_invalida,nao,196,134.94,9,29,quarta,23,cupom,nao,,12,2.5,pix,cancelado,
BM-00251,2025-05-10,Franca,SP,C287,balcao,mussarelaa,especial,quejio,435,2025-07-11,nao,36,78.05,25,36,segunda,21,,nao,,1,1.8,pix,cancelado,
BM-00252,2025-03-09,Uberaba,MG,C420,balcao,frango_catupiry,doce,quejio,689,2025-06-01,nao,263,44.04,7,66,quinta,20,,nao,,33,4.9,dinheiro,,
BM-00253,2025-04-14,Uberlândia,MG,C305,online,mussarelaa,doce,quejio,587,05/07/2025,nao,154,44.21,7,35,sexta,23,combo,sim,cliente_desistiu,5,1.7,cartao,cancelado,
BM-00254,2025-07-12,Uberaba,SP,C427,delivery,mussarelaa,tradicional,molho,56,2025-10-10,nao,35,"132,88",19,38,quinta,23,,nao,,15,2.7,dinheiro,cancelado,
BM-00255,2025-05-11,Uberlândia,MG,C5,online,frango_catupiry,doce,quejio,95,data_invalida,nao,157,92.86,18,55,domingo,18,cupom,nao,,12,2.6,pix,cancelado,
BM-00256,2025-06-20,Franca,SP,C34,delivery,mussarelaa,especial,quejio,98,2025-10-08,sim,49,"117,85",21,41,quarta,19,,nao,,20,3.2,pix,cancelado,
BM-00257,2025-03-02,Franca,mg,C62,delivery,mussarelaa,doce,quejio,444,2025-06-02,nao,145,68.23,20,25,quarta,22,,nao,,24,1.5,cartao,procesado,
BM-00258,06/07/2025,São Paulo,mg,C61,balcao,mussarelaa,doce,quejio,342,2025-07-11,sim,182,"127,4",20,27,domingo,18,,sim,erro_pedido,4,1.8,dinheiro,cancelado,
BM-00259,22/10/2025,Uberlândia,mg,C281,delivery,calabreza,tradicional,queijo,721,2025-03-20,nao,76,51.7,11,43,sabado,18,cupom,nao,,22,1.5,pix,cancelado,
BM-00260,2025-05-07,Uberlândia,SP,C456,balcao,mussarelaa,especial,molho,247,2025-05-11,nao,196,"74,75",8,35,domingo,21,nenhuma,nao,,6,3.3,cartao,cancelado,
BM-00261,2025-08-11,Franca,SP,C112,online,calabreza,tradicional,calabresa,241,2025-04-26,nao,0,97.67,28,38,domingo,18,cupom,nao,,25,4.0,cartao,procesado,
BM-00262,2025-07-10,Franca,mg,C27,delivery,portuguesa,doce,calabresa,106,2025-01-31,nao,144,58.16,22,35,sabado,17,cupom,sim,erro_pedido,39,2.8,dinheiro,procesado,
BM-00263,10-13-2025,Uberaba,SP,C64,delivery,calabreza,especial,quejio,182,2025-02-27,sim,0,129.38,19,29,sabado,18,,nao,,11,1.6,dinheiro,procesado,
BM-00264,2025-06-18,São Paulo,MG,C109,delivery,mussarelaa,especial,molho,660,2025-05-06,sim,198,82.62,17,39,sexta,18,cupom,nao,,6,1.0,dinheiro,,
BM-00265,09-10-2025,Franca,mg,C130,delivery,mussarelaa,tradicional,calabresa,148,2025-01-17,nao,116,105.93,19,57,domingo,17,combo,nao,,24,2.4,cartao,finalizado,
BM-00266,2025-02-16,Franca,mg,C313,delivery,calabreza,tradicional,quejio,772,2025-04-24,sim,195,51.57,19,34,sabado,17,,nao,,30,4.2,dinheiro,procesado,
BM-00267,2025-08-07,Uberlândia,mg,C55,delivery,calabreza,doce,quejio,766,2025-03-17,sim,176,135.44,16,15,segunda,22,cupom,nao,,9,3.0,pix,,
BM-00268,2025-09-21,Uberaba,MG,C144,delivery,calabreza,especial,queijo,557,2025-10-27,nao,0,79.36,22,38,segunda,20,cupom,nao,,36,3.4,dinheiro,,
BM-00269,2025-06-11,São Paulo,SP,C31,online,calabreza,tradicional,calabresa,365,2025-10-26,sim,65,76.86,9,10,domingo,20,nenhuma,nao,,26,4.3,pix,cancelado,
BM-00270,24/06/2025,São Paulo,MG,C33,online,especial,doce,quejio,201,data_invalida,nao,156,138.85,28,33,quarta,18,combo,nao,,34,2.4,dinheiro,finalizado,
BM-00271,2025-03-20,Uberlândia,SP,C294,balcao,mussarelaa,especial,quejio,492,2025-03-28,nao,119,"41,4",37,22,quinta,21,,nao,,39,4.7,pix,finalizado,
BM-00272,data_invalida,Franca,SP,C467,online,calabreza,especial,quejio,711,data_invalida,sim,119,69.6,5,26,terça,20,nenhuma,nao,,5,2.0,dinheiro,finalizado,
BM-00273,2025-05-14,Uberlândia,MG,C466,balcao,frango_catupiry,tradicional,catupiry,432,2025-08-30,nao,0,134.17,13,49,quarta,20,,nao,,11,4.8,pix,procesado,
BM-00274,2025-05-01,Uberaba,SP,C384,delivery,especial,especial,calabresa,187,2025-09-17,sim,0,51.35,17,47,terça,22,,nao,,22,1.8,cartao,finalizado,
BM-00275,2025-09-10,Uberaba,mg,C466,online,calabresa,especial,quejio,348,2025-05-03,nao,13,35.03,10,20,segunda,19,nenhuma,nao,,22,3.5,pix,procesado,
BM-00276,09-24-2025,São Paulo,SP,C439,balcao,frango_catupiry,especial,quejio,503,2025-04-12,sim,25,114.3,13,10,quinta,20,combo,nao,,20,4.9,cartao,,
BM-00277,04-22-2025,Uberlândia,MG,C26,online,mussarelaa,doce,quejio,508,2025-05-26,sim,16,135.6,7,10,quinta,23,,nao,,1,3.7,dinheiro,,
BM-00278,06-03-2025,São Paulo,mg,C153,online,calabreza,especial,molho,781,23/10/2025,nao,81,"111,46",18,33,sexta,23,,nao,,2,3.7,dinheiro,,
BM-00279,2025-03-27,Uberaba,mg,C408,delivery,calabreza,doce,quejio,749,04-09-2025,nao,298,88.79,20,31,domingo,21,nenhuma,sim,,5,4.0,dinheiro,finalizado,
BM-00280,2025-08-09,São Paulo,MG,C307,balcao,calabreza,especial,quejio,704,10/05/2025,sim,155,"132,71",21,30,quarta,18,nenhuma,nao,,3,3.9,cartao,cancelado,
BM-00281,2025-04-07,Uberaba,SP,C341,balcao,mussarela,doce,bacon,642,data_invalida,sim,208,118.93,13,19,sexta,19,nenhuma,sim,erro_pedido,35,4.8,dinheiro,finalizado,
BM-00282,08-02-2025,Uberlândia,mg,C157,online,mussarelaa,tradicional,quejio,170,2025-08-06,sim,1,120.31,28,35,quinta,20,,nao,,11,1.7,dinheiro,,
BM-00283,2025-02-21,São Paulo,mg,C429,balcao,calabresa,tradicional,catupiry,554,2025-08-14,sim,146,67.53,23,31,quarta,18,nenhuma,nao,,27,2.0,cartao,procesado,
BM-00284,2025-01-17,Uberlândia,SP,C432,balcao,calabreza,tradicional,queijo,381,08-11-2025,sim,16,81.11,8,18,quarta,18,nenhuma,nao,,9,2.9,dinheiro,finalizado,
BM-00285,2025-03-22,São Paulo,MG,C220,online,mussarelaa,especial,catupiry,347,2025-04-22,sim,35,52.08,26,42,quarta,19,nenhuma,nao,,10,2.4,dinheiro,finalizado,
BM-00286,2025-05-08,Franca,SP,C440,delivery,calabreza,tradicional,quejio,604,2025-09-19,nao,97,137.85,20,10,sexta,20,nenhuma,nao,,27,2.0,pix,finalizado,
BM-00287,2025-07-01,Franca,MG,C107,balcao,calabreza,tradicional,calabresa,630,2025-10-03,sim,218,46.59,30,25,quinta,21,,nao,,34,3.7,pix,finalizado,
BM-00288,2025-06-27,Franca,MG,C272,delivery,calabreza,especial,quejio,605,2025-02-10,sim,202,40.22,20,18,sabado,19,,nao,,35,3.8,cartao,cancelado,
BM-00289,05-25-2025,Franca,SP,C313,delivery,frango_catupiry,doce,molho,753,2025-01-27,nao,160,55.73,15,33,sexta,20,combo,nao,,25,3.5,dinheiro,finalizado,
BM-00290,14/01/2025,Franca,mg,C359,delivery,calabreza,especial,calabresa,605,2025-05-16,sim,97,"58,49",6,50,sexta,22,,nao,,10,4.1,dinheiro,cancelado,
BM-00291,2025-04-07,Uberaba,mg,C496,online,portuguesa,tradicional,catupiry,52,data_invalida,sim,214,43.15,29,17,segunda,21,cupom,nao,,26,5.0,dinheiro,,
BM-00292,23/05/2025,Uberlândia,mg,C414,online,calabreza,doce,catupiry,481,28/04/2025,sim,159,35.28,19,36,sexta,17,cupom,sim,erro_pedido,4,2.1,dinheiro,procesado,
