registro_id,data_pedido,cidade,uf,cliente_id,loja_id,canal,categoria_principal,quantidade_itens,produtos_indisponiveis,funcionarios_disponiveis,volume_pedidos_simultaneos,horario_pedido,periodo_pico,tipo_produto,tempo_separacao_min,tempo_entrega_estimado_min,tempo_entrega_real_min,valor_pedido,cupom_utilizado,avaliacao_cliente,cancelado,motivo_cancelamento,frequencia_compra_mes,dias_desde_ultima_compra,status_pedido,observacao
FM-00158,2025-06-17,Uberlândia,MG,C252,L17,app,mercearia,4,0,2,24,9,nao,nao_perecivel,11,45,54,40.01,sim,"2,3",nao,,3,30,em_rota,
FM-00159,2025-04-30,Campinas,SP,C350,L19,app,bebidas,8,2,5,8,14,nao,nao_perecivel,,45,47,119.63,nao,3.4,nao,,2,7,entregue,
FM-00160,2025-07-31,Uberlândia,MG,C533,L31,app,horti fruti,24,1,4,35,11,sim,perecivel,57,45,56,110.29,sim,4.2,nao,,8,46,,
FM-00161,2025-04-26,São Paulo,SP,C535,L21,app,bebidas,10,0,7,7,20,sim,perecivel,15,30,25,78.06,,5,nao,,11,28,,
FM-00162,2025-04-01,São Paulo,SP,C2,L30,web,hortifruti,10,0,3,30,15,nao,nao_perecivel,34,35,44,61.91,,1.6,nao,,6,62,,
FM-00163,2025-02-11,Salvador,BA,C167,L50,app,hortifruti,9,0,4,11,23,nao,nao_perecivel,13,40,58,96.28,sim,"3,1",sim,produto_indisponivel,6,16,cancelado,
FM-00164,24/06/2025,Uberlândia,MG,C481,L41,app,horti fruti,13,0,3,0,10,nao,nao_perecivel,31,45,32,53.02,,5,nao,,9,84,entregue,
FM-00165,2025-06-01,São Paulo,SP,C323,L57,app,limpeza,17,2,4,27,19,sim,nao_perecivel,59,30,62,"85,64",nao,"4,0",nao,,6,16,cancelado,
FM-00166,09/01/2025,Uberlândia,MG,C532,L51,app,limpeza,2,0,4,0,10,nao,nao_perecivel,3,50,28,196.06,sim,5,nao,,6,47,procesado,
FM-00167,2025-01-12,Curitiba,PR,C482,L25,web,mercearia,18,0,3,26,13,nao,nao_perecivel,54,45,58,148.76,,2.3,sim,valor_frete,6,24,em_rota,
FM-00168,2025-02-12,Campinas,SP,C231,L59,web,conveniência,6,0,5,31,12,sim,nao_perecivel,32,30,50,93.14,sim,3.6,nao,,4,84,entregue,
FM-00169,2025-06-16,Curitiba,PR,C412,L40,app,horti fruti,25,4,1,15,13,nao,nao perecivel,55,50,45,184.89,sim,2.2,sim,produto_indisponivel,7,76,cancelado,
FM-00170,2025-04-23,Uberaba,MG,C125,L4,app,hortifruti,22,0,3,4,14,nao,perecivel,34,30,10,95.21,nao,3.4,sim,atraso,7,64,cancelado,
FM-00171,2025-05-09,curitiba,PR,C438,L25,app,hortifruti,1,0,7,25,9,nao,perecivel,3,30,78,147.2,sim,"3,1",sim,cliente_desistiu,9,43,cancelado,
FM-00172,2025-09-22,São Paulo,SP,C331,L40,app,hortifruti,13,1,4,43,12,sim,perecivel,39,35,49,58.44,sim,4.2,nao,,0,62,cancelado,
FM-00173,06-10-2025,Salvador,BA,C290,L21,app,bebidas,18,0,4,8,7,nao,perecivel,33,40,30,100.19,nao,2.3,sim,atraso,5,47,procesado,
FM-00174,2025-05-22,Curitiba,PR,C250,L2,app,limpeza,13,0,4,29,23,nao,perecivel,41,30,50,130.53,nao,"3,0",nao,,0,65,cancelado,
FM-00175,2025-04-21,Uberlândia,MG,C321,L28,web,bebidas,30,0,4,29,10,nao,perecivel,84,40,30,107.07,nao,4.5,nao,,9,81,,
FM-00176,2025-02-25,Salvador,BA,C265,L60,app,conveniencia,5,2,5,27,13,nao,perecivel,20,45,38,127.47,,"4,9",nao,,3,88,cancelado,
FM-00177,19/08/2025,Uberaba,MG,C333,L10,web,bebidas,18,4,3,32,14,nao,perecivel,59,40,37,69.8,,3.6,sim,valor_frete,1,67,cancelado,
FM-00178,2025-07-12,São Paulo,SP,C459,L34,app,hortifruti,4,0,1,16,12,sim,perecivel,12,30,24,182.85,,4.0,nao,,7,43,,
FM-00179,02-27-2025,Curitiba,PR,C235,L32,app,mercearia,1,1,3,36,15,nao,nao_perecivel,20,40,10,220.26,nao,5,nao,,7,13,,
FM-00180,2025-07-13,Curitiba,PR,C465,L27,app,hortifruti,11,1,5,12,11,sim,nao_perecivel,17,30,16,58.25,sim,4.1,nao,,5,10,cancelado,
FM-00181,29/05/2025,uberlândia,MG,C408,L31,app,mercearia,14,0,4,14,15,nao,nao_perecivel,21,40,70,104.94,sim,"1,5",nao,,9,43,,
FM-00182,30/07/2025,Uberlândia,MG,C108,L7,app,mercearia,13,0,2,26,15,nao,perecivel,29,40,47,124.54,sim,4.0,nao,,2,63,em_rota,
FM-00183,data_invalida,Salvador,BA,C69,L50,app,conveniencia,10,1,5,38,22,nao,nao_perecivel,37,45,52,133.24,,3.4,nao,,1,29,procesado,
FM-00184,2025-02-04,Campinas,SP,C460,L21,app,mercearia,3,1,5,37,8,nao,nao_perecivel,29,35,19,43.57,sim,4.8,nao,,9,60,cancelado,
FM-00185,2025-02-26,São Paulo,SP,C13,L29,app,hortifruti,11,1,8,16,9,nao,nao_perecivel,23,50,27,73.1,nao,"2,9",nao,,7,5,,
FM-00186,2025-09-26,Campinas,SP,C80,L44,app,limpeza,19,0,1,6,12,sim,nao_perecivel,54,40,50,152.11,sim,5,sim,cliente_desistiu,13,17,entregue,
FM-00187,02-15-2025,Uberaba,MG,C511,L41,web,hortifruti,16,0,6,15,9,nao,nao_perecivel,36,45,52,15,,1.2,sim,produto_indisponivel,6,42,,
FM-00188,2025-05-26,Campinas,SP,C162,L26,app,hortifruti,8,2,2,24,23,nao,nao_perecivel,30,45,51,68.3,,1.8,sim,valor_frete,5,83,procesado,
FM-00189,23/10/2025,Curitiba,PR,C323,L2,app,mercearia,23,1,1,19,13,nao,perecivel,66,45,44,95.26,,3.2,nao,,0,83,cancelado,
FM-00190,08/01/2025,Goiânia,GO,C154,L37,app,conveniencia,10,0,1,0,21,nao,nao_perecivel,24,40,45,100.54,,3.0,nao,,3,20,,
FM-00191,2025-09-10,Goiânia,GO,C250,L7,web,hortifruti,5,1,3,10,13,nao,nao_perecivel,10,50,42,"123,08",,3.4,sim,atraso,0,52,procesado,
FM-00192,2025-05-30,Curitiba,pr,C12,L42,app,conveniencia,6,0,3,27,9,nao,nao_perecivel,,30,23,133.8,nao,3.4,nao,,4,21,em_rota,
FM-00193,2025-06-27,Salvador,BA,C95,L18,app,hortifruti,23,1,5,23,21,nao,nao_perecivel,46,35,20,"112,45",sim,2.7,nao,,11,38,,
FM-00194,2025-07-06,Goiânia,GO,C219,L7,app,bebidas,24,0,1,15,12,sim,nao_perecivel,57,30,18,21.47,,4.8,nao,,4,11,em_rota,
FM-00195,2025-01-06,Curitiba,PR,C58,L14,app,limpeza,8,0,4,25,22,nao,nao_perecivel,11,30,10,246.64,nao,5,nao,,4,29,procesado,
FM-00196,25/03/2025,Uberaba,mg,C370,L24,app,bebidas,9,1,3,0,13,nao,perecivel,19,45,14,106.54,,"3,5",nao,,0,81,cancelado,
FM-00197,2025-06-03,Campinas,SP,C134,L28,web,mercearia,1,1,5,9,23,nao,nao_perecivel,3,40,10,147.73,,4.7,nao,,0,3,procesado,
FM-00198,2025-07-19,Curitiba,PR,C499,L36,app,conveniencia,16,0,5,15,18,sim,nao_perecivel,25,30,23,"112,48",sim,"3,9",nao,,1,69,procesado,
FM-00199,2025-05-09,Uberlândia,MG,C530,L47,app,limpeza,17,0,1,29,20,sim,perecivel,39,50,58,125.27,nao,4.1,sim,produto_indisponivel,7,28,entregue,
FM-00200,2025-03-19,São Paulo,SP,C453,L5,app,conveniencia,17,0,7,7,16,nao,nao perecivel,30,30,48,175.05,sim,2.3,nao,,12,62,entregue,
FM-00201,data_invalida,Uberaba,MG,C229,L3,app,hortifruti,5,0,2,17,7,nao,perecivel,11,35,40,144.91,sim,3.8,sim,erro_pagamento,1,17,em_rota,
FM-00202,2025-10-03,Salvador,BA,C25,L28,web,hortifruti,3,0,3,7,17,nao,perecivel,4,30,42,156.82,sim,4.2,sim,cliente_desistiu,2,13,procesado,
FM-00203,2025-10-05,Uberlândia,MG,C524,L6,app,bebidas,14,0,5,12,10,nao,perecivel,18,50,49,66.3,sim,3.9,nao,,4,34,entregue,
FM-00204,22/07/2025,Salvador,BA,C44,L37,app,mercearia,22,2,6,24,17,nao,perecivel,51,40,48,"112,57",sim,4.3,nao,,8,46,,
FM-00205,2025-04-16,Uberlândia,MG,C217,L20,app,bebidas,26,1,2,26,10,nao,perecivel,63,50,49,189.21,nao,4.5,nao,,11,25,entregue,
FM-00206,2025-02-25,Curitiba,PR,C352,L34,app,mercearia,14,1,4,28,17,nao,perecivel,29,50,28,126.93,nao,4.7,nao,,1,80,cancelado,
FM-00207,2025-02-14,Uberlândia,MG,C304,L30,app,hortifruti,17,3,3,4,10,nao,nao_perecivel,33,45,34,15,nao,2.8,nao,,1,71,cancelado,
FM-00208,2025-04-17,Goiânia,GO,C249,L8,app,mercearia,14,2,5,36,8,nao,perecivel,54,45,20,96.06,nao,5,nao,,7,68,entregue,
FM-00209,2025-09-14,são paulo,SP,C16,L46,app,hortifruti,9,0,2,3,18,sim,nao_perecivel,12,30,61,162.42,nao,3.4,nao,,8,85,cancelado,
FM-00210,2025-06-28,Uberaba,MG,C23,L11,app,limpeza,15,0,9,13,10,nao,nao_perecivel,16,45,47,91.79,,1.9,nao,,13,75,em_rota,
FM-00211,2025-02-21,Curitiba,PR,C528,L48,app,mercearia,13,0,1,26,22,nao,perecivel,44,45,16,"103,4",,"3,9",nao,,7,85,entregue,
FM-00212,2025-04-01,Uberlândia,MG,C122,L11,app,mercearia,6,0,7,0,9,nao,nao_perecivel,3,45,64,"181,82",nao,3.9,nao,,4,16,em_rota,
FM-00213,27/09/2025,Campinas,SP,C29,L38,app,bebidas,1,0,4,31,12,sim,perecivel,14,30,59,76.77,nao,2.4,nao,,1,90,cancelado,
FM-00214,2025-07-28,Goiânia,GO,C325,L43,web,hortifruti,5,1,5,19,15,nao,perecivel,18,35,55,261.06,,2.7,nao,,6,80,cancelado,
FM-00215,2025-01-13,Curitiba,PR,C510,L14,app,bebidas,12,3,1,14,19,sim,perecivel,21,50,17,240.73,,"4,8",nao,,4,86,em_rota,
FM-00216,2025-06-15,Curitiba,PR,C128,L22,app,bebidas,25,0,4,38,9,nao,perecivel,75,35,15,55.41,nao,2.9,nao,,0,87,procesado,
FM-00217,25/06/2025,Salvador,BA,C16,L18,web,bebidas,7,0,4,24,11,sim,nao_perecivel,16,50,60,153.35,sim,3.2,sim,erro_pagamento,12,24,,
FM-00218,2025-05-07,Salvador,BA,C483,L23,web,hortifruti,1,0,2,24,18,sim,perecivel,15,50,74,209.79,nao,3.8,nao,,0,19,entregue,
FM-00219,2025-09-07,uberaba,MG,C349,L13,app,bebidas,1,1,5,18,18,sim,nao_perecivel,4,50,51,243.62,sim,2.4,nao,,5,21,entregue,
FM-00220,05-08-2025,campinas,SP,C444,L17,web,mercearia,18,4,3,10,22,nao,nao_perecivel,25,45,63,86.58,nao,"1,5",sim,produto_indisponivel,3,4,procesado,
FM-00221,2025-04-10,Campinas,SP,C19,L27,app,bebidas,17,0,5,26,13,nao,nao_perecivel,56,35,43,90.75,,2.7,nao,,3,38,,
FM-00222,06-06-2025,Curitiba,PR,C482,L30,app,limpeza,10,1,2,33,21,nao,perecivel,27,40,27,100.82,sim,4.6,nao,,9,52,,
FM-00223,2025-08-01,Salvador,BA,C75,L44,web,conveniencia,16,3,2,11,15,nao,nao_perecivel,23,45,11,94.42,,4.2,nao,,7,54,em_rota,
FM-00224,03-27-2025,Uberaba,MG,C127,L7,app,limpeza,8,1,8,38,21,nao,nao_perecivel,31,50,47,15,nao,2.8,sim,produto_indisponivel,3,69,cancelado,
FM-00225,2025-03-27,São Paulo,SP,C12,L38,app,hortifruti,28,0,4,27,17,nao,nao_perecivel,65,45,61,153.11,nao,"3,0",nao,,4,35,procesado,
FM-00226,18/04/2025,Salvador,BA,C318,L1,app,bebidas,11,0,2,0,8,nao,nao_perecivel,11,35,53,97.03,nao,5,nao,,2,0,entregue,
FM-00227,2025-05-24,Campinas,SP,C465,L42,web,mercearia,25,2,2,7,7,nao,perecivel,35,45,46,"85,97",sim,3.2,nao,,5,36,,
FM-00228,13/08/2025,Goiânia,GO,C132,L27,app,hortifruti,16,4,3,2,17,nao,nao_perecivel,36,30,43,"255,05",,3.5,nao,,9,87,,
FM-00229,02-28-2025,Salvador,BA,C6,L32,app,limpeza,5,1,1,21,19,sim,nao_perecivel,17,30,54,108.27,,"1,1",sim,cliente_desistiu,11,60,cancelado,
FM-00230,2025-09-24,Uberlândia,mg,C357,L3,web,mercearia,20,4,1,7,15,nao,nao_perecivel,45,45,42,50.89,sim,2.1,sim,erro_pagamento,5,69,entregue,
FM-00231,2025-06-12,São Paulo,SP,C78,L1,app,bebidas,19,1,7,20,19,sim,nao_perecivel,46,45,49,163.33,sim,2.7,sim,cliente_desistiu,4,38,procesado,
FM-00232,08-22-2025,Salvador,BA,C98,L5,app,mercearia,3,2,6,39,23,nao,nao_perecivel,22,45,60,"118,99",sim,4.4,nao,,0,32,em_rota,
FM-00233,data_invalida,Goiânia,GO,C493,L60,app,bebidas,15,2,1,20,18,sim,nao_perecivel,,35,30,210.27,,4.5,nao,,2,50,procesado,
FM-00234,2025-06-08,Curitiba,PR,C508,L42,app,mercearia,8,0,7,22,21,nao,nao_perecivel,21,50,45,"95,44",,"4,1",nao,,2,65,em_rota,
FM-00235,2025-07-15,Curitiba,pr,C309,L44,app,limpeza,12,0,4,15,10,nao,perecivel,25,35,23,121.99,sim,4.1,nao,,5,34,em_rota,
FM-00236,2025-07-08,Campinas,SP,C179,L52,app,bebidas,2,0,3,21,15,nao,nao_perecivel,11,50,30,15,nao,4.7,nao,,6,15,,
FM-00237,2025-03-14,Uberaba,MG,C187,L17,app,bebidas,10,2,1,24,7,nao,nao_perecivel,32,45,22,109.82,sim,3.0,nao,,8,38,entregue,
FM-00238,2025-09-08,goiânia,GO,C367,L17,web,bebidas,10,0,4,14,11,sim,perecivel,19,35,46,202.57,sim,2.6,nao,,2,36,,
FM-00239,2025-08-30,curitiba,PR,C122,L26,web,hortifruti,6,1,1,10,12,sim,nao_perecivel,16,35,43,196.77,sim,3.1,nao,,9,9,em_rota,
FM-00240,2025-04-01,Uberaba,MG,C149,L37,app,bebidas,15,1,3,17,21,nao,nao_perecivel,28,45,63,152.02,,1.8,nao,,0,29,cancelado,
FM-00241,2025-03-11,uberlândia,MG,C439,L40,app,mercearia,22,3,5,6,16,nao,nao_perecivel,44,50,20,15,sim,5,sim,atraso,6,62,em_rota,
FM-00242,2025-07-01,Curitiba,PR,C47,L33,app,hortifruti,13,2,6,17,22,nao,nao_perecivel,15,30,10,104.63,,4.1,nao,,4,61,em_rota,
FM-00243,2025-04-12,Curitiba,PR,C50,L16,web,mercearia,21,3,3,27,22,nao,nao_perecivel,50,45,16,52.3,nao,5,nao,,4,55,entregue,
FM-00244,2025-08-13,Salvador,BA,C143,L48,app,bebidas,12,1,1,36,21,nao,perecivel,45,45,37,77.19,nao,4.9,nao,,3,21,entregue,
FM-00245,2025-08-27,Campinas,SP,C101,L24,app,limpeza,4,0,1,0,15,nao,nao_perecivel,7,30,41,"81,29",nao,4.0,nao,,10,6,entregue,
FM-00246,2025-02-09,Uberlândia,MG,C100,L15,app,hortifruti,10,2,4,22,22,nao,perecivel,25,30,24,154.33,sim,"3,9",nao,,0,51,entregue,
FM-00247,2025-08-02,goiânia,GO,C92,L3,app,bebidas,1,0,2,2,21,nao,nao_perecivel,3,30,46,190.62,nao,3.1,nao,,3,73,cancelado,
FM-00248,data_invalida,Goiânia,go,C462,L60,web,limpeza,6,0,5,14,10,nao,nao_perecivel,15,50,48,146.27,,3.9,nao,,1,70,procesado,
FM-00249,2025-08-01,Uberlândia,MG,C53,L56,web,limpeza,8,0,1,19,15,nao,nao_perecivel,35,50,58,90.35,,"2,0",nao,,3,8,cancelado,
FM-00250,2025-05-09,Goiânia,GO,C387,L24,app,bebidas,20,2,2,26,8,nao,nao_perecivel,53,45,72,38.89,sim,3.9,sim,cliente_desistiu,1,89,entregue,
FM-00251,2025-03-31,São Paulo,SP,C293,L17,app,mercearia,8,1,4,32,18,sim,perecivel,21,40,58,160.91,,"3,0",nao,,7,7,entregue,
FM-00252,2025-07-10,Goiânia,GO,C321,L51,web,hortifruti,8,0,5,19,9,nao,nao_perecivel,23,50,10,25.5,sim,2.6,nao,,0,86,procesado,
FM-00253,2025-06-02,Curitiba,PR,C147,L57,app,conveniencia,7,0,5,41,13,nao,nao_perecivel,32,30,17,76.26,sim,4.4,nao,,6,69,procesado,
FM-00254,data_invalida,Salvador,BA,C350,L44,app,bebidas,2,0,2,10,20,sim,perecivel,10,50,39,175.12,nao,4.3,nao,,5,3,cancelado,
FM-00255,2025-04-12,Curitiba,pr,C71,L53,app,limpeza,1,0,1,30,18,sim,perecivel,14,40,57,116.28,nao,3.3,nao,,0,21,cancelado,
FM-00256,2025-04-29,Campinas,SP,C427,L17,app,conveniência,12,0,6,0,18,sim,nao_perecivel,14,50,57,63.49,,3.6,nao,,0,7,entregue,
FM-00257,10-05-2025,Campinas,SP,C438,L53,web,limpeza,7,3,2,0,12,sim,perecivel,5,50,30,"146,68",sim,3.9,nao,,14,11,em_rota,
FM-00258,07-28-2025,Goiânia,GO,C238,L38,app,limpeza,10,1,6,12,18,sim,nao_perecivel,18,30,40,144.11,sim,1.9,nao,,3,88,em_rota,
FM-00259,2025-02-12,Salvador,ba,C170,L18,web,hortifruti,24,1,6,24,13,nao,nao_perecivel,36,35,18,130.65,sim,4.9,nao,,2,29,,
FM-00260,2025-09-27,Salvador,BA,C475,L50,web,horti fruti,6,0,1,29,21,nao,nao_perecivel,30,30,23,66.49,nao,3.6,sim,valor_frete,0,23,procesado,
FM-00261,2025-05-19,Goiânia,GO,C534,L46,web,hortifruti,13,0,5,15,18,sim,nao_perecivel,20,30,51,179.23,nao,1.4,nao,,0,51,entregue,
FM-00262,2025-03-28,Uberlândia,MG,C495,L35,web,conveniencia,16,0,2,33,7,nao,perecivel,50,50,60,196.37,sim,4.1,nao,,2,47,,
FM-00263,2025-09-07,Uberlândia,MG,C182,L37,web,mercearia,7,0,3,4,9,nao,perecivel,10,30,39,50.89,sim,2.8,nao,,2,13,em_rota,
FM-00264,2025-01-18,Goiânia,go,C429,L53,app,conveniencia,9,3,1,28,12,sim,nao_perecivel,20,50,88,101.92,sim,"2,5",sim,produto_indisponivel,3,66,,
FM-00265,2025-08-27,Goiânia,GO,C163,L21,app,mercearia,13,0,3,4,15,nao,perecivel,30,30,10,123.33,nao,2.7,nao,,6,63,procesado,
FM-00266,2025-06-06,Goiânia,GO,C190,L13,app,horti fruti,8,1,1,25,14,nao,nao_perecivel,32,30,10,25.52,nao,4.1,nao,,0,74,procesado,
FM-00267,01-15-2025,Campinas,SP,C277,L34,app,mercearia,6,0,1,15,11,sim,perecivel,17,50,57,100.4,,"3,2",nao,,7,67,,
FM-00268,2025-09-06,Salvador,BA,C481,L11,app,limpeza,1,1,1,28,12,sim,perecivel,16,30,71,75.41,sim,3.3,sim,produto_indisponivel,6,89,cancelado,
FM-00269,2025-08-15,Campinas,SP,C88,L48,app,hortifruti,16,3,1,25,18,sim,nao_perecivel,43,35,43,"183,35",,4.0,sim,atraso,3,47,cancelado,
FM-00270,13/06/2025,Curitiba,PR,C71,L48,web,mercearia,4,4,4,35,21,nao,nao_perecivel,26,45,29,"133,1",,4.4,nao,,3,51,cancelado,
FM-00271,2025-05-01,Uberaba,MG,C6,L36,app,hortifruti,1,2,6,31,21,nao,nao_perecivel,16,45,70,"144,64",,3.0,nao,,0,35,entregue,
FM-00272,01/07/2025,Uberaba,MG,C331,L4,app,limpeza,7,0,2,35,16,nao,perecivel,20,45,61,15,nao,3.9,nao,,4,28,,
FM-00273,2025-06-02,Salvador,BA,C241,L11,app,hortifruti,1,5,4,8,16,nao,perecivel,3,40,28,"198,53",,5,nao,,1,78,,
FM-00274,2025-09-10,Goiânia,GO,C247,L18,app,mercearia,13,0,7,43,9,nao,perecivel,41,30,51,143.67,,"3,0",sim,cliente_desistiu,5,53,cancelado,
FM-00275,2025-06-20,Campinas,SP,C491,L13,web,limpeza,16,1,1,31,12,sim,perecivel,39,40,63,86.09,nao,3.1,nao,,8,25,entregue,
FM-00276,2025-05-22,Goiânia,GO,C251,L43,app,hortifruti,21,0,3,32,21,nao,perecivel,57,35,43,15,sim,2.5,nao,,0,90,procesado,
FM-00277,2025-01-16,São Paulo,SP,C421,L52,app,mercearia,8,0,1,24,23,nao,perecivel,27,30,38,90.87,nao,2.8,nao,,8,73,procesado,
FM-00278,2025-09-22,Curitiba,PR,C196,L54,app,conveniencia,22,0,4,9,17,nao,perecivel,51,50,32,184.55,,5,nao,,2,26,,
FM-00279,2025-01-24,Campinas,SP,C256,L31,app,mercearia,5,1,5,14,20,sim,nao_perecivel,13,40,72,92.53,nao,5,sim,atraso,0,50,entregue,
FM-00280,2025-06-18,Campinas,SP,C206,L33,app,horti fruti,7,4,6,2,18,sim,nao_perecivel,11,35,51,30.31,nao,2.5,nao,,1,88,em_rota,
FM-00281,2025-01-09,Goiânia,GO,C482,L43,app,bebidas,2,1,1,11,22,nao,perecivel,11,40,51,106.17,nao,"2,9",sim,produto_indisponivel,6,87,em_rota,
FM-00282,2025-09-24,uberaba,MG,C183,L54,app,bebidas,10,1,2,21,21,nao,nao_perecivel,35,40,18,"174,27",nao,4.6,nao,,4,21,,
FM-00283,2025-03-31,Uberlândia,MG,C417,L11,app,hortifruti,10,1,6,41,18,sim,nao perecivel,38,50,71,167.1,nao,3.4,nao,,5,56,entregue,
FM-00284,2025-09-18,Uberaba,MG,C344,L2,app,mercearia,19,0,6,30,21,nao,nao perecivel,38,35,46,132.75,nao,2.7,nao,,9,73,entregue,
FM-00285,2025-07-30,Curitiba,PR,C118,L9,app,bebidas,2,3,3,25,22,nao,nao_perecivel,17,35,33,"60,63",sim,"2,2",nao,,7,41,em_rota,
FM-00286,2025-02-20,Uberaba,MG,C214,L35,app,bebidas,18,3,2,30,21,nao,nao_perecivel,42,40,57,154.42,nao,4.5,nao,,4,50,em_rota,
FM-00287,data_invalida,Curitiba,PR,C424,L40,app,limpeza,17,1,4,36,10,nao,perecivel,,50,48,134.09,,3.2,nao,,3,24,procesado,
FM-00288,2025-09-28,Campinas,SP,C266,L55,app,hortifruti,8,0,4,28,8,nao,nao_perecivel,26,40,29,"68,57",sim,3.9,nao,,7,11,,
FM-00289,2025-01-28,Goiânia,GO,C109,L8,app,bebidas,12,1,5,6,20,sim,nao_perecivel,23,45,64,116.9,sim,2.3,nao,,0,66,,
FM-00290,29/01/2025,Salvador,BA,C312,L53,web,mercearia,11,0,1,12,8,nao,nao_perecivel,23,40,38,158.08,nao,3.5,nao,,7,70,procesado,
FM-00291,2025-06-04,Salvador,BA,C273,L31,app,limpeza,22,2,4,25,12,sim,nao_perecivel,51,50,92,225.37,sim,4.7,sim,atraso,6,77,procesado,
FM-00292,2025-04-01,Curitiba,PR,C200,L51,app,hortifruti,15,2,3,36,13,nao,perecivel,31,50,59,92.98,,3.1,nao,,10,5,procesado,
FM-00293,23/08/2025,Curitiba,PR,C79,L15,app,hortifruti,15,2,3,11,11,sim,nao_perecivel,42,35,53,88.94,nao,3.3,nao,,8,75,,
FM-00294,2025-04-05,Curitiba,PR,C172,L40,app,limpeza,25,1,5,42,8,nao,nao_perecivel,67,35,41,285.56,nao,3.6,nao,,3,24,cancelado,
FM-00295,15/05/2025,salvador,ba,C261,L37,app,conveniencia,14,2,5,16,20,sim,nao_perecivel,38,30,28,102.91,nao,5,nao,,6,67,em_rota,
FM-00296,2025-01-19,Salvador,BA,C126,L27,app,mercearia,16,2,4,16,17,nao,nao_perecivel,46,40,32,"90,47",nao,3.8,nao,,4,81,,
FM-00297,10/02/2025,Salvador,BA,C497,L36,app,limpeza,3,3,4,18,13,nao,perecivel,,40,36,"142,51",,3.5,nao,,7,66,procesado,
FM-00298,2025-04-11,Curitiba,PR,C519,L40,app,hortifruti,13,2,1,30,11,sim,perecivel,34,30,26,"191,63",,5,nao,,5,41,,
FM-00299,2025-09-09,Uberaba,MG,C60,L23,app,hortifruti,8,0,4,17,19,sim,perecivel,23,35,61,64.14,nao,4.2,sim,erro_pagamento,12,20,em_rota,
FM-00300,2025-02-07,Goiânia,GO,C361,L36,app,conveniencia,11,0,6,20,13,nao,perecivel,21,50,56,97.74,nao,2.7,nao,,5,42,cancelado,
FM-00301,08-28-2025,São Paulo,SP,C202,L32,web,conveniência,24,0,4,0,23,nao,perecivel,51,45,20,190.83,nao,4.8,nao,,1,66,em_rota,
FM-00302,2025-10-14,Campinas,SP,C199,L33,app,bebidas,8,2,4,38,14,nao,nao_perecivel,27,35,19,181.56,nao,"4,5",nao,,3,35,em_rota,
FM-00303,2025-08-27,Goiânia,go,C437,L46,app,mercearia,10,1,3,36,16,nao,nao_perecivel,35,35,14,"76,44",nao,5,nao,,3,43,cancelado,
FM-00304,2025-02-09,Goiânia,GO,C254,L48,app,hortifruti,16,0,3,13,14,nao,nao_perecivel,43,45,27,127.34,sim,3.1,nao,,8,24,em_rota,
FM-00305,2025-04-17,São Paulo,SP,C511,L7,app,conveniência,9,0,5,0,13,nao,perecivel,8,35,32,85.69,,3.5,nao,,7,23,em_rota,
FM-00306,01/04/2025,Curitiba,PR,C443,L22,app,limpeza,5,1,3,12,14,nao,perecivel,13,50,34,107.87,,3.9,nao,,0,48,procesado,
FM-00307,2025-06-13,Uberaba,MG,C327,L39,web,mercearia,7,0,6,0,12,sim,nao perecivel,3,50,52,116.29,nao,3.0,nao,,12,79,cancelado,
FM-00308,2025-07-26,Uberaba,MG,C536,L51,web,bebidas,8,3,4,27,11,sim,nao_perecivel,30,50,67,195.83,,3.9,nao,,0,39,em_rota,
FM-00309,2025-06-22,Campinas,SP,C375,L41,app,mercearia,12,0,3,14,8,nao,perecivel,38,30,72,100.22,nao,5.0,nao,,3,6,cancelado,
FM-00310,2025-01-20,Goiânia,GO,C97,L48,web,limpeza,6,0,3,13,16,nao,nao_perecivel,16,40,53,15,nao,2.6,sim,produto_indisponivel,10,36,em_rota,
FM-00311,2025-07-21,Goiânia,GO,C236,L25,app,limpeza,18,3,3,13,22,nao,nao_perecivel,34,45,46,187.51,nao,3.5,nao,,6,63,procesado,
FM-00312,2025-06-26,Goiânia,GO,C533,L46,app,limpeza,6,0,3,6,8,nao,nao perecivel,16,30,55,80.44,,1.9,nao,,5,49,entregue,
FM-00313,2025-06-07,São Paulo,SP,C384,L5,web,limpeza,27,1,2,0,18,sim,perecivel,56,35,61,"161,69",nao,2.2,nao,,3,26,cancelado,
FM-00314,2025-02-03,Campinas,sp,C79,L38,app,mercearia,20,0,7,5,18,sim,perecivel,33,50,71,46.75,nao,1.7,nao,,8,73,entregue,
FM-00315,2025-09-26,Curitiba,PR,C159,L60,app,hortifruti,5,3,4,17,10,nao,perecivel,17,45,15,95.73,sim,4.6,nao,,1,12,em_rota,
FM-00316,2025-02-05,São Paulo,SP,C31,L48,app,hortifruti,7,2,2,24,17,nao,nao_perecivel,22,30,52,90.25,,3.2,nao,,2,54,cancelado,
FM-00317,04-15-2025,Uberlândia,MG,C529,L11,app,mercearia,10,3,3,22,9,nao,perecivel,28,30,42,216.68,nao,5,nao,,0,15,em_rota,
FM-00318,2025-09-07,Uberaba,MG,C22,L58,app,bebidas,19,2,4,29,22,nao,nao_perecivel,53,35,63,129.21,sim,2.4,nao,,3,2,entregue,
